basin_id,kge,seed,nn_model,variant
2051500,0.6760699467540556,111,DeterministicParamModel,deterministic
2053200,0.6669537810369858,111,DeterministicParamModel,deterministic
2053800,0.7001797085657522,111,DeterministicParamModel,deterministic
2055100,0.5957215429748912,111,DeterministicParamModel,deterministic
2056900,0.7041890314192966,111,DeterministicParamModel,deterministic
2059500,0.4464218927054844,111,DeterministicParamModel,deterministic
2064000,0.0564626081714819,111,DeterministicParamModel,deterministic
2065500,0.193318059473278,111,DeterministicParamModel,deterministic
2069700,0.7559271719065754,111,DeterministicParamModel,deterministic
2070000,0.7996688878718776,111,DeterministicParamModel,deterministic
2074500,0.5533169105890017,111,DeterministicParamModel,deterministic
2077200,0.6750171681899596,111,DeterministicParamModel,deterministic
2081500,0.8016533259689689,111,DeterministicParamModel,deterministic
2082950,0.66379773506911,111,DeterministicParamModel,deterministic
2092500,0.6533310313673204,111,DeterministicParamModel,deterministic
2096846,0.553101280254946,111,DeterministicParamModel,deterministic
2102908,0.6767212453290243,111,DeterministicParamModel,deterministic
2108000,0.7468560310093701,111,DeterministicParamModel,deterministic
2111180,0.6808235332967136,111,DeterministicParamModel,deterministic
2111500,0.7526682610640167,111,DeterministicParamModel,deterministic
2112120,0.725278827348502,111,DeterministicParamModel,deterministic
2112360,0.7258920098616034,111,DeterministicParamModel,deterministic
2118500,0.7037808232575682,111,DeterministicParamModel,deterministic
2125000,0.3405377943675129,111,DeterministicParamModel,deterministic
2128000,0.6333408009831665,111,DeterministicParamModel,deterministic
2137727,0.7344180056444287,111,DeterministicParamModel,deterministic
2140991,0.7343552367645532,111,DeterministicParamModel,deterministic
2143000,0.679134077886834,111,DeterministicParamModel,deterministic
2143040,0.640029113679408,111,DeterministicParamModel,deterministic
2149000,0.733101279054021,111,DeterministicParamModel,deterministic
2152100,0.5806599864238928,111,DeterministicParamModel,deterministic
2177000,0.7791011348267072,111,DeterministicParamModel,deterministic
2178400,0.7713505500418575,111,DeterministicParamModel,deterministic
2193340,0.5632387571813603,111,DeterministicParamModel,deterministic
2196000,0.5397378156627375,111,DeterministicParamModel,deterministic
2198100,0.5579697047567662,111,DeterministicParamModel,deterministic
2202600,0.7294191986365174,111,DeterministicParamModel,deterministic
2212600,0.5787164178667547,111,DeterministicParamModel,deterministic
2215100,0.6946248759714891,111,DeterministicParamModel,deterministic
2216180,0.5687287480893126,111,DeterministicParamModel,deterministic
2221525,0.6720376437001343,111,DeterministicParamModel,deterministic
2231000,0.758469892205708,111,DeterministicParamModel,deterministic
2245500,0.8196268553422836,111,DeterministicParamModel,deterministic
2246000,0.6501172638200559,111,DeterministicParamModel,deterministic
2296500,0.6618457242348372,111,DeterministicParamModel,deterministic
2297155,0.7544276262647744,111,DeterministicParamModel,deterministic
2297310,0.7736490903242539,111,DeterministicParamModel,deterministic
2298123,0.8251182172131234,111,DeterministicParamModel,deterministic
2298608,0.7721163413944414,111,DeterministicParamModel,deterministic
2299950,0.7647495905868364,111,DeterministicParamModel,deterministic
2300700,0.6351272506450872,111,DeterministicParamModel,deterministic
2342933,0.6424916845151462,111,DeterministicParamModel,deterministic
2349900,0.5828462519306012,111,DeterministicParamModel,deterministic
2350900,0.6066406647911224,111,DeterministicParamModel,deterministic
2361000,0.7231045219447241,111,DeterministicParamModel,deterministic
2363000,0.8427006797172876,111,DeterministicParamModel,deterministic
2369800,0.6518804868800017,111,DeterministicParamModel,deterministic
2371500,0.8724936337536014,111,DeterministicParamModel,deterministic
2372250,0.826551758546328,111,DeterministicParamModel,deterministic
2374500,0.7799616072821312,111,DeterministicParamModel,deterministic
2381600,0.3746667641038811,111,DeterministicParamModel,deterministic
2384540,0.5527088312826772,111,DeterministicParamModel,deterministic
2395120,0.685444117511764,111,DeterministicParamModel,deterministic
2415000,0.7361573106057879,111,DeterministicParamModel,deterministic
2427250,0.6860627080226205,111,DeterministicParamModel,deterministic
2430085,0.7146207783920213,111,DeterministicParamModel,deterministic
2450250,0.7621702866396627,111,DeterministicParamModel,deterministic
2464000,0.769009986276976,111,DeterministicParamModel,deterministic
2464360,0.7902857549863012,111,DeterministicParamModel,deterministic
2465493,0.666008390694233,111,DeterministicParamModel,deterministic
2469800,0.7995105720500086,111,DeterministicParamModel,deterministic
2472000,0.7376097486956086,111,DeterministicParamModel,deterministic
2472500,0.751088431482092,111,DeterministicParamModel,deterministic
2479155,0.8228491742508155,111,DeterministicParamModel,deterministic
2479300,0.824757174431257,111,DeterministicParamModel,deterministic
2479560,0.8803399213586505,111,DeterministicParamModel,deterministic
2481000,0.7981348428539888,111,DeterministicParamModel,deterministic
2481510,0.8189048432787582,111,DeterministicParamModel,deterministic
4015330,0.7538216365535779,111,DeterministicParamModel,deterministic
4024430,0.7919956484692726,111,DeterministicParamModel,deterministic
4027000,0.7850051012235779,111,DeterministicParamModel,deterministic
4040500,0.8481490836174478,111,DeterministicParamModel,deterministic
4043050,0.4771468752661452,111,DeterministicParamModel,deterministic
4045500,0.8837900048500061,111,DeterministicParamModel,deterministic
4057510,0.5510685283330512,111,DeterministicParamModel,deterministic
4057800,0.8179732586497033,111,DeterministicParamModel,deterministic
4059500,0.7370054342839563,111,DeterministicParamModel,deterministic
4063700,0.6521230476313687,111,DeterministicParamModel,deterministic
4074950,0.7574705445502502,111,DeterministicParamModel,deterministic
4105700,0.5100324972801673,111,DeterministicParamModel,deterministic
4115265,0.4948768129028547,111,DeterministicParamModel,deterministic
4122200,0.6405325522020177,111,DeterministicParamModel,deterministic
4122500,0.5321757638683089,111,DeterministicParamModel,deterministic
4127918,0.805145257908241,111,DeterministicParamModel,deterministic
4127997,0.5320955664284703,111,DeterministicParamModel,deterministic
4161580,0.5528650107857862,111,DeterministicParamModel,deterministic
4185000,0.8033148156713692,111,DeterministicParamModel,deterministic
4196800,0.5693541674043053,111,DeterministicParamModel,deterministic
4197100,0.6372020164024391,111,DeterministicParamModel,deterministic
4197170,0.694498574636233,111,DeterministicParamModel,deterministic
4213000,0.4519841504693793,111,DeterministicParamModel,deterministic
4213075,0.4341549122344189,111,DeterministicParamModel,deterministic
4216418,0.6912844211018483,111,DeterministicParamModel,deterministic
4221000,0.732749120364874,111,DeterministicParamModel,deterministic
4224775,0.6702497918194652,111,DeterministicParamModel,deterministic
4233000,0.6254924702410151,111,DeterministicParamModel,deterministic
4256000,0.7507164184740717,111,DeterministicParamModel,deterministic
3010655,0.7867166219759738,111,DeterministicParamModel,deterministic
3011800,0.7099406005494607,111,DeterministicParamModel,deterministic
3015500,0.5849760710973266,111,DeterministicParamModel,deterministic
3021350,0.4198463916208375,111,DeterministicParamModel,deterministic
3026500,0.6882524324352077,111,DeterministicParamModel,deterministic
3028000,0.6027856394955055,111,DeterministicParamModel,deterministic
3049000,0.6771912710684742,111,DeterministicParamModel,deterministic
3049800,0.2287959910621881,111,DeterministicParamModel,deterministic
3050000,0.6986558998763035,111,DeterministicParamModel,deterministic
3069500,0.8222744278640497,111,DeterministicParamModel,deterministic
3070500,0.5746894909197432,111,DeterministicParamModel,deterministic
3076600,0.6704468188098889,111,DeterministicParamModel,deterministic
3078000,0.5944806481248532,111,DeterministicParamModel,deterministic
3140000,0.6875303395482513,111,DeterministicParamModel,deterministic
3144000,0.6129046981379068,111,DeterministicParamModel,deterministic
3170000,0.8061722582611671,111,DeterministicParamModel,deterministic
3173000,0.6698815920968009,111,DeterministicParamModel,deterministic
3180500,0.6896071196089013,111,DeterministicParamModel,deterministic
3182500,0.6648397800766446,111,DeterministicParamModel,deterministic
3186500,0.6988770006094638,111,DeterministicParamModel,deterministic
3237280,0.3128357561546178,111,DeterministicParamModel,deterministic
3237500,0.7360938164586,111,DeterministicParamModel,deterministic
3238500,0.6902689546641659,111,DeterministicParamModel,deterministic
3241500,0.8274151821567974,111,DeterministicParamModel,deterministic
3280700,0.4944631052698567,111,DeterministicParamModel,deterministic
3281500,0.6145914979434404,111,DeterministicParamModel,deterministic
3285000,0.7661119905087366,111,DeterministicParamModel,deterministic
3291780,0.5935199312770654,111,DeterministicParamModel,deterministic
3338780,0.7607080391714298,111,DeterministicParamModel,deterministic
3340800,0.7381371715609013,111,DeterministicParamModel,deterministic
3346000,0.7397388316573335,111,DeterministicParamModel,deterministic
3364500,0.6405257874905727,111,DeterministicParamModel,deterministic
3366500,0.8440827089254187,111,DeterministicParamModel,deterministic
3368000,0.5404567885069245,111,DeterministicParamModel,deterministic
3384450,0.6104012549683339,111,DeterministicParamModel,deterministic
3439000,0.8009179584135364,111,DeterministicParamModel,deterministic
3455500,0.6572013623304467,111,DeterministicParamModel,deterministic
3456500,0.6530888180905159,111,DeterministicParamModel,deterministic
3460000,0.8030639565040456,111,DeterministicParamModel,deterministic
3463300,0.7166976712926166,111,DeterministicParamModel,deterministic
3471500,0.6778436420140522,111,DeterministicParamModel,deterministic
3473000,0.7268735358731007,111,DeterministicParamModel,deterministic
3479000,0.6586955964949861,111,DeterministicParamModel,deterministic
3488000,0.6760587409686962,111,DeterministicParamModel,deterministic
3498500,0.6881857507597209,111,DeterministicParamModel,deterministic
3500000,0.8161787908374984,111,DeterministicParamModel,deterministic
3500240,0.7135851522690663,111,DeterministicParamModel,deterministic
3504000,0.6724019018233939,111,DeterministicParamModel,deterministic
3574500,0.7818540396224961,111,DeterministicParamModel,deterministic
3592718,0.6165095150218485,111,DeterministicParamModel,deterministic
3604000,0.7413293532876314,111,DeterministicParamModel,deterministic
5291000,0.5978622482016342,111,DeterministicParamModel,deterministic
5362000,0.7391784460898382,111,DeterministicParamModel,deterministic
5393500,0.8023116733620452,111,DeterministicParamModel,deterministic
5399500,0.4945803284042535,111,DeterministicParamModel,deterministic
5408000,0.6073667041207593,111,DeterministicParamModel,deterministic
5413500,0.6616261959052838,111,DeterministicParamModel,deterministic
5414000,0.5375903142448265,111,DeterministicParamModel,deterministic
5444000,0.6223061543216983,111,DeterministicParamModel,deterministic
5454000,0.2897107430961051,111,DeterministicParamModel,deterministic
5458000,0.7144124305691848,111,DeterministicParamModel,deterministic
5466500,0.735570696833142,111,DeterministicParamModel,deterministic
5487980,0.7350321458422711,111,DeterministicParamModel,deterministic
5488200,0.548164012020522,111,DeterministicParamModel,deterministic
5489000,0.6446606679953666,111,DeterministicParamModel,deterministic
