variant,target,attribute,parameter,spearman_rho,abs_rho
deterministic,param_mean,low_prec_dur,route_b,-0.40915079512019575,0.40915079512019575
deterministic,param_mean,aridity,parK0,-0.4078727762049833,0.4078727762049833
deterministic,param_mean,gvf_diff,parFC,-0.40625324103350796,0.40625324103350796
deterministic,param_mean,lai_diff,parCFMAX,0.40289298558195935,0.40289298558195935
deterministic,param_mean,high_prec_freq,parUZL,-0.39922250690447136,0.39922250690447136
deterministic,param_mean,low_prec_freq,parBETA,0.39727761641752324,0.39727761641752324
deterministic,param_mean,area_gages2,parK0,-0.397138612900381,0.397138612900381
deterministic,param_mean,slope_mean,route_a,-0.3938701085941589,0.3938701085941589
deterministic,param_mean,gvf_max,parCFMAX,0.3913035707272659,0.3913035707272659
deterministic,param_mean,frac_snow,parCWH,-0.38795248685656125,0.38795248685656125
deterministic,param_mean,gvf_max,parPERC,0.3874158533526012,0.3874158533526012
deterministic,param_mean,lai_diff,parCFR,-0.3843993578445634,0.3843993578445634
deterministic,param_mean,frac_snow,parUZL,0.3778277873763391,0.3778277873763391
deterministic,param_mean,soil_conductivity,route_b,0.37318540942188805,0.37318540942188805
deterministic,param_mean,glim_2nd_class_frac,parK1,-0.3723308158796674,0.3723308158796674
deterministic,param_mean,p_mean,parK0,0.37047627496587116,0.37047627496587116
deterministic,param_mean,gvf_max,parCFR,-0.3690255379414318,0.3690255379414318
deterministic,param_mean,max_water_content,parBETA,0.3677066247149675,0.3677066247149675
deterministic,param_mean,aridity,parCFMAX,-0.3671455581710913,0.3671455581710913
deterministic,param_mean,gvf_diff,parCFMAX,0.3662262467810075,0.3662262467810075
deterministic,param_mean,sand_frac,parBETA,-0.36406703447271516,0.36406703447271516
deterministic,param_mean,area_gages2,parCWH,0.3604615223792918,0.3604615223792918
deterministic,param_mean,frac_forest,parUZL,0.3597240154030229,0.3597240154030229
deterministic,param_mean,soil_depth_pelletier,parUZL,-0.3590704777191189,0.3590704777191189
deterministic,param_mean,slope_mean,parK0,0.35898283647466683,0.35898283647466683
deterministic,param_mean,soil_conductivity,parCFMAX,0.35618985014883414,0.35618985014883414
deterministic,param_mean,high_prec_freq,route_b,-0.35588862867361837,0.35588862867361837
deterministic,param_mean,high_prec_freq,parFC,0.3543155122842781,0.3543155122842781
deterministic,param_mean,geol_1st_class,parCWH,0.3519754568564404,0.3519754568564404
deterministic,param_mean,geol_porosity,parCWH,0.34767857886507036,0.34767857886507036
deterministic,param_mean,lai_max,parPERC,0.3446814990786849,0.3446814990786849
