variant,seed,basin_count,kge_mean_empirical,kge_median_empirical,kge_std_empirical,share_kge_gt_0,share_kge_gt_05,kge_mean,kge_median,kge_std,nse_mean,nse_median,nse_std,rmse_mean,rmse_median,rmse_std,corr_mean,corr_median,corr_std,mae_mean,mae_median,mae_std,pbias_abs_mean,pbias_abs_median,pbias_abs_std
deterministic,111,531,0.599602339492131,0.6760699467540556,0.355099104387095,0.9642184557438794,0.800376647834275,0.599602339492131,0.6760699467540556,0.355099104387095,0.4621035476862374,0.6227078437805176,2.0766421314272616,1.5644432306289673,1.3310706615447998,1.0633623600006104,0.7689158268511408,0.8128752112388611,0.14545307673428193,0.6309129595756531,0.5034428834915161,0.5106295943260193,51.30263068491905,45.64347457885742,19.990554197402528
deterministic,222,531,0.6033786469738845,0.6801015941517303,0.3598391546280598,0.9623352165725048,0.8060263653483992,0.6033786469738845,0.6801015941517303,0.3598391546280598,0.4631042427711343,0.6298642754554749,2.1032526640881932,1.5604877471923828,1.3246082067489624,1.0634210109710693,0.770700553358443,0.8120490312576294,0.1453205069443465,0.632684588432312,0.5037410855293274,0.5125604271888733,51.35592429741179,46.33961486816406,20.263205836582117
deterministic,333,531,0.6029888937494542,0.681275548129876,0.3847988048131998,0.967984934086629,0.7966101694915254,0.6029888937494542,0.681275548129876,0.3847988048131998,0.44464632784579433,0.6337102651596069,2.551295479647014,1.5582388639450073,1.3315010070800781,1.0641734600067139,0.7724473087043412,0.8133642077445984,0.1441065160710498,0.6313100457191467,0.5021935105323792,0.5108501315116882,51.47572659637969,45.83377456665039,20.945665306045097
distributional,111,531,0.5972529733801977,0.6757767200413375,0.36033265690983496,0.96045197740113,0.7984934086629002,0.5972529733801977,0.6757767200413375,0.36033265690983496,0.45173916888551297,0.6290802955627441,2.1266516427955384,1.563554048538208,1.3411705493927002,1.0652329921722412,0.769654733284943,0.8128110766410828,0.14583545437814313,0.6314429044723511,0.5054270625114441,0.5108612775802612,51.45335851909975,46.00370407104492,20.522301715440925
distributional,222,531,0.604615817399245,0.6822260063902863,0.3269821353990607,0.9661016949152542,0.8041431261770244,0.604615817399245,0.6822260063902863,0.3269821353990607,0.486189578886086,0.6319587826728821,1.5917639268481585,1.5592259168624878,1.3334165811538696,1.0689351558685303,0.7704614971934515,0.8137573599815369,0.1460469354095784,0.6333427429199219,0.5036845207214355,0.513728141784668,51.41241379646258,46.00269317626953,20.2313218611656
distributional,333,531,0.6038575649241716,0.6814990137970861,0.350693160871218,0.967984934086629,0.7984934086629002,0.6038575649241716,0.6814990137970861,0.350693160871218,0.46826858495812856,0.633447527885437,1.9649234536877984,1.5632611513137817,1.3337717056274414,1.0775363445281982,0.7718811372466905,0.8126223683357239,0.1421795066004613,0.6329634189605713,0.5048518776893616,0.5128143429756165,51.48396206081699,45.67333984375,20.55982146304043
mc_dropout,111,531,0.5650089502263791,0.6405827457866915,0.31604299613475845,0.9548022598870056,0.751412429378531,0.5650089502263791,0.6405827457866915,0.31604299613475845,0.46283437336905525,0.6193435192108154,1.2384933399721343,1.5769470930099487,1.3577998876571655,1.0643006563186646,0.7643752362712404,0.8111103177070618,0.1453179526785006,0.6348012685775757,0.5081320405006409,0.5028696656227112,52.33916070007784,47.2291374206543,20.613617783659052
mc_dropout,222,531,0.5811959293817804,0.6617946805195942,0.3052273457989631,0.9585687382297552,0.7589453860640302,0.5811959293817804,0.6617946805195942,0.3052273457989631,0.4815297531991804,0.6387700438499451,0.9906643309040035,1.5540590286254883,1.309358835220337,1.0626262426376343,0.770693536953064,0.8196060061454773,0.14774839650768956,0.6297893524169922,0.5040318965911865,0.5000592470169067,52.27594814911176,46.90925979614258,21.258205630441793
mc_dropout,333,531,0.5819796908841619,0.6652995571111162,0.3168827887051769,0.9548022598870056,0.7702448210922788,0.5819796908841619,0.6652995571111162,0.3168827887051769,0.47835242737035516,0.6389962434768677,1.138596638814548,1.5517064332962036,1.3116637468338013,1.0619419813156128,0.7721332313875245,0.820661187171936,0.14627852420177456,0.6282633543014526,0.5038184523582458,0.5004342198371887,52.11935585007605,46.68800354003906,21.328263065310193
