basin_id,variant,parBETA_mean,parFC_mean,parK0_mean,parK1_mean,parK2_mean,parLP_mean,parPERC_mean,parUZL_mean,parTT_mean,parCFMAX_mean,parCFR_mean,parCWH_mean,route_a_mean,route_b_mean,parBETA_std,parFC_std,parK0_std,parK1_std,parK2_std,parLP_std,parPERC_std,parUZL_std,parTT_std,parCFMAX_std,parCFR_std,parCWH_std,route_a_std,route_b_std
2082950,deterministic,2.441812515258789,285.00091552734375,0.8999993801116943,0.41729376713434857,0.06897691264748573,0.5561814109484354,0.6657199064890543,14.722064654032389,-1.6355929772059123,1.010431428750356,3.726011706580342e-08,2.535358870995689e-08,1.80202054977417,0.26901039481163025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2092500,deterministic,5.485256989796956,334.8508605957031,0.8998735745747884,0.3344787855943044,0.0634051983555158,0.8292117913564047,0.16489785412947336,35.72776476542155,-0.369423508644104,1.369640310605367,3.51099085567815e-05,2.4224618300650036e-05,2.436274766921997,0.7108288009961446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2096846,deterministic,3.412825584411621,234.49638875325522,0.899999996026357,0.46587374806404114,0.08483831336100896,0.4105011026064555,1.2091671228408813,3.2495928605397544,-1.7262357076009114,1.0284699598948162,7.94254824872572e-09,7.640887552303374e-09,0.11105629553397496,0.03699346445500851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2102908,deterministic,1.0536969502766926,481.1901448567708,0.899999221165975,0.30582235256830853,0.023353612671295803,0.7361728350321451,5.244201024373372,36.51731872558594,-1.2275971174240112,1.6307477951049805,5.297137424994011e-07,1.847975473386517e-07,0.563439354300499,0.012557535121838251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2108000,deterministic,4.681071599324544,379.4928894042969,0.8997650543848673,0.28004257877667743,0.02975984290242195,0.8551551699638367,0.25362829864025116,35.035441080729164,-1.4066046476364136,1.141606052716573,1.7274094564830495e-05,2.3889135453221872e-05,2.8345823287963867,0.8101988832155863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2111180,deterministic,1.0131687720616658,329.2987976074219,0.899999996026357,0.48159969846407574,0.04207951327164968,0.8668890992800394,7.728185494740804,9.30557632446289,-0.7641391356786092,1.5590215524037678,4.380553492571808e-09,3.54059262623029e-09,0.008556097202623883,0.8945358395576477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2111500,deterministic,1.0510416825612385,655.27783203125,0.8999998370806376,0.48129995663960773,0.033672704050938286,0.5972084601720175,7.824641704559326,6.51705805460612,-1.4032437801361084,1.4015913009643555,1.658837030007095e-08,7.20634997508629e-09,0.017861407871047657,1.7132997512817383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2112120,deterministic,1.1287411451339722,659.7437540690104,0.899998406569163,0.4670470654964447,0.03271943889558315,0.6618457039197286,5.822929382324219,9.641811688741049,-1.007264256477356,1.4520188967386882,2.0659904246637476e-07,8.254876641503965e-08,0.03155318026741346,2.2139952182769775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2112360,deterministic,1.0243603785832722,467.24806722005206,0.899999757607778,0.476366529862086,0.02127622316281001,0.6475571592648824,7.8289688428243,12.886407534281412,-1.1940279006958008,1.3617769479751587,2.260234199802369e-08,4.071864403813741e-09,0.031294302083551884,2.7193665504455566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2118500,deterministic,1.4360965092976887,507.94362386067706,0.8999995589256287,0.4592080811659495,0.020517737915118534,0.6627056996027628,3.4257951577504477,7.8033521970113116,-1.227349877357483,1.3560112317403157,2.4401712335938203e-08,1.5018288763643528e-08,0.20457295825084051,0.5932355225086212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2125000,deterministic,5.958634535471599,288.9546610514323,0.8999994397163391,0.4935668607552846,0.16506760319073996,0.7805161476135254,1.6608509222666423,1.4158575932184856,-2.377926826477051,0.5627425909042358,3.09903564736184e-07,2.1105358645930514e-07,0.17021420846382776,0.0002121978541254066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2128000,deterministic,1.9532382090886433,284.16856892903644,0.8999999562899271,0.3594820400079091,0.02522667869925499,0.6685924927393595,0.6791945695877075,6.2494222323099775,-0.9212244749069214,1.0753393371899922,7.696758711854082e-09,1.3462151178533777e-08,0.2565055216352145,0.05215565487742424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2137727,deterministic,1.0343538125356038,440.1222737630208,0.8999996980031332,0.41322585940361023,0.03215280051032702,0.6892504692077637,7.908903439839681,12.02718989054362,-0.6017785469690958,1.8580070734024048,1.9821796308494566e-08,2.433573218888335e-08,0.07080579176545143,0.8636376063028971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2140991,deterministic,1.0491937398910522,311.33617146809894,0.8999998569488525,0.4690796136856079,0.040644181271394096,0.8361810843149821,7.614773591359456,9.044223149617514,-1.0435463984807332,1.573294758796692,1.4772693085011538e-08,2.006633933552641e-08,0.03860877578457197,0.715491940577825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2143000,deterministic,1.0990527073542278,526.6940714518229,0.8999994993209839,0.4169768691062927,0.024022693435351055,0.6201895276705424,4.512479066848755,9.832114537556967,-1.487950046857198,1.2207525968551636,8.135461817641391e-08,7.703145634326465e-08,0.17818675935268402,0.605910082658132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
