basin_id,variant,seed,sample_count,parBETA_mean,parBETA_std,parFC_mean,parFC_std,parK0_mean,parK0_std,parK1_mean,parK1_std,parK2_mean,parK2_std,parLP_mean,parLP_std,parPERC_mean,parPERC_std,parUZL_mean,parUZL_std,parTT_mean,parTT_std,parCFMAX_mean,parCFMAX_std,parCFR_mean,parCFR_std,parCWH_mean,parCWH_std,route_a_mean,route_a_std,route_b_mean,route_b_std
1022500,deterministic,111,1,1.3112530708312988,0.0,145.648681640625,0.0,0.8999966979026794,0.0,0.40488719940185547,0.0,0.035266950726509094,0.0,0.5021922588348389,0.0,3.664463520050049,0.0,34.246971130371094,0.0,-1.010627031326294,0.0,1.8257135152816772,0.0,4.332021035224898e-07,0.0,3.571892364107043e-07,0.0,0.5610761046409607,0.0,2.5837020874023438,0.0
1031500,deterministic,111,1,1.0142271518707275,0.0,78.16313171386719,0.0,0.899999737739563,0.0,0.3935793340206146,0.0,0.03211495652794838,0.0,0.26291438937187195,0.0,1.7275681495666504,0.0,17.02214241027832,0.0,-0.9717798233032227,0.0,2.411342144012451,0.0,2.8264526719112837e-08,0.0,5.619449350291461e-09,0.0,0.03910432755947113,0.0,6.33173131942749,0.0
1047000,deterministic,111,1,1.035774827003479,0.0,61.73930358886719,0.0,0.9000000357627869,0.0,0.38603928685188293,0.0,0.035958386957645416,0.0,0.38980525732040405,0.0,2.328216791152954,0.0,11.543181419372559,0.0,-0.9386687278747559,0.0,2.4091544151306152,0.0,3.625361344461453e-09,0.0,8.578657229030284e-10,0.0,0.02674104832112789,0.0,6.00002384185791,0.0
1052500,deterministic,111,1,1.0491385459899902,0.0,54.48517608642578,0.0,0.9000000357627869,0.0,0.43521004915237427,0.0,0.023453792557120323,0.0,0.28598082065582275,0.0,2.3833696842193604,0.0,18.156993865966797,0.0,-0.24712276458740234,0.0,3.864938735961914,0.0,7.609305546774081e-11,0.0,1.679406440302511e-11,0.0,0.004686908330768347,0.0,5.729850769042969,0.0
1054200,deterministic,111,1,1.0499227046966553,0.0,57.33020782470703,0.0,0.9000000357627869,0.0,0.4948515295982361,0.0,0.0424196831882,0.0,0.5759525895118713,0.0,6.637454986572266,0.0,2.2887659072875977,0.0,-0.827545166015625,0.0,2.5403754711151123,0.0,1.0271362926861372e-10,0.0,4.249715163107126e-11,0.0,0.010178846307098866,0.0,0.5278527736663818,0.0
1055000,deterministic,111,1,1.0368566513061523,0.0,55.914024353027344,0.0,0.9000000357627869,0.0,0.48931488394737244,0.0,0.04266750440001488,0.0,0.3033474087715149,0.0,5.060175895690918,0.0,2.159306526184082,0.0,-0.7208349704742432,0.0,2.5684101581573486,0.0,1.1414541534193745e-09,0.0,6.432450128102118e-10,0.0,0.0032939359080046415,0.0,0.9344897270202637,0.0
1057000,deterministic,111,1,1.3420199155807495,0.0,135.19561767578125,0.0,0.9000000357627869,0.0,0.4109320044517517,0.0,0.05812937766313553,0.0,0.21867991983890533,0.0,3.693394660949707,0.0,12.82522964477539,0.0,-0.9721232652664185,0.0,1.747127890586853,0.0,1.3698330469935627e-08,0.0,9.271375667196935e-09,0.0,0.03837741166353226,0.0,4.459783554077148,0.0
1073000,deterministic,111,1,1.4187098741531372,0.0,180.7438507080078,0.0,0.9000000357627869,0.0,0.4509190022945404,0.0,0.07372976094484329,0.0,0.3641762435436249,0.0,4.515197277069092,0.0,19.889265060424805,0.0,-1.7194819450378418,0.0,1.158767580986023,0.0,8.615002045075926e-09,0.0,9.20092713130316e-09,0.0,0.1443944126367569,0.0,1.903702735900879,0.0
1078000,deterministic,111,1,1.3658697605133057,0.0,111.64385986328125,0.0,0.8999998569488525,0.0,0.4125348627567291,0.0,0.043332912027835846,0.0,0.3356465697288513,0.0,3.050856828689575,0.0,12.587682723999023,0.0,-0.3745720386505127,0.0,1.8085627555847168,0.0,3.323664188314979e-08,0.0,1.4783492652270525e-08,0.0,0.17905069887638092,0.0,4.900035858154297,0.0
1123000,deterministic,111,1,1.2910124063491821,0.0,292.0187072753906,0.0,0.8999971151351929,0.0,0.48192185163497925,0.0,0.049157701432704926,0.0,0.24481011927127838,0.0,3.0469753742218018,0.0,8.59878921508789,0.0,-1.360489010810852,0.0,2.250019073486328,0.0,4.0896998143580277e-07,0.0,3.421487235755194e-07,0.0,0.3121064007282257,0.0,4.9609599113464355,0.0
