variant,basin_count_mean,basin_count_std,kge_mean_empirical_mean,kge_mean_empirical_std,kge_median_empirical_mean,kge_median_empirical_std,kge_std_empirical_mean,kge_std_empirical_std,share_kge_gt_0_mean,share_kge_gt_0_std,share_kge_gt_05_mean,share_kge_gt_05_std,kge_mean_mean,kge_mean_std,kge_median_mean,kge_median_std,kge_std_mean,kge_std_std,nse_mean_mean,nse_mean_std,nse_median_mean,nse_median_std,nse_std_mean,nse_std_std,rmse_mean_mean,rmse_mean_std,rmse_median_mean,rmse_median_std,rmse_std_mean,rmse_std_std,corr_mean_mean,corr_mean_std,corr_median_mean,corr_median_std,corr_std_mean,corr_std_std,mae_mean_mean,mae_mean_std,mae_median_mean,mae_median_std,mae_std_mean,mae_std_std,pbias_abs_mean_mean,pbias_abs_mean_std,pbias_abs_median_mean,pbias_abs_median_std,pbias_abs_std_mean,pbias_abs_std_std
deterministic,531.0,0.0,0.6013061754493654,0.0037239250525062805,0.6793454495838213,0.00471290630492519,0.3662748554599314,0.007417727498514926,0.9642184557438794,0.004982582506712956,0.7997489014438167,0.0028766953515102873,0.6013061754493654,0.0037239250525062805,0.6793454495838213,0.00471290630492519,0.3662748554599314,0.007417727498514926,0.4563889718998624,0.007843952455961837,0.6325972477595011,0.0018268458615297736,2.2354208798140207,0.10686659777186801,1.5617127815882366,0.004656157827777644,1.3302150964736938,0.005146661052119294,1.0667355457941692,0.0062695089032092635,0.7705416975651644,0.0014310277073947897,0.8122846086819967,6.116012627596965e-05,0.14577758620200845,0.0011427342211572879,0.6313458283742269,0.0011645278204305332,0.5053394834200541,0.0019159579494171849,0.5106272101402283,0.0007658218811168352,51.409132782049475,0.16174761104085425,45.845269521077476,0.43535251110751205,20.631675764775895,0.3391102663523143
distributional,531.0,0.0,0.5979894127614861,0.0012164730607479247,0.6773892565169616,0.00352244523168399,0.3561693302214277,0.015131430026334306,0.9629629629629629,0.0010872886425416152,0.7959824231010671,0.005436443212708397,0.5979894127614861,0.0012164730607479247,0.6773892565169616,0.00352244523168399,0.35616933022142766,0.015131430026334304,0.4586742794970185,0.008042327700860925,0.6283188263575236,0.0032483736831968217,2.030367892640579,0.2881983287720908,1.5661242802937825,0.0023855253549261257,1.3374438285827637,0.004358204198976148,1.069022297859192,0.003894812536003389,0.7684500279783156,0.0013030256236927103,0.8116659124692281,0.000675310846319933,0.14637615212296476,0.0020403894203232364,0.6337260802586874,0.0008649808313242509,0.5053547024726868,0.003940850726515065,0.5130194028218588,0.0011153299941457032,51.57567285967561,0.08453592321872024,46.10248057047526,0.2458652597524206,20.701599675793457,0.01383777985707483
mc_dropout,531.0,0.0,0.5946160189120983,0.007550103118261892,0.67074850073401,0.00969074372194841,0.31261748424715413,0.007506525104000809,0.9604519774011301,0.0,0.7922159447583176,0.002876695351510206,0.5946160189120983,0.007550103118261892,0.67074850073401,0.00969074372194841,0.31261748424715413,0.007506525104000809,0.4944252427912926,0.009650725836295363,0.6425379713376363,0.0075945602508661,1.3088863195566436,0.1361050051528595,1.544237732887268,0.008581551403607234,1.3176726897557576,0.004733545246628807,1.060664137204488,0.0008008697294497468,0.7747561841342558,0.0020717545670139365,0.8196026086807251,0.00352017912718416,0.14367265130655452,0.0025953899222585335,0.6229325334231058,0.0014339626751162348,0.49462972084681195,0.004338955447286326,0.5006223718325297,0.00033718275550351023,51.18244087688592,0.04446965877515296,45.82360967000326,0.16193093854686708,20.56412268017101,0.19582996715223142
