basin_id,paradigm,regime,contrast,within_base,within_cn,within_pooled,between_all,excess,prop_between_gt_within,prop_excess_gt_0,frac_snow,snow_stratum
01022500,IC,IC,Base-CN,0.41575565681520144,0.40183433326607276,0.4087949950406371,0.48953374047110532,0.080738745430468217,True,True,0.24525900924827099,S3
01031500,IC,IC,Base-CN,0.49687649371156212,0.43671375936387807,0.4667951265377201,0.50925208211176964,0.042456955574049549,True,True,0.29183647300195797,S3
01047000,IC,IC,Base-CN,0.37362745076675313,0.52688062555442527,0.45025403816058918,0.43590727454198264,-0.014346763618606539,False,False,0.28011812694073601,S3
01052500,IC,IC,Base-CN,0.51857951085931375,0.45969552855539308,0.48913751970735342,0.55344129847856438,0.064303778771210962,True,True,0.35269825404932598,S4
01054200,IC,IC,Base-CN,0.44411787052971291,0.5068423126626741,0.47548009159619353,0.48443435473148294,0.0089542631352894086,True,True,0.29964153966287899,S3
01055000,IC,IC,Base-CN,0.38088765522573254,0.47198966676739484,0.42643866099656369,0.49732118833226047,0.070882527335696777,True,True,0.30604885169486701,S4
01057000,IC,IC,Base-CN,0.43582449202820223,0.43978270738781111,0.43780359970800664,0.44826181294870504,0.0104582132406984,True,True,0.25115767276909801,S3
01073000,IC,IC,Base-CN,0.37758685519173546,0.50768395525899057,0.44263540522536304,0.44242531443126376,-0.00021009079409928244,False,False,0.17503243505173999,S3
01078000,IC,IC,Base-CN,0.45112475088479165,0.45196534734209642,0.45154504911344406,0.49085294135625684,0.039307892242812781,True,True,0.23971852199071,S3
01123000,IC,IC,Base-CN,0.46596878233578198,0.40386474856391785,0.43491676544984992,0.44621165535245672,0.011294889902606797,True,True,0.136053399026134,S2
01134500,IC,IC,Base-CN,0.56288512540378033,0.48113401438939468,0.52200956989658753,0.54303338042840177,0.021023810531814235,True,True,0.28058208922815098,S3
01137500,IC,IC,Base-CN,0.39438501004460652,0.52844159753420072,0.46141330378940359,0.53830925310718269,0.0768959493177791,True,True,0.301814975818189,S4
01139000,IC,IC,Base-CN,0.44749169666172095,0.43243747603827526,0.43996458634999813,0.48155598742433547,0.041591401074337342,True,True,0.246562671549799,S3
01139800,IC,IC,Base-CN,0.44061163665731251,0.46578889654002975,0.45320026659867113,0.49373916338566814,0.040538896786997014,True,True,0.26232897318020998,S3
01142500,IC,IC,Base-CN,0.45303143353635766,0.43602969843861289,0.4445305659874853,0.48351402525064979,0.038983459263164488,True,True,0.25230789054282099,S3
01144000,IC,IC,Base-CN,0.36519208846253531,0.52636929450472314,0.4457806914836292,0.45540139901612819,0.0096207075324989955,True,True,0.248466348504845,S3
01162500,IC,IC,Base-CN,0.40724426316203099,0.50156963261794552,0.45440694788998826,0.46091023023243072,0.0065032823424424624,True,True,0.22676918468004301,S3
01169000,IC,IC,Base-CN,0.49198974709390381,0.52684423832163607,0.50941699270776997,0.55116971554091054,0.041752722833140576,True,True,0.23897260589607899,S3
01170100,IC,IC,Base-CN,0.47138904906541618,0.46576803172097686,0.46857854039319652,0.49927497639886759,0.030696436005671068,True,True,0.23465373540593401,S3
01181000,IC,IC,Base-CN,0.45945899871871537,0.46268366485358259,0.46107133178614901,0.48001038860303769,0.018939056816888677,True,True,0.21756304104059199,S3
