basin_id,seed,xaj_a_base,xaj_a_cn,xaj_b_base,xaj_b_cn,xaj_c_base,xaj_c_cn,xaj_cg_base,xaj_cg_cn,xaj_ci_base,xaj_ci_cn,xaj_dm_base,xaj_dm_cn,xaj_ex_base,xaj_ex_cn,xaj_im_base,xaj_im_cn,xaj_k_base,xaj_k_cn,xaj_kg_base,xaj_kg_cn,xaj_ki_base,xaj_ki_cn,xaj_lm_base,xaj_lm_cn,xaj_sm_base,xaj_sm_cn,xaj_theta_base,xaj_theta_cn,xaj_um_base,xaj_um_cn,delta_xaj_k,delta_xaj_b,delta_xaj_im,delta_xaj_um,delta_xaj_lm,delta_xaj_dm,delta_xaj_c,delta_xaj_sm,delta_xaj_ex,delta_xaj_ki,delta_xaj_kg,delta_xaj_ci,delta_xaj_cg,delta_xaj_a,delta_xaj_theta
01022500,123,0.73739462885363349,0.92937206399851835,0.94668069638704,0.12986667532669871,0.99965910911560063,0.84774701595306401,0.072180986404418737,0.84067022800445557,0.51372683048248291,0.8363361093733046,0.0028376261393229167,0.0074674076504177515,0.51634074512280914,0.28805577127557053,0.00010000000353708553,0.02289546187967062,0.14891012509663901,0.1193684736887614,0.0049164764849202978,0.49921725477491108,0.099786115544182916,0.69763992513929096,0.57705273098415799,0.37917251586914064,0.22876799734015213,0.26385405691046465,0.087462040094228893,0.037835951034839339,0.99748306274414067,0.98332409328884551,0.029541651407877609,0.81681402106034129,-0.022795461876133533,0.014158969455295156,0.19788021511501735,-0.0046297815110948343,0.15191209316253662,-0.035086059570312522,0.22828497384723861,-0.59785380959510803,-0.49430077828999081,-0.32260927889082169,-0.76848924160003684,-0.19197743514488486,0.049626089059389554
01022500,2026,0.83751226293629621,0.82958180328895303,0.84162750997041402,0.06364352295273229,0.98194043636322026,0.64164327383041386,0.14298295974731426,0.8083120584487915,0.62382846408420145,0.86541118886735702,0.0030362553066677518,0.0043121867709689666,0.59815665295249532,0.4909274578094483,0.00063714144440988707,0.028683788453539215,0.13558371861775717,0.11699267228444417,0.0060003071225115234,0.51252744027546482,0.10706847267491477,0.66937510456357685,0.69911821153428821,0.48299102783203124,0.20301712437679892,0.26654912045127466,0.048842691458188571,0.044635525116553672,0.97782287597656248,0.98800837198893232,0.018591046333313002,0.77798398701768168,-0.028046647009129327,-0.010185496012369843,0.21612718370225698,-0.0012759314643012148,0.3402971625328064,-0.063531996074475738,0.10722919514304702,-0.56230663188866203,-0.50652713315295328,-0.24158272478315557,-0.66532909870147727,0.0079304596473431799,0.0042071663416348992
01022500,42,0.77023884345745219,0.83653433569546409,0.90989390172456441,0.091927628768117803,0.99990003108978276,0.99677138328552251,0.062355160713195593,0.87842142581939697,0.52726880709330237,0.90334173043568933,0.00080822838677300352,0.007248730129665799,0.61216989316438375,0.61098313331604004,0.00010000000353708553,0.0010214068849260609,0.12317085266113281,0.10666465759277344,0.0023019909193473203,0.38667657545634682,0.20199456385203771,0.83798893860408241,0.68344082302517362,0.65640004475911462,0.27135812859786185,0.25276770340768917,0.057199684473184437,0.042078109887930065,0.99897715250651042,0.98891999986436629,0.016506195068359375,0.81796627295644664,-0.00092140688138897542,0.010057152642144129,0.027040778266058996,-0.0064405017428927954,0.0031286478042602539,0.018590425190172677,0.0011867598483437103,-0.63599437475204468,-0.38437458453699952,-0.37607292334238696,-0.81606626510620139,-0.066295492238011899,0.015121574585254371
01031500,123,0.81802795673238826,0.72873321072808628,0.94807488039920207,0.11994894868449162,0.99938886165618901,0.83776407241821294,0.16582643985748272,0.72301959991455067,0.3028740419281854,0.71994731161329484,0.000698036617702908,0.0046888987223307295,0.15400655646073191,0.38930891062084,0.00057269285510604584,0.017971764318645,0.094652732213338212,0.10876917839050293,0.0038519807692084995,0.22814284477915084,0.10483681091240475,0.75939101832253597,0.39634357028537326,0.36591042412651908,0.1519603126927426,0.27491894772178249,0.00972063266313993,0.0081952626888568587,0.99740447998046877,0.97531272040473094,-0.014116446177164718,0.82812593171471049,-0.017399071463538956,0.022091759575737835,0.030433146158854174,-0.0039908621046278216,0.16162478923797607,-0.12295863502903989,-0.23530235416010808,-0.65455420741013126,-0.22429086400994233,-0.41707326968510944,-0.55719316005706798,0.089294746004301984,0.0015253699742830713
01031500,2026,0.77129857293490711,0.77652405048238826,0.96484172971625082,0.10194737346548784,0.99298326969146733,0.50066738128662114,0.5835137367248534,0.72729504108428944,0.40398060613208348,0.73737941847907174,0.001491758558485243,0.025721995035807292,0.18698197916934367,0.58708763122558594,0.010296787756184738,0.021210398214558761,0.21384346485137939,0.11279682318369548,0.019798425159284049,0.29171281627246315,0.11885665357112886,0.77091217041015625,0.49729092915852863,0.3924255794949002,0.11439585434763055,0.22636086313348067,0.0048076370014594151,0.0081703479473407455,0.99090745713975692,0.95531082153320312,0.10104664166768391,0.86289435625076294,-0.010913610458374023,0.035596635606553795,0.10486534966362843,-0.024230236477322049,0.49231588840484619,-0.11196500878585011,-0.40010565205624227,-0.6520555168390274,-0.27191439111317911,-0.33339881234698826,-0.14378130435943604,-0.0052254775474811499,-0.0033627109458813304
01031500,42,0.82299174933597963,0.7733108257425243,0.90826456170333059,0.097994016973595874,0.99421052932739262,0.98352222442626958,0.33573901653289778,0.7513812780380249,0.3396645122104221,0.81323513719770646,0.00051446490817599823,0.0048186832004123263,0.11649948672244423,0.67470846678081309,0.0043352468249698486,0.005325366510078311,0.070087750752766922,0.11802991231282552,0.0028646035519029416,0.20742729306221008,0.09608440101146698,0.83673340933663509,0.3525128682454427,0.55337638854980464,0.18837280273437501,0.19403656407406455,0.006359980656550481,0.011193468020512508,0.99934429592556429,0.90065104166666665,-0.047942161560058594,0.8102705447297347,-0.00099011968510846239,0.098693254258897634,-0.20086352030436194,-0.0043042182922363283,0.010688304901123047,-0.0056637613396895437,-0.55820898005836883,-0.74064900832516811,-0.20456268951030715,-0.47357062498728436,-0.41564226150512712,0.049680923593455328,-0.0048334873639620272
01047000,123,0.64334873495430789,0.6174847175335062,0.95867748009531117,0.29086788704520783,0.99985914230346684,0.51487802267074589,0.25460278987884505,0.63009953498840321,0.46221590042114258,0.71214320924546981,0.00030919180976019965,0.0072017669677734378,0.15191123360081724,0.81463018216584859,0.00014061265877292803,0.0099813037862380351,0.064357558886210128,0.053598880767822266,0.0086535160828913969,0.29274231621197294,0.06125732724155699,0.62285155057907104,0.4289375729031033,0.20501465267605251,0.22257353130139804,0.26169387415835732,0.01539284334732936,0.0063391860861044666,0.99743491278754337,0.91448584662543397,0.010758678118387863,0.66780959305010335,-0.0098406911274651065,0.082949066162109397,0.22392292022705079,-0.0068925751580132385,0.48498111963272095,-0.039120342856959284,-0.66271894856503133,-0.56159422333751408,-0.28408880012908155,-0.24992730882432723,-0.37549674510955816,0.025864017420801688,0.0090536572612248921
01047000,2026,0.6731354368144068,0.59045446330103379,0.93286622198004476,0.15962184730329013,0.99543528556823735,0.3299740433692932,0.26455616950988753,0.65479075908660878,0.51993200514051652,0.69158490498860681,0.00029917822943793403,0.0034918679131401911,0.17992427160865385,0.54883186440718801,0.0041930016595870256,0.030370472619930904,0.086380481719970703,0.04971766471862793,0.0097694500748600286,0.34583234361239845,0.081470800297600884,0.6671147687094553,0.535132090250651,0.375655025906033,0.14200122230931334,0.27966218245656865,0.0082685276865959167,0.0034274272620677948,0.99917967054578993,0.97424070570203991,0.036662817001342773,0.77324437467675466,-0.026177470960343879,0.024938964843750022,0.159477064344618,-0.003192689683702257,0.66546124219894409,-0.13766096014725532,-0.36890759279853413,-0.5856439684118544,-0.33606289353753843,-0.17165289984809029,-0.39023458957672125,0.082680973513373002,0.0048411004245281219
01047000,42,0.72005165034327012,0.64210238127872865,0.96687173843383789,0.2172479315807945,0.99929873943328862,0.89042322635650639,0.34656023979186995,0.68812406063079823,0.22682834996117485,0.69658421145545113,0.00012603335910373265,0.0072352197435167102,0.063409221799750073,0.42144754685853658,0.001843139179982245,0.017376169562339783,0.039964556694030762,0.056614875793457031,0.0041851960122585297,0.36988428660801481,0.065167083271912174,0.66863213266645161,0.4859673817952474,0.32282825046115449,0.28160364251387748,0.21238634209883842,0.0056704454697095435,0.0039124460174487187,0.99987301296657982,0.97362128363715272,-0.01665031909942627,0.74962380685304342,-0.015533030382357538,0.026251729329427098,0.16313913133409291,-0.0071091863844129771,0.10887551307678223,0.069217300415039068,-0.35803832505878652,-0.60346504939453949,-0.36569909059575628,-0.46975586149427628,-0.34156382083892828,0.077949269064541471,0.0017579994522608248
01052500,123,0.74475995425520269,0.87946694472740439,0.97085546192369965,0.20996185980345075,0.99988644123077397,0.13585500717163085,0.59890663623809803,0.72893297672271717,0.10357157389322916,0.65147303210364449,0.00059663984510633684,0.00087646908230251739,0.0034164096179761356,0.7980141012292159,0.00057628489836740004,0.017578614254792534,0.16883865992228189,0.19448502858479819,0.0061868117856127879,0.59942854302270077,0.010072080019329277,0.87025267737252376,0.67698635525173612,0.15976755354139541,0.39377393220600326,0.31616520128752057,0.003242246233499967,0.0084834861067625191,0.98406583997938368,0.984399159749349,-0.025646368662516295,0.76089360212024892,-0.017002329356425133,-0.00033331976996531232,0.51721880171034074,-0.00027982923719618055,0.86403143405914307,0.077608730918482693,-0.79459769161123972,-0.86018059735319452,-0.59324173123708801,-0.54790145821041536,-0.13002634048461914,-0.13470699047220169,-0.0052412398732625525
