seed,parameter,parameter_display,n,median_shift,positive_fraction,negative_fraction,zero_fraction,direction_agreement_across_dpl_seeds
42,xaj_k,k,531,0.0016763210296630859,0.53295668549905839,0.46704331450094161,0,True
42,xaj_b,b,531,0.0095007607811375405,0.56685499058380417,0.43314500941619588,0,True
42,xaj_im,im,531,-0.0022712243177617593,0.1751412429378531,0.77966101694915257,0.04519774011299435,True
42,xaj_um,um,531,0.013900926378038192,0.66478342749529196,0.3352165725047081,0,True
42,xaj_lm,lm,531,0.02148946126302087,0.65536723163841804,0.34463276836158191,0,True
42,xaj_dm,dm,531,-0.0022526317172580296,0.34839924670433148,0.64783427495291901,0.003766478342749529,True
42,xaj_c,c,531,0.0082520246505737305,0.73822975517890776,0.26177024482109229,0,True
42,xaj_sm,sm,531,0.0009344351919073797,0.51412429378531077,0.48587570621468928,0,False
42,xaj_ex,ex,531,-0.022248641440742928,0.3992467043314501,0.60075329566854996,0,False
42,xaj_ki,ki,531,-0.094501801899501303,0.2975517890772128,0.7024482109227872,0,True
42,xaj_kg,kg,531,-0.029108135162719657,0.31261770244821091,0.68738229755178903,0,True
42,xaj_ci,ci,531,-0.057568947474161747,0.35028248587570621,0.64971751412429379,0,True
42,xaj_cg,cg,531,-0.079854726791381836,0.2824858757062147,0.71751412429378536,0,True
42,xaj_a,a (UH shape),531,0.0061728214395457837,0.54425612052730699,0.45574387947269301,0,False
42,xaj_theta,theta (UH scale),531,-0.00021994601075465861,0.46704331450094161,0.53295668549905839,0,False
123,xaj_k,k,531,0.0019903182983398433,0.54048964218455742,0.45951035781544258,0,True
123,xaj_b,b,531,0.0035045648875988711,0.54425612052730699,0.45574387947269301,0,True
123,xaj_im,im,531,-0.0024085557864358034,0.2184557438794727,0.75706214689265539,0.024482109227871938,True
123,xaj_um,um,531,0.010229407416449621,0.63465160075329563,0.36534839924670431,0,True
123,xaj_lm,lm,531,0.028790707058376719,0.6591337099811676,0.3408662900188324,0,True
123,xaj_dm,dm,531,-0.0015594482421874998,0.39548022598870058,0.59698681732580039,0.0075329566854990581,True
123,xaj_c,c,531,0.0096752643585205078,0.69303201506591339,0.30696798493408661,0,True
123,xaj_sm,sm,531,0.00038018979524311221,0.50282485875706218,0.49717514124293788,0,False
123,xaj_ex,ex,531,-0.016780789745481389,0.37664783427495291,0.62335216572504704,0,False
123,xaj_ki,ki,531,-0.080254163060869466,0.35404896421845572,0.64595103578154422,0,True
123,xaj_kg,kg,531,-0.032958228673253737,0.34839924670433148,0.65160075329566858,0,True
123,xaj_ci,ci,531,-0.051208006011115192,0.3295668549905838,0.6704331450094162,0,True
123,xaj_cg,cg,531,-0.071076750755310059,0.27871939736346518,0.72128060263653482,0,True
123,xaj_a,a (UH shape),531,0.0010912171725568909,0.50659133709981163,0.49340866290018831,0,False
123,xaj_theta,theta (UH scale),531,0.00059890976318946118,0.53672316384180796,0.4632768361581921,0,False
2026,xaj_k,k,531,0.0060340166091918945,0.61958568738229758,0.38041431261770242,0,True
2026,xaj_b,b,531,0.0010874553730613312,0.51789077212806023,0.48210922787193972,0,True
2026,xaj_im,im,531,-8.2776532508432865e-05,0.46516007532956688,0.51789077212806023,0.016949152542372881,True
2026,xaj_um,um,531,0.010743289523654442,0.65536723163841804,0.34463276836158191,0,True
2026,xaj_lm,lm,531,0.040315839979383705,0.67419962335216577,0.32580037664783429,0,True
2026,xaj_dm,dm,531,-0.0027084986368815104,0.33709981167608288,0.66290018832391717,0,True
2026,xaj_c,c,531,0.023248672485351562,0.66854990583804141,0.33145009416195859,0,True
2026,xaj_sm,sm,531,-0.0010001533909848037,0.48775894538606401,0.51224105461393599,0,False
2026,xaj_ex,ex,531,0.00337566984327216,0.51412429378531077,0.48587570621468928,0,False
2026,xaj_ki,ki,531,-0.10957260216985432,0.2824858757062147,0.71751412429378536,0,True
2026,xaj_kg,kg,531,-0.036616048642567234,0.34274952919020718,0.65725047080979282,0,True
2026,xaj_ci,ci,531,-0.028392738766140457,0.39736346516007531,0.60263653483992463,0,True
2026,xaj_cg,cg,531,-0.095172524452209473,0.25800376647834272,0.74199623352165722,0,True
2026,xaj_a,a (UH shape),531,-0.017538235105317157,0.42372881355932202,0.57627118644067798,0,False
2026,xaj_theta,theta (UH scale),531,0.0016236015810416294,0.64783427495291901,0.35216572504708099,0,False
