paradigm,parameter,snow_regime,snow_interval,n,median_shift,ci95_low,ci95_high,parameter_display
IC,xaj_lm,S5,"[0.50, 1.00]",55,0.0068728144991521134,0,0.38670364200594698,lm
IC,xaj_sm,S5,"[0.50, 1.00]",55,0.0087395198470475721,0,0.20289781212339408,sm
IC,xaj_theta,S5,"[0.50, 1.00]",55,0,-0.021169459043114645,0,theta (UH scale)
IC,xaj_um,S5,"[0.50, 1.00]",55,0.038135169823649506,0,0.52418996200092649,um
dPL,xaj_a,S3,"[0.15, 0.30)",121,0.0089872705525365637,-0.012786717250429347,0.026965799002811819,a (UH shape)
dPL,xaj_b,S3,"[0.15, 0.30)",121,0.052935512442337851,0.01476912122023733,0.10106583959177923,b
dPL,xaj_c,S3,"[0.15, 0.30)",121,0.058025240898132324,0.037068605422973633,0.077810764312744141,c
dPL,xaj_cg,S3,"[0.15, 0.30)",121,-0.26739835739135753,-0.33450424671173107,-0.18562376499176031,cg
dPL,xaj_ci,S3,"[0.15, 0.30)",121,-0.10758439699808753,-0.15047358142005074,-0.062288641929626354,ci
dPL,xaj_dm,S3,"[0.15, 0.30)",121,-0.0002776145935058594,-0.00093485514322916654,-1.7738342285156245e-05,dm
dPL,xaj_ex,S3,"[0.15, 0.30)",121,-0.0096239227997629261,-0.044340895194756355,0.010294537795217495,ex
dPL,xaj_im,S3,"[0.15, 0.30)",121,-0.0041959355257858997,-0.0084689715974188111,-0.0028443208429962397,im
dPL,xaj_k,S3,"[0.15, 0.30)",121,0.0016137361526489258,-0.0021664301554361991,0.005709489186604827,k
dPL,xaj_kg,S3,"[0.15, 0.30)",121,-0.25888131665331982,-0.36658905180437229,-0.17104589513369969,kg
dPL,xaj_ki,S3,"[0.15, 0.30)",121,-0.34015008115342682,-0.40384065892015186,-0.26778574500765123,ki
dPL,xaj_lm,S3,"[0.15, 0.30)",121,0.062176301744249152,0.046873389350043371,0.10831150478786894,lm
dPL,xaj_sm,S3,"[0.15, 0.30)",121,-0.052346319901315774,-0.090934592799136515,-0.010689946224814978,sm
dPL,xaj_theta,S3,"[0.15, 0.30)",121,0.0024479379017765708,0.0015970721411017273,0.0043447977648331569,theta (UH scale)
dPL,xaj_um,S3,"[0.15, 0.30)",121,0.0067996554904513618,0.0036541726854112423,0.014454735649956585,um
dPL,xaj_a,S4,"[0.30, 0.50)",34,0.0042936616930468324,-0.07582762118043572,0.040473691348371865,a (UH shape)
dPL,xaj_b,S4,"[0.30, 0.50)",34,0.09060688708957873,0.031037707077829463,0.24784825350108902,b
dPL,xaj_c,S4,"[0.30, 0.50)",34,0.163413405418396,0.037037491798400879,0.49302393198013306,c
dPL,xaj_cg,S4,"[0.30, 0.50)",34,-0.068364143371582031,-0.14841079711914074,-0.0031900405883789062,cg
dPL,xaj_ci,S4,"[0.30, 0.50)",34,-0.42460390263133574,-0.53881734609603882,-0.20399418142106807,ci
dPL,xaj_dm,S4,"[0.30, 0.50)",34,-0.057154766718546551,-0.11706096861097548,-0.014723640018039278,dm
dPL,xaj_ex,S4,"[0.30, 0.50)",34,-0.010845884680747988,-0.031757480219790815,-0.00034684413357784867,ex
dPL,xaj_im,S4,"[0.30, 0.50)",34,-0.02714053892608111,-0.056020643096417196,-0.016908104783700161,im
dPL,xaj_k,S4,"[0.30, 0.50)",34,-0.0137860377629598,-0.03516089916229248,-0.0049560467402140207,k
dPL,xaj_kg,S4,"[0.30, 0.50)",34,-0.057871079604540555,-0.14383546259653357,-0.029628005909866525,kg
dPL,xaj_ki,S4,"[0.30, 0.50)",34,-0.42542982846498489,-0.55168164528108077,-0.3406016721523234,ki
dPL,xaj_lm,S4,"[0.30, 0.50)",34,0.12674522399902347,0.018817244635687933,0.20642674763997398,lm
dPL,xaj_sm,S4,"[0.30, 0.50)",34,0.22881297061317846,0.17438482987253287,0.34555734333239102,sm
dPL,xaj_theta,S4,"[0.30, 0.50)",34,-0.00024752146922625302,-0.0074089272664143498,0.0094646163857900183,theta (UH scale)
dPL,xaj_um,S4,"[0.30, 0.50)",34,0.47551576826307507,0.093610350290934244,0.58369943300882976,um
dPL,xaj_a,S2,"[0.05, 0.15)",156,-0.001856068084979845,-0.01472919305850723,0.0064835877254091345,a (UH shape)
dPL,xaj_b,S2,"[0.05, 0.15)",156,-0.0011251925637847512,-0.0028720851007260776,0.0039880860008691139,b
dPL,xaj_c,S2,"[0.05, 0.15)",156,0.0038437247276306152,0.001446843147277832,0.0085049867630004883,c
dPL,xaj_cg,S2,"[0.05, 0.15)",156,-0.12342125177383428,-0.15519946813583374,-0.081062912940979004,cg
dPL,xaj_ci,S2,"[0.05, 0.15)",156,-0.013863709237840471,-0.027374360296461342,0.020039180914560917,ci
dPL,xaj_dm,S2,"[0.05, 0.15)",156,-0.0027351432376437716,-0.0044431633419460721,-0.0015548706054687497,dm
dPL,xaj_ex,S2,"[0.05, 0.15)",156,-0.017222581725371514,-0.056554682944950294,0.002994345206963402,ex
dPL,xaj_im,S2,"[0.05, 0.15)",156,-0.00032440420000057202,-0.00055767920760748301,-9.5105060609057559e-05,im
