paradigm,contrast,parameter,symbol,snow_stratum,n_basins,median_shift,q25,q75,iqr,ci95_low,ci95_high,D_activity_S5_minus_S1,D_activity_ci_low,D_activity_ci_high
IC,Base-CN,xaj_ki,ki,S2,156,0,-0.14656016061517493,0.12265877430708302,0.26921893492225796,0,0.0014253259015750142,,,
IC,Base-CN,xaj_ki,ki,S3,121,-0.061082907978764478,-0.39834735459760878,0.078995972595417074,0.47734332719302586,-0.14547845623253289,0,,,
IC,Base-CN,xaj_ki,ki,S4,34,-0.3227952627481625,-0.66121095023684662,0,0.66121095023684662,-0.58620401106816633,0,,,
IC,Base-CN,xaj_ki,ki,S5,55,0,-0.47924040908642479,0,0.47924040908642479,-0.14581203664236073,0,0,-0.14424973581150963,0
IC,Base-CN,xaj_kg,kg,S1,165,0,-0.02644365059545813,0.058348846988841879,0.084792497584300006,0,0,,,
IC,Base-CN,xaj_kg,kg,S2,156,0,-0.17312801077412543,0.0094241762535830012,0.18255218702770842,0,0,,,
IC,Base-CN,xaj_kg,kg,S3,121,-0.019082012103615539,-0.2377210584903858,0,0.2377210584903858,-0.092940399270942317,0,,,
IC,Base-CN,xaj_kg,kg,S4,34,-0.088113789076647894,-0.44432762577381563,0,0.44432762577381563,-0.32783782292931596,-0.0061378793246888996,,,
IC,Base-CN,xaj_kg,kg,S5,55,-0.068673592162262515,-0.4444712871467672,0,0.4444712871467672,-0.17964945316942083,0,-0.068673592162262515,-0.17964945316942083,-0.011529436212439669
IC,Base-CN,xaj_ci,ci,S1,165,0,-0.080118023366469782,0.089684271378431435,0.16980229474490122,-0.00064710651509314321,0.012228289122896929,,,
IC,Base-CN,xaj_ci,ci,S2,156,0,-0.20683587160226818,0.1325583589401349,0.33939423054240309,-0.011752960979366968,0.0068925918783697693,,,
IC,Base-CN,xaj_ci,ci,S3,121,-0.084946677562050543,-0.32985696012848786,0.089234596486183815,0.41909155661467168,-0.18294611090979462,0,,,
IC,Base-CN,xaj_ci,ci,S4,34,-0.12169049408721787,-0.55271487504952499,0,0.55271487504952499,-0.36360647997237561,0,,,
IC,Base-CN,xaj_ci,ci,S5,55,-0.24022758018597412,-0.79984336910170284,0,0.79984336910170284,-0.46868074711240015,0,-0.24022758018597412,-0.46868074711240015,0
IC,Base-CN,xaj_cg,cg,S1,165,0.0044816093254074207,-0.072470874019171516,0.30268400700882331,0.37515488102799482,0,0.031962987173499546,,,
IC,Base-CN,xaj_cg,cg,S2,156,0,-0.20143972617064798,0.078890056281801804,0.28032978245244977,-0.017397135896356497,0,,,
IC,Base-CN,xaj_cg,cg,S3,121,0,-0.37918588512703033,0.035885610512316209,0.41507149563934653,-0.057487175307812055,0,,,
IC,Base-CN,xaj_cg,cg,S4,34,0.063337973918702883,-0.096578123589150244,0.39332415693002953,0.48990228051917978,-0.04388113087339994,0.19979007739674814,,,
IC,Base-CN,xaj_cg,cg,S5,55,0.20866915601045821,-0.076905472388291707,0.47669062936182238,0.55359610175011409,0.061641179276817892,0.33609337215583357,0.20418754668505079,0.081757524620712563,0.33228397470555182
IC,Base-CN,xaj_a,a,S1,165,0,0,0.0021728491200860844,0.0021728491200860844,0,0,,,
IC,Base-CN,xaj_a,a,S2,156,0,-0.034553854983175647,0,0.034553854983175647,0,0,,,
IC,Base-CN,xaj_a,a,S3,121,0,-0.061153177853113916,0.14148993202292381,0.20264310987603773,0,0,,,
IC,Base-CN,xaj_a,a,S4,34,0.0054681257546904116,0,0.12318137350500832,0.12318137350500832,0,0.05708528871742774,,,
IC,Base-CN,xaj_a,a,S5,55,0,-0.3155086442403543,0.41949520550515201,0.73500384974550625,0,0,0,0,0
IC,Base-CN,xaj_theta,theta,S1,165,0,0,0,0,0,0,,,
IC,Base-CN,xaj_theta,theta,S2,156,0,-0.017802219465277914,0,0.017802219465277914,0,0,,,
IC,Base-CN,xaj_theta,theta,S3,121,0,-0.072380678879371052,0,0.072380678879371052,0,0,,,
IC,Base-CN,xaj_theta,theta,S4,34,0,-0.065665424392182897,0,0.065665424392182897,-0.0029525486668138738,0,,,
IC,Base-CN,xaj_theta,theta,S5,55,0,-0.27370647343094623,0.44317229841153,0.71687877184247628,-0.021169459043114645,0,0,-0.021169459043114645,0
dPL,Base-CN,xaj_k,k,S1,165,0.0050763934850692749,-0.0046676695346832275,0.020363971590995789,0.025031641125679016,0.002404436469078064,0.0097214281558990479,,,
dPL,Base-CN,xaj_k,k,S2,156,0.0017224997282028198,-0.010020796209573746,0.015394691377878189,0.025415487587451935,-0.00037339329719543457,0.0051973164081573486,,,
