paradigm,parameter,symbol,subset,omitted_stratum,n_basins,slope,slope_ci_low,slope_ci_high,spearman_rho,spearman_ci_low,spearman_ci_high,median_shift,median_ci_low,median_ci_high
IC,xaj_ex,ex,exclude_S5,S5,476,0.0014156888735294927,-0.41544002214392528,0.38184937509860256,0.039078236148775522,-0.043659949348123388,0.12410885640315517,0,0,0
IC,xaj_ex,ex,leave_out_S1,S1,366,-0.44080663353463467,-0.66741150339558342,-0.22540125558810328,-0.11963815515959733,-0.20748233376379308,-0.028239659548878415,0,0,0
IC,xaj_ex,ex,leave_out_S2,S2,375,-0.3741176046044154,-0.58578135457053404,-0.18369131685519099,-0.11984652578498586,-0.21160780966454132,-0.029681364924064133,0,0,0
IC,xaj_ex,ex,leave_out_S3,S3,410,-0.38786396032544684,-0.57645184943188377,-0.19900346291089921,-0.11023445208945762,-0.20347266384915863,-0.012554882670155162,0,0,0
IC,xaj_ex,ex,leave_out_S4,S4,497,-0.40662472819632051,-0.59688196362831558,-0.22429458233942606,-0.07953479566011537,-0.1494813248731556,0.013255525663714936,0,0,0
IC,xaj_ex,ex,leave_out_S5,S5,476,0.0014156888735294927,-0.3993124707785603,0.35239893151621621,0.039078236148775522,-0.043278741256810992,0.11535425914415597,0,0,0
IC,xaj_ki,ki,exclude_S5,S5,476,-0.86465816856274957,-1.1814820044858441,-0.52456651498324891,-0.19420411407595098,-0.28291732639568334,-0.111843961215744,0,-0.0010027405323062011,0
IC,xaj_ki,ki,leave_out_S1,S1,366,-0.42914845043591232,-0.63237524423397606,-0.22900564882532237,-0.27059887674887195,-0.3610166035108599,-0.18625049445380565,0,-0.018331302144969291,0
IC,xaj_ki,ki,leave_out_S2,S2,375,-0.43773919138601103,-0.63367747034965793,-0.27131702746687364,-0.26090410505283351,-0.34453972264375737,-0.16902602873443184,0,-0.02886705704083152,0
IC,xaj_ki,ki,leave_out_S3,S3,410,-0.46860850014262101,-0.65182871247619067,-0.29241499086932932,-0.22600040383568232,-0.30776721913602445,-0.13320554734265602,0,0,0
IC,xaj_ki,ki,leave_out_S4,S4,497,-0.42982009715141017,-0.59657480857868994,-0.24935737478512665,-0.19652585180670668,-0.27251892645008574,-0.11080345217009936,0,0,0
IC,xaj_ki,ki,leave_out_S5,S5,476,-0.86465816856274957,-1.1940527716604465,-0.54033208118038245,-0.19420411407595098,-0.2785405374083853,-0.1097291140582335,0,-0.0024822111820138083,0
IC,xaj_kg,kg,exclude_S5,S5,476,-0.5056416413200846,-0.81314837122274419,-0.17364316232355259,-0.19407215688336746,-0.28390367337340233,-0.11432762690531635,0,0,0
IC,xaj_kg,kg,leave_out_S1,S1,366,-0.12346631224965586,-0.33987360146494405,0.11024639975615359,-0.1639476413740639,-0.2679113312672885,-0.052708011604421894,0,-0.022731720204870319,0
IC,xaj_kg,kg,leave_out_S2,S2,375,-0.21149838516385874,-0.41522008760823842,-0.0073000403318181275,-0.22432459772709595,-0.32592564270256891,-0.12734001832419739,0,-0.0034234440430325752,0
IC,xaj_kg,kg,leave_out_S3,S3,410,-0.20596110012781443,-0.4178264766471379,-0.027347292313532143,-0.1841360086116087,-0.29336660369606593,-0.09116752654763538,0,0,0
IC,xaj_kg,kg,leave_out_S4,S4,497,-0.15502421920630816,-0.35007369558939094,0.05790442864816002,-0.18614829221995488,-0.27268471390773041,-0.10003583721075235,0,0,0
IC,xaj_kg,kg,leave_out_S5,S5,476,-0.5056416413200846,-0.85321527738604697,-0.11181533883331421,-0.19407215688336746,-0.28529967486876784,-0.095434211819916973,0,0,0
IC,xaj_ci,ci,exclude_S5,S5,476,-0.54826266420527225,-0.91530335060142254,-0.18301200767956566,-0.13958964151781547,-0.22712092202090919,-0.042481560900783942,0,-0.0057277724840884281,0
IC,xaj_ci,ci,leave_out_S1,S1,366,-0.40797972395178339,-0.66283347867121389,-0.14577194987381176,-0.19773661650422075,-0.29335326759979263,-0.10122435711255373,-0.019012120255155057,-0.07557370832531457,0
IC,xaj_ci,ci,leave_out_S2,S2,375,-0.39620638503901995,-0.61207402101286701,-0.16298032133717127,-0.20283805394694315,-0.29694069702974824,-0.10649007778902057,-0.001141764785161925,-0.030435553464468312,0
IC,xaj_ci,ci,leave_out_S3,S3,410,-0.41355855128054814,-0.64783303235730494,-0.18222333564796844,-0.17470369803942959,-0.27427164887604266,-0.073717707546374564,0,-0.0011283079527760489,0
IC,xaj_ci,ci,leave_out_S4,S4,497,-0.39224794914231492,-0.60911350985612478,-0.15055732063713553,-0.16460584904565623,-0.24559710680820859,-0.081813025988560856,0,-0.0086853073595658525,0
IC,xaj_ci,ci,leave_out_S5,S5,476,-0.54826266420527225,-0.87490971197936462,-0.18683983014330832,-0.13958964151781547,-0.2256898431874976,-0.046345394622342773,0,-0.012629568044441887,0
IC,xaj_cg,cg,exclude_S5,S5,476,-0.12910137010362643,-0.45659024572696744,0.18018732569731663,-0.10582321664462746,-0.1905072271866432,-0.020512187040218847,0,0,0
IC,xaj_cg,cg,leave_out_S1,S1,366,0.49459893087231177,0.32952877004836895,0.67048904592748149,0.16733013688344853,0.073621278874340529,0.26972044663375178,0,0,0
IC,xaj_cg,cg,leave_out_S2,S2,375,0.26663813448100038,0.10314953498527667,0.44856053432268594,0.031934269591443853,-0.072110660432064017,0.13345738823076056,0,0,0.0060863534913313533
IC,xaj_cg,cg,leave_out_S3,S3,410,0.3315669639359084,0.18173282410305258,0.48696515152471592,0.051825991495617563,-0.050031415521244259,0.15089382237553542,0,0,0.0076714015928258661
IC,xaj_cg,cg,leave_out_S4,S4,497,0.27261588700007072,0.12337493892165305,0.43491587380424274,-0.027160412901366716,-0.11521074905387571,0.065103463897194361,0,0,0
IC,xaj_cg,cg,leave_out_S5,S5,476,-0.12910137010362643,-0.48816714419790841,0.19256189821263917,-0.10582321664462746,-0.19513275766778673,-0.010949610388309,0,0,0
IC,xaj_a,a,exclude_S5,S5,476,0.25146757246008433,0.033328563810877954,0.4841837860716004,0.053478256518389139,-0.030838326234389413,0.14326907792662263,0,0,0
IC,xaj_a,a,leave_out_S1,S1,366,0.045112246928303804,-0.19157697918284619,0.31068098501262392,0.085439411988366423,-0.023098544425008791,0.205596266832521,0,0,0
IC,xaj_a,a,leave_out_S2,S2,375,0.012005612633966106,-0.18638488824007224,0.21114359799599361,0.046162994459716868,-0.065356846372858449,0.13903257737331445,0,0,0
IC,xaj_a,a,leave_out_S3,S3,410,0.033660976148580102,-0.17274133361080379,0.23556138409198896,-0.0015312479661771978,-0.10123729657426975,0.10832263391595603,0,0,0
IC,xaj_a,a,leave_out_S4,S4,497,-0.0067652237531924684,-0.20101736581424126,0.24123001031487942,0.0015133202657856028,-0.10037979656146487,0.094646384475611328,0,0,0
IC,xaj_a,a,leave_out_S5,S5,476,0.25146757246008433,-0.0046900659231163631,0.49625326404039638,0.053478256518389139,-0.039412678969274098,0.14004616821138113,0,0,0
IC,xaj_theta,theta,exclude_S5,S5,476,-0.22681958890877252,-0.53257591180147379,0.06767490191831603,-0.10365157739462141,-0.20063609764876147,-0.012146696873275083,0,0,0
IC,xaj_theta,theta,leave_out_S1,S1,366,0.044162085250675137,-0.27354189253095512,0.32053374359452769,-0.034921699934495169,-0.13823935013914546,0.066039506138907314,0,0,0
IC,xaj_theta,theta,leave_out_S2,S2,375,-0.026584836577523838,-0.2650642587514862,0.1958723547794175,-0.07327189258144505,-0.18179021502239612,0.033019135397988689,0,0,0
IC,xaj_theta,theta,leave_out_S3,S3,410,-0.00027047961764574939,-0.23195615326898653,0.23985430803649219,-0.075098301193554137,-0.19214736029098214,0.038635968968894679,0,0,0
IC,xaj_theta,theta,leave_out_S4,S4,497,-0.007067498258241837,-0.25239485959916286,0.21296502457613481,-0.083382810080194075,-0.17372403987317256,0.0062370405769476217,0,0,0
IC,xaj_theta,theta,leave_out_S5,S5,476,-0.22681958890877252,-0.52304321611739113,0.053498297215160986,-0.10365157739462141,-0.18827005788674039,-0.013629371324916524,0,0,0
dPL,xaj_k,k,exclude_S5,S5,476,-0.011943454043545887,-0.093950872090851095,0.094381565022970931,-0.063339913241424989,-0.16121635900939685,0.032731872409797726,0.0022085271775722504,0.00084432740040938379,0.0043208594470343087
dPL,xaj_k,k,leave_out_S1,S1,366,0.0050010246472169152,-0.046531583783049439,0.056303819517658678,-0.037018670938552274,-0.14781747977922502,0.084347961801309129,0.0010245516896247864,-0.00058073550462722778,0.0026209416668280003
dPL,xaj_k,k,leave_out_S2,S2,375,-0.0052313726531160436,-0.044177318212660417,0.037244685826566044,-0.069269534594385951,-0.18098600688654171,0.046548691045052056,0.0025593936443328857,0.00044867582619190238,0.0051461309194564819
dPL,xaj_k,k,leave_out_S3,S3,410,-0.0027088818479514363,-0.041920489864905409,0.041803709418852725,-0.060773307511269213,-0.16371375425441972,0.047058040680366044,0.0031483918428421021,0.00091523732990026483,0.0052653528982773423
dPL,xaj_k,k,leave_out_S4,S4,497,-0.0038868198624738381,-0.044774429849634159,0.041961405941606966,-0.058834822351137191,-0.15551341723304393,0.039602452937056803,0.0023969784379005432,0.00089514367282390601,0.0044426098465919495
dPL,xaj_k,k,leave_out_S5,S5,476,-0.011943454043545887,-0.095979914426266133,0.083894192250592553,-0.063339913241424989,-0.15724601626588958,0.025791864254912783,0.0022085271775722504,0.00072495639324188232,0.004320872511016205
dPL,xaj_b,b,exclude_S5,S5,476,0.3931604709061865,0.17053612139512903,0.64215025466419584,0.11838805197611325,0.022027804165978927,0.20761636229068006,0.0025053117109874222,-0.00013737260861002555,0.008797607460491191
dPL,xaj_b,b,leave_out_S1,S1,366,-0.079389392692020139,-0.17933304470429215,0.034821468009779151,0.047855194826253729,-0.04556121063296014,0.14674096980181575,0.0060872658323329887,-0.00097821558529495416,0.015316877228790157
dPL,xaj_b,b,leave_out_S2,S2,375,0.019369340730856936,-0.066979584055099656,0.12378533387071392,0.099328567664617659,-0.0012545369593871926,0.19600949019800704,0.00824283053068324,0.0016248125379046395,0.016303896699404741
dPL,xaj_b,b,leave_out_S3,S3,410,-0.019900226408449594,-0.096454193658210272,0.057914321846472785,0.050613590265166451,-0.043131154503498477,0.1436826026890648,0.0016285106335375173,-0.0012135244753671386,0.0062275489476434605
dPL,xaj_b,b,leave_out_S4,S4,497,0.032367517704978789,-0.054814791098098829,0.12057346417188458,0.098578194790162596,0.010418444569094793,0.18428858164755144,0.0031458772324150855,-0.00011203437903009594,0.0091707258265805724
dPL,xaj_b,b,leave_out_S5,S5,476,0.3931604709061865,0.14693265553718382,0.67318439688019183,0.11838805197611325,0.0231363228526811,0.20571116054486951,0.0025053117109874222,-9.5206276715918188e-05,0.0095009970217818027
dPL,xaj_im,im,exclude_S5,S5,476,-0.24750506145054901,-0.42623879577446627,-0.077998422503003276,-0.34523391599108244,-0.42901631322356593,-0.25618897050861023,-0.0012892005655212688,-0.0020001776879226721,-0.00063031990388398812
