paradigm,parameter,symbol,subset,omitted_stratum,n_basins,slope,slope_ci_low,slope_ci_high,spearman_rho,spearman_ci_low,spearman_ci_high,median_shift,median_ci_low,median_ci_high
dPL,xaj_c,c,leave_out_S4,S4,497,0.19558070397849797,0.060633907791754427,0.33419232337623045,0.22085624387634745,0.12221851890981235,0.30711930538399457,0.01075136661529541,0.0064604282379150391,0.015600621700286865
dPL,xaj_c,c,leave_out_S5,S5,476,0.60185727795579713,0.33665049292472304,0.87332852812791806,0.29763223166266745,0.21039366664001061,0.39008232464287551,0.011628061532974243,0.0068181052803993223,0.018823981285095215
dPL,xaj_sm,sm,exclude_S5,S5,476,0.37332999035309161,0.20782040692560846,0.53378762261424306,0.065965348834417098,-0.025470737609056986,0.15812929386276317,-0.0011256351135671139,-0.0054334493353962897,0.0011527780443429947
dPL,xaj_sm,sm,leave_out_S1,S1,366,0.32008384214711111,0.20148430341344073,0.44127847849958862,0.27348491755550397,0.17022453880025684,0.35876037753768369,-0.00072979927062988281,-0.0087198520312085741,0.0091810326441191057
dPL,xaj_sm,sm,leave_out_S2,S2,375,0.24313402559930833,0.14955217684883615,0.33322612230633408,0.20116118244647632,0.083890952052081039,0.28854207159749795,0.0012644082307815552,-0.001419825479388237,0.0076114295050501721
dPL,xaj_sm,sm,leave_out_S3,S3,410,0.27390092911450764,0.18088530237090286,0.37510161256195923,0.17448497340941596,0.066223147998706683,0.2669935655033881,0.00096408464014530182,-0.0011644460493698717,0.0049333861097693443
dPL,xaj_sm,sm,leave_out_S4,S4,497,0.22289504821154138,0.12410062949700394,0.33024433956975618,0.075166022595447968,-0.019936413906247022,0.15834241933940227,-0.0010321103036403656,-0.0050590634346008301,0.0015667215920984745
dPL,xaj_sm,sm,leave_out_S5,S5,476,0.37332999035309161,0.22032013043391263,0.52124834611781079,0.065965348834417098,-0.02144606569372938,0.15934730331041155,-0.0011256351135671139,-0.0057899145525880154,0.0011873713694512818
dPL,xaj_ex,ex,exclude_S5,S5,476,-0.29309026572382002,-0.49945502427326915,-0.1117621699611142,-0.094513567291255068,-0.17742161232084566,-0.018412823776263354,-0.011450257008637173,-0.025803159947820356,-0.0049256284103110781
dPL,xaj_ex,ex,leave_out_S1,S1,366,-0.080179791110430582,-0.16664942011827197,-0.0011020789171465439,-0.056289884479189541,-0.15081518408016925,0.049447730857460015,-0.019988040105294189,-0.031532484993153635,-0.0096239232181853582
