paradigm,contrast,stratum,n_basins,metric,median,ci_lower,ci_upper
IC,Base-TGD,S1,165,within_pooled,0.47742362004806038,0.47168017930031558,0.49079561565786295
IC,Base-TGD,S1,165,between_all,0.48104324733051157,0.47368007891267888,0.49159280621515533
IC,Base-TGD,S1,165,excess,0.00059356457931947215,-0.0026179369383810824,0.0035260289940183265
IC,Base-TGD,S1,165,prop_between_gt_within,0.51515151515151514,0.43636363636363634,0.59106060606060595
IC,Base-TGD,S1,165,prop_excess_gt_0,0.51515151515151514,0.44848484848484849,0.58787878787878789
IC,Base-TGD,S2,156,within_a,0.47825854927448919,0.46671444017700908,0.4944239042262612
IC,Base-TGD,S2,156,within_b,0.49147703300012735,0.48307333715120615,0.49730993717812089
IC,Base-TGD,S2,156,within_pooled,0.48704548483098853,0.47476239943450382,0.495709637301045
IC,Base-TGD,S2,156,between_all,0.4877303965467612,0.48116228880509632,0.49394538168291119
IC,Base-TGD,S2,156,excess,0.0021666572240870985,-6.7673047098204542e-05,0.0057733196844619861
IC,Base-TGD,S2,156,prop_between_gt_within,0.57051282051282048,0.49358974358974361,0.65384615384615385
IC,Base-TGD,S2,156,prop_excess_gt_0,0.57051282051282048,0.49358974358974361,0.63461538461538458
IC,Base-TGD,S3,121,within_a,0.45511215165003543,0.45112475088479165,0.46798822263299344
IC,Base-TGD,S3,121,within_b,0.48789399412401824,0.48259098666794309,0.49355930656487529
IC,Base-TGD,S3,121,within_pooled,0.47243553347844625,0.46607958835866919,0.48511720350980703
IC,Base-TGD,S3,121,between_all,0.49370034755574371,0.48160293287777378,0.5012173023482096
IC,Base-TGD,S3,121,excess,0.013347259319973936,0.0079799298701363486,0.016111302445869204
IC,Base-TGD,S3,121,prop_between_gt_within,0.71074380165289253,0.63636363636363635,0.79338842975206614
IC,Base-TGD,S3,121,prop_excess_gt_0,0.71074380165289253,0.62809917355371903,0.78512396694214881
IC,Base-TGD,S4,34,within_a,0.44501745713643048,0.40265071115553652,0.46226403366542396
IC,Base-TGD,S4,34,within_b,0.48334300623369059,0.46088100491676831,0.50745957383980622
IC,Base-TGD,S4,34,within_pooled,0.45955120342289596,0.42688418704025427,0.48336890525062909
IC,Base-TGD,S4,34,between_all,0.50725721895290288,0.4677121523484567,0.54733281529452227
IC,Base-TGD,S4,34,excess,0.030809067333021467,0.010641228584821864,0.046977162105238279
IC,Base-TGD,S4,34,prop_between_gt_within,0.76470588235294112,0.61764705882352944,0.91176470588235292
IC,Base-TGD,S4,34,prop_excess_gt_0,0.76470588235294112,0.60220588235294126,0.91176470588235292
IC,Base-TGD,S5,55,within_a,0.45466136158833986,0.42948678990626832,0.47674512178142525
IC,Base-TGD,S5,55,within_b,0.43695557163353504,0.41541168459384575,0.45992020538434319
IC,Base-TGD,S5,55,within_pooled,0.4288296177753726,0.41236754184937163,0.45807698890844928
IC,Base-TGD,S5,55,between_all,0.52213043446927787,0.50663148375870071,0.57191163020508662
IC,Base-TGD,S5,55,excess,0.093662037290891842,0.07427986406182524,0.11532364676951767
IC,Base-TGD,S5,55,prop_between_gt_within,0.94545454545454544,0.87272727272727268,1
IC,Base-TGD,S5,55,prop_excess_gt_0,0.94545454545454544,0.89090909090909087,1
IC,TGD-CN,Full531,531,within_a,0.484652902398094,0.48089711526147261,0.49045350020968947
IC,TGD-CN,Full531,531,within_b,0.48212049098105669,0.47773092323412469,0.48706243758857692
