paradigm,contrast,slope_Full531,intercept_Full531,spearman_rho_Full531,slope_ExcludeS5,intercept_ExcludeS5,spearman_rho_ExcludeS5,slope_difference_ExcludeS5_minus_Full
IC,Base-CN,0.15424736864090044,-0.0076124844444632458,0.54850386912744575,0.13872937023830878,-0.0059858236157298008,0.40574507082750338,-0.01551799840259166
IC,Base-TGD,0.15381328392745297,-0.0066391061945181729,0.43777905981056542,0.11552766650197083,-0.0029374317204894059,0.28166597885688416,-0.038285617425482144
dPL,Base-CN,0.19740194186268104,0.069049023724317857,0.44091554219904205,0.4271282693192725,0.046762548444334195,0.46528313168814567,0.22972632745659147
dPL,Base-TGD,0.15625183964591113,0.048114644609148577,0.38008735632060431,0.34099765673001525,0.030375261433578576,0.38745859370118269,0.18474581708410412
