paradigm,parameter,parameter_display,comparison,n,median_shift,q25,q75,abs_median
IC,xaj_k,k,GD-Base,531,0,-0.01333293594190002,0.015732852783712212,0
IC,xaj_k,k,GD-CN,531,-0.0015840968303352521,-0.035635879518775976,0.0042601466351869094,0.0015840968303352521
IC,xaj_b,b,GD-Base,531,0,-0.031746528004904268,0.031072818894577869,0
IC,xaj_b,b,GD-CN,531,0,-0.063407369819677775,0.026300322354389855,0
IC,xaj_im,im,GD-Base,531,0,0,0,0
IC,xaj_im,im,GD-CN,531,0,0,0,0
IC,xaj_um,um,GD-Base,531,0,0,0,0
IC,xaj_um,um,GD-CN,531,0,0,0.11544745956276153,0
IC,xaj_lm,lm,GD-Base,531,0,-0.13800004566623897,0.0094821831750194208,0
IC,xaj_lm,lm,GD-CN,531,0,0,0.25915384288289733,0
IC,xaj_dm,dm,GD-Base,531,0,0,0.10209584137010218,0
IC,xaj_dm,dm,GD-CN,531,0,-0.11165301274796137,0.033897523152670507,0
IC,xaj_c,c,GD-Base,531,0,-0.27660140187097904,0.015000124762150513,0
IC,xaj_c,c,GD-CN,531,0,-0.17848762405347821,0.10094826784305713,0
IC,xaj_sm,sm,GD-Base,531,0,-0.083435083534594751,0.030086213724528327,0
IC,xaj_sm,sm,GD-CN,531,-0.0019106714328047114,-0.087420288003866059,0.025025728488608512,0.0019106714328047114
IC,xaj_ex,ex,GD-Base,531,0,-0.09016045493214167,0.069795736424234575,0
IC,xaj_ex,ex,GD-CN,531,0,-0.18893699707953687,0.033563748632083126,0
IC,xaj_ki,ki,GD-Base,531,0,-0.033197145386458668,0.15087562843864527,0
IC,xaj_ki,ki,GD-CN,531,0,-0.12292203827388884,0.087102831204747683,0
IC,xaj_kg,kg,GD-Base,531,0,-0.0099396212449610957,0.16939470890419739,0
IC,xaj_kg,kg,GD-CN,531,0,-0.071183196867942458,0.10111681721600685,0
IC,xaj_ci,ci,GD-Base,531,0,-0.089196683994322679,0.18788102698645104,0
IC,xaj_ci,ci,GD-CN,531,0,-0.18807511398490498,0.14051379479075235,0
IC,xaj_cg,cg,GD-Base,531,0,-0.23423717996104831,0.052698573702567586,0
IC,xaj_cg,cg,GD-CN,531,0,-0.18395202866771765,0.09097856217013045,0
IC,xaj_a,a (UH shape),GD-Base,531,0,-0.015931312990342894,0.074131151065995743,0
IC,xaj_a,a (UH shape),GD-CN,531,0,0,0.092218218809482597,0
IC,xaj_theta,theta (UH scale),GD-Base,531,0,0,0.0089672876053978091,0
IC,xaj_theta,theta (UH scale),GD-CN,531,0,-0.0048251594360661666,0.0001090723795347439,0
dPL,xaj_k,k,GD-Base,531,-0.0041616757710774693,-0.018767476081848117,0.0044209162394205637,0.0041616757710774693
dPL,xaj_k,k,GD-CN,531,-0.0021003484725952148,-0.014159659544626876,0.0057739814122517909,0.0021003484725952148
dPL,xaj_b,b,GD-Base,531,-0.00061483759629099013,-0.074646661156102245,0.030224440913451361,0.00061483759629099013
dPL,xaj_b,b,GD-CN,531,0.0013350342449388996,-0.022446897469068833,0.058308369234988576,0.0013350342449388996
dPL,xaj_im,im,GD-Base,531,0.00019263990301017964,-0.0011816447658929974,0.0014613111276654918,0.00019263990301017964
dPL,xaj_im,im,GD-CN,531,-0.0022253289353102446,-0.020588479237630963,0,0.0022253289353102446
dPL,xaj_um,um,GD-Base,531,-0.0025928073459201562,-0.068935182359483427,0.010051568349202483,0.0025928073459201562
dPL,xaj_um,um,GD-CN,531,0.003696780734592009,-0.012405183580186663,0.056611940595838774,0.003696780734592009
dPL,xaj_lm,lm,GD-Base,531,-0.019992319742838549,-0.082879829406738326,0.0097048971388074973,0.019992319742838549
