basin_id,paradigm,period,effect,effect_value,status,metric,effect_family,estimand,seed_count,seed_or_restart
01078000,IC-CMA-ES,train,CN-Base,0.3083005836699806,valid,kge,structural,KGE_CN_Base,,
01078000,IC-CMA-ES,train,TGD-Base,0.13539005183507113,valid,kge,structural,KGE_TGD_Base,,
01078000,IC-CMA-ES,train,CN-TGD,0.17291053183490945,valid,kge,structural,KGE_CN_TGD,,
01123000,IC-CMA-ES,test,CN-Base,5.9975352784569225e-05,valid,kge,structural,KGE_CN_Base,,
01123000,IC-CMA-ES,test,TGD-Base,0.008807726816930872,valid,kge,structural,KGE_TGD_Base,,
01123000,IC-CMA-ES,test,CN-TGD,-0.008747751464146303,valid,kge,structural,KGE_CN_TGD,,
01123000,IC-CMA-ES,train,CN-Base,0.014304935880094072,valid,kge,structural,KGE_CN_Base,,
01123000,IC-CMA-ES,train,TGD-Base,0.019354690790876927,valid,kge,structural,KGE_TGD_Base,,
01123000,IC-CMA-ES,train,CN-TGD,-0.005049754910782855,valid,kge,structural,KGE_CN_TGD,,
01134500,IC-CMA-ES,test,CN-Base,0.3379146266147557,valid,kge,structural,KGE_CN_Base,,
01134500,IC-CMA-ES,test,TGD-Base,0.19586803762181282,valid,kge,structural,KGE_TGD_Base,,
01134500,IC-CMA-ES,test,CN-TGD,0.14204658899294287,valid,kge,structural,KGE_CN_TGD,,
01134500,IC-CMA-ES,train,CN-Base,0.42142692238190976,valid,kge,structural,KGE_CN_Base,,
01134500,IC-CMA-ES,train,TGD-Base,0.2940461194268161,valid,kge,structural,KGE_TGD_Base,,
01134500,IC-CMA-ES,train,CN-TGD,0.12738080295509369,valid,kge,structural,KGE_CN_TGD,,
01137500,IC-CMA-ES,test,CN-Base,0.19009602423765803,valid,kge,structural,KGE_CN_Base,,
01137500,IC-CMA-ES,test,TGD-Base,0.0170305468664963,valid,kge,structural,KGE_TGD_Base,,
01137500,IC-CMA-ES,test,CN-TGD,0.17306547737116174,valid,kge,structural,KGE_CN_TGD,,
01137500,IC-CMA-ES,train,CN-Base,0.3057744144261426,valid,kge,structural,KGE_CN_Base,,
01137500,IC-CMA-ES,train,TGD-Base,0.11496108953101869,valid,kge,structural,KGE_TGD_Base,,
01137500,IC-CMA-ES,train,CN-TGD,0.19081332489512393,valid,kge,structural,KGE_CN_TGD,,
01139000,IC-CMA-ES,test,CN-Base,0.2752734754501338,valid,kge,structural,KGE_CN_Base,,
01139000,IC-CMA-ES,test,TGD-Base,0.14799054017856128,valid,kge,structural,KGE_TGD_Base,,
01139000,IC-CMA-ES,test,CN-TGD,0.12728293527157253,valid,kge,structural,KGE_CN_TGD,,
01139000,IC-CMA-ES,train,CN-Base,0.29936804084923696,valid,kge,structural,KGE_CN_Base,,
01139000,IC-CMA-ES,train,TGD-Base,0.19249025560277522,valid,kge,structural,KGE_TGD_Base,,
01139000,IC-CMA-ES,train,CN-TGD,0.10687778524646174,valid,kge,structural,KGE_CN_TGD,,
01139800,IC-CMA-ES,test,CN-Base,0.3393427272661494,valid,kge,structural,KGE_CN_Base,,
01139800,IC-CMA-ES,test,TGD-Base,0.3202663569999125,valid,kge,structural,KGE_TGD_Base,,
01139800,IC-CMA-ES,test,CN-TGD,0.019076370266236875,valid,kge,structural,KGE_CN_TGD,,
01139800,IC-CMA-ES,train,CN-Base,0.4195628137889309,valid,kge,structural,KGE_CN_Base,,
01139800,IC-CMA-ES,train,TGD-Base,0.3256117131797531,valid,kge,structural,KGE_TGD_Base,,
01139800,IC-CMA-ES,train,CN-TGD,0.09395110060917777,valid,kge,structural,KGE_CN_TGD,,
01142500,IC-CMA-ES,test,CN-Base,0.3164604684117406,valid,kge,structural,KGE_CN_Base,,
01142500,IC-CMA-ES,test,TGD-Base,0.2173300094274333,valid,kge,structural,KGE_TGD_Base,,
01142500,IC-CMA-ES,test,CN-TGD,0.09913045898430728,valid,kge,structural,KGE_CN_TGD,,
01142500,IC-CMA-ES,train,CN-Base,0.38612572859869854,valid,kge,structural,KGE_CN_Base,,
01142500,IC-CMA-ES,train,TGD-Base,0.29497372902172125,valid,kge,structural,KGE_TGD_Base,,
01142500,IC-CMA-ES,train,CN-TGD,0.09115199957697728,valid,kge,structural,KGE_CN_TGD,,
01144000,IC-CMA-ES,test,CN-Base,0.2864082923956933,valid,kge,structural,KGE_CN_Base,,
01144000,IC-CMA-ES,test,TGD-Base,0.20508748426409062,valid,kge,structural,KGE_TGD_Base,,
01144000,IC-CMA-ES,test,CN-TGD,0.0813208081316027,valid,kge,structural,KGE_CN_TGD,,
01144000,IC-CMA-ES,train,CN-Base,0.3729345409629169,valid,kge,structural,KGE_CN_Base,,
01144000,IC-CMA-ES,train,TGD-Base,0.2472258358759124,valid,kge,structural,KGE_TGD_Base,,
01144000,IC-CMA-ES,train,CN-TGD,0.1257087050870045,valid,kge,structural,KGE_CN_TGD,,
01162500,IC-CMA-ES,test,CN-Base,0.11460283278682282,valid,kge,structural,KGE_CN_Base,,
01162500,IC-CMA-ES,test,TGD-Base,0.011088388425596452,valid,kge,structural,KGE_TGD_Base,,
01162500,IC-CMA-ES,test,CN-TGD,0.10351444436122637,valid,kge,structural,KGE_CN_TGD,,
01162500,IC-CMA-ES,train,CN-Base,0.21338505963329657,valid,kge,structural,KGE_CN_Base,,
01162500,IC-CMA-ES,train,TGD-Base,0.06442894483782369,valid,kge,structural,KGE_TGD_Base,,
01162500,IC-CMA-ES,train,CN-TGD,0.14895611479547288,valid,kge,structural,KGE_CN_TGD,,
01169000,IC-CMA-ES,test,CN-Base,0.16091526610147355,valid,kge,structural,KGE_CN_Base,,
01169000,IC-CMA-ES,test,TGD-Base,0.03328589449291508,valid,kge,structural,KGE_TGD_Base,,
01169000,IC-CMA-ES,test,CN-TGD,0.12762937160855847,valid,kge,structural,KGE_CN_TGD,,
01169000,IC-CMA-ES,train,CN-Base,0.23100153272520796,valid,kge,structural,KGE_CN_Base,,
01169000,IC-CMA-ES,train,TGD-Base,0.07572254444391469,valid,kge,structural,KGE_TGD_Base,,
01169000,IC-CMA-ES,train,CN-TGD,0.15527898828129327,valid,kge,structural,KGE_CN_TGD,,
01170100,IC-CMA-ES,test,CN-Base,0.15465466696279973,valid,kge,structural,KGE_CN_Base,,
01170100,IC-CMA-ES,test,TGD-Base,0.04204978625971123,valid,kge,structural,KGE_TGD_Base,,
01170100,IC-CMA-ES,test,CN-TGD,0.1126048807030885,valid,kge,structural,KGE_CN_TGD,,
01170100,IC-CMA-ES,train,CN-Base,0.2407001608118401,valid,kge,structural,KGE_CN_Base,,
01170100,IC-CMA-ES,train,TGD-Base,0.0675551538787984,valid,kge,structural,KGE_TGD_Base,,
01170100,IC-CMA-ES,train,CN-TGD,0.1731450069330417,valid,kge,structural,KGE_CN_TGD,,
01181000,IC-CMA-ES,test,CN-Base,0.08628872454041425,valid,kge,structural,KGE_CN_Base,,
01181000,IC-CMA-ES,test,TGD-Base,0.01575919032438977,valid,kge,structural,KGE_TGD_Base,,
01181000,IC-CMA-ES,test,CN-TGD,0.07052953421602448,valid,kge,structural,KGE_CN_TGD,,
01181000,IC-CMA-ES,train,CN-Base,0.16583556408291422,valid,kge,structural,KGE_CN_Base,,
01181000,IC-CMA-ES,train,TGD-Base,0.06014278323557731,valid,kge,structural,KGE_TGD_Base,,
01181000,IC-CMA-ES,train,CN-TGD,0.10569278084733691,valid,kge,structural,KGE_CN_TGD,,
01187300,IC-CMA-ES,test,CN-Base,0.04890940275796907,valid,kge,structural,KGE_CN_Base,,
01187300,IC-CMA-ES,test,TGD-Base,0.03570803693139879,valid,kge,structural,KGE_TGD_Base,,
01187300,IC-CMA-ES,test,CN-TGD,0.013201365826570277,valid,kge,structural,KGE_CN_TGD,,
01187300,IC-CMA-ES,train,CN-Base,0.12210536209397727,valid,kge,structural,KGE_CN_Base,,
01187300,IC-CMA-ES,train,TGD-Base,0.04675193487716345,valid,kge,structural,KGE_TGD_Base,,
01187300,IC-CMA-ES,train,CN-TGD,0.07535342721681382,valid,kge,structural,KGE_CN_TGD,,
01195100,IC-CMA-ES,test,CN-Base,0.017098726872482373,valid,kge,structural,KGE_CN_Base,,
01195100,IC-CMA-ES,test,TGD-Base,0.01513811705183643,valid,kge,structural,KGE_TGD_Base,,
01195100,IC-CMA-ES,test,CN-TGD,0.001960609820645942,valid,kge,structural,KGE_CN_TGD,,
01195100,IC-CMA-ES,train,CN-Base,0.014279897182687407,valid,kge,structural,KGE_CN_Base,,
01195100,IC-CMA-ES,train,TGD-Base,0.008457622614910232,valid,kge,structural,KGE_TGD_Base,,
01195100,IC-CMA-ES,train,CN-TGD,0.005822274567777175,valid,kge,structural,KGE_CN_TGD,,
01333000,IC-CMA-ES,test,CN-Base,0.11983352527534663,valid,kge,structural,KGE_CN_Base,,
01333000,IC-CMA-ES,test,TGD-Base,0.051349644738960865,valid,kge,structural,KGE_TGD_Base,,
01333000,IC-CMA-ES,test,CN-TGD,0.06848388053638577,valid,kge,structural,KGE_CN_TGD,,
01333000,IC-CMA-ES,train,CN-Base,0.19446839974779706,valid,kge,structural,KGE_CN_Base,,
01333000,IC-CMA-ES,train,TGD-Base,0.05120365371090907,valid,kge,structural,KGE_TGD_Base,,
01333000,IC-CMA-ES,train,CN-TGD,0.143264746036888,valid,kge,structural,KGE_CN_TGD,,
01350000,IC-CMA-ES,test,CN-Base,0.1344371717330819,valid,kge,structural,KGE_CN_Base,,
01350000,IC-CMA-ES,test,TGD-Base,0.057008927196104064,valid,kge,structural,KGE_TGD_Base,,
01350000,IC-CMA-ES,test,CN-TGD,0.07742824453697783,valid,kge,structural,KGE_CN_TGD,,
01350000,IC-CMA-ES,train,CN-Base,0.18114885609864118,valid,kge,structural,KGE_CN_Base,,
01350000,IC-CMA-ES,train,TGD-Base,0.0668731480357656,valid,kge,structural,KGE_TGD_Base,,
01350000,IC-CMA-ES,train,CN-TGD,0.11427570806287557,valid,kge,structural,KGE_CN_TGD,,
01350080,IC-CMA-ES,test,CN-Base,0.13526523767926152,valid,kge,structural,KGE_CN_Base,,
01350080,IC-CMA-ES,test,TGD-Base,0.06784750886963625,valid,kge,structural,KGE_TGD_Base,,
01350080,IC-CMA-ES,test,CN-TGD,0.06741772880962527,valid,kge,structural,KGE_CN_TGD,,
01350080,IC-CMA-ES,train,CN-Base,0.3025065919319332,valid,kge,structural,KGE_CN_Base,,
01350080,IC-CMA-ES,train,TGD-Base,0.09297366456623779,valid,kge,structural,KGE_TGD_Base,,
01350080,IC-CMA-ES,train,CN-TGD,0.2095329273656954,valid,kge,structural,KGE_CN_TGD,,
01350140,IC-CMA-ES,test,CN-Base,0.14001297047274236,valid,kge,structural,KGE_CN_Base,,
01350140,IC-CMA-ES,test,TGD-Base,0.06021955829722242,valid,kge,structural,KGE_TGD_Base,,
01350140,IC-CMA-ES,test,CN-TGD,0.07979341217551994,valid,kge,structural,KGE_CN_TGD,,
01350140,IC-CMA-ES,train,CN-Base,0.23795426967903788,valid,kge,structural,KGE_CN_Base,,
01350140,IC-CMA-ES,train,TGD-Base,0.0824877198165892,valid,kge,structural,KGE_TGD_Base,,
01350140,IC-CMA-ES,train,CN-TGD,0.15546654986244868,valid,kge,structural,KGE_CN_TGD,,
01365000,IC-CMA-ES,test,CN-Base,0.12889345637959093,valid,kge,structural,KGE_CN_Base,,
01365000,IC-CMA-ES,test,TGD-Base,0.07152753928122324,valid,kge,structural,KGE_TGD_Base,,
01365000,IC-CMA-ES,test,CN-TGD,0.05736591709836769,valid,kge,structural,KGE_CN_TGD,,
01365000,IC-CMA-ES,train,CN-Base,0.1734518326687725,valid,kge,structural,KGE_CN_Base,,
01365000,IC-CMA-ES,train,TGD-Base,0.037911831315141864,valid,kge,structural,KGE_TGD_Base,,
01365000,IC-CMA-ES,train,CN-TGD,0.13554000135363065,valid,kge,structural,KGE_CN_TGD,,
01411300,IC-CMA-ES,test,CN-Base,-0.003942533376109836,valid,kge,structural,KGE_CN_Base,,
01411300,IC-CMA-ES,test,TGD-Base,-0.0035013715929507194,valid,kge,structural,KGE_TGD_Base,,
01411300,IC-CMA-ES,test,CN-TGD,-0.00044116178315911636,valid,kge,structural,KGE_CN_TGD,,
01411300,IC-CMA-ES,train,CN-Base,0.004802704804401814,valid,kge,structural,KGE_CN_Base,,
01411300,IC-CMA-ES,train,TGD-Base,0.00522209754495595,valid,kge,structural,KGE_TGD_Base,,
01411300,IC-CMA-ES,train,CN-TGD,-0.00041939274055413645,valid,kge,structural,KGE_CN_TGD,,
01413500,IC-CMA-ES,test,CN-Base,0.15926378686317366,valid,kge,structural,KGE_CN_Base,,
01413500,IC-CMA-ES,test,TGD-Base,0.07850631629910065,valid,kge,structural,KGE_TGD_Base,,
01413500,IC-CMA-ES,test,CN-TGD,0.08075747056407301,valid,kge,structural,KGE_CN_TGD,,
