basin_id,paradigm,model,period,seed_or_restart,selected_run,kge,kge_prime,nse,pbias,rmse,valid_observation_count,valid_simulation_count,valid_days,period_start,period_end,discharge_unit,status,source_file,source_checkpoint_or_parameter_file,source_configuration
01055000,dPL-MLP,HBV,test,seed_123,True,0.7766302164144907,,0.585330342513977,-5.622123893066876,2.7381710813625086,5479.0,5479.0,5479.0,1995-10-01,2010-09-30,mm/day,valid,/home/jingxin/code/dmg-research/project/hydro_structure_diagnosis/manuscript/results/R1/r1_daily_simulations_dpl_hbv_seed_123.parquet,/home/jingxin/code/dmg-research/project/hydro_structure_diagnosis/results/dpl_camels_531_lite_v2/HBV/seed_123/best_checkpoint.pt,/home/jingxin/code/dmg-research/project/hydro_structure_diagnosis/results/dpl_camels_531_lite_v2/HBV/seed_123/config.json
01055000,dPL-MLP,HBV,train,seed_123,True,0.8039022421572832,,0.7105784343526864,-4.055097270761493,2.013668030389099,5113.0,5113.0,5113.0,1981-10-01,1995-09-30,mm/day,valid,/home/jingxin/code/dmg-research/project/hydro_structure_diagnosis/manuscript/results/R1/r1_daily_simulations_dpl_hbv_seed_123.parquet,/home/jingxin/code/dmg-research/project/hydro_structure_diagnosis/results/dpl_camels_531_lite_v2/HBV/seed_123/best_checkpoint.pt,/home/jingxin/code/dmg-research/project/hydro_structure_diagnosis/results/dpl_camels_531_lite_v2/HBV/seed_123/config.json
01057000,dPL-MLP,HBV,test,seed_123,True,0.7263686055106916,,0.6034941727563181,9.565356744336915,1.8937992969188664,5479.0,5479.0,5479.0,1995-10-01,2010-09-30,mm/day,valid,/home/jingxin/code/dmg-research/project/hydro_structure_diagnosis/manuscript/results/R1/r1_daily_simulations_dpl_hbv_seed_123.parquet,/home/jingxin/code/dmg-research/project/hydro_structure_diagnosis/results/dpl_camels_531_lite_v2/HBV/seed_123/best_checkpoint.pt,/home/jingxin/code/dmg-research/project/hydro_structure_diagnosis/results/dpl_camels_531_lite_v2/HBV/seed_123/config.json
01057000,dPL-MLP,HBV,train,seed_123,True,0.8784863135978026,,0.8161263422076755,-2.089566246021699,1.28593837262648,5113.0,5113.0,5113.0,1981-10-01,1995-09-30,mm/day,valid,/home/jingxin/code/dmg-research/project/hydro_structure_diagnosis/manuscript/results/R1/r1_daily_simulations_dpl_hbv_seed_123.parquet,/home/jingxin/code/dmg-research/project/hydro_structure_diagnosis/results/dpl_camels_531_lite_v2/HBV/seed_123/best_checkpoint.pt,/home/jingxin/code/dmg-research/project/hydro_structure_diagnosis/results/dpl_camels_531_lite_v2/HBV/seed_123/config.json
01073000,dPL-MLP,HBV,test,seed_123,True,0.8435267606892438,,0.7699232648596873,10.8784229641205,1.611425783162909,5479.0,5479.0,5479.0,1995-10-01,2010-09-30,mm/day,valid,/home/jingxin/code/dmg-research/project/hydro_structure_diagnosis/manuscript/results/R1/r1_daily_simulations_dpl_hbv_seed_123.parquet,/home/jingxin/code/dmg-research/project/hydro_structure_diagnosis/results/dpl_camels_531_lite_v2/HBV/seed_123/best_checkpoint.pt,/home/jingxin/code/dmg-research/project/hydro_structure_diagnosis/results/dpl_camels_531_lite_v2/HBV/seed_123/config.json
01073000,dPL-MLP,HBV,train,seed_123,True,0.8553631549131102,,0.7395700515692518,-0.0945737227251678,1.1847144329023005,5113.0,5113.0,5113.0,1981-10-01,1995-09-30,mm/day,valid,/home/jingxin/code/dmg-research/project/hydro_structure_diagnosis/manuscript/results/R1/r1_daily_simulations_dpl_hbv_seed_123.parquet,/home/jingxin/code/dmg-research/project/hydro_structure_diagnosis/results/dpl_camels_531_lite_v2/HBV/seed_123/best_checkpoint.pt,/home/jingxin/code/dmg-research/project/hydro_structure_diagnosis/results/dpl_camels_531_lite_v2/HBV/seed_123/config.json
01078000,dPL-MLP,HBV,test,seed_123,True,0.7963136924872851,,0.6310020192659114,6.861280056750708,1.6417735412905317,5479.0,5479.0,5479.0,1995-10-01,2010-09-30,mm/day,valid,/home/jingxin/code/dmg-research/project/hydro_structure_diagnosis/manuscript/results/R1/r1_daily_simulations_dpl_hbv_seed_123.parquet,/home/jingxin/code/dmg-research/project/hydro_structure_diagnosis/results/dpl_camels_531_lite_v2/HBV/seed_123/best_checkpoint.pt,/home/jingxin/code/dmg-research/project/hydro_structure_diagnosis/results/dpl_camels_531_lite_v2/HBV/seed_123/config.json
01078000,dPL-MLP,HBV,train,seed_123,True,0.876848559474198,,0.7647838455050393,-2.1138820659589355,1.1222711165894812,5113.0,5113.0,5113.0,1981-10-01,1995-09-30,mm/day,valid,/home/jingxin/code/dmg-research/project/hydro_structure_diagnosis/manuscript/results/R1/r1_daily_simulations_dpl_hbv_seed_123.parquet,/home/jingxin/code/dmg-research/project/hydro_structure_diagnosis/results/dpl_camels_531_lite_v2/HBV/seed_123/best_checkpoint.pt,/home/jingxin/code/dmg-research/project/hydro_structure_diagnosis/results/dpl_camels_531_lite_v2/HBV/seed_123/config.json
01123000,dPL-MLP,HBV,test,seed_123,True,0.854621493143982,,0.7712091496148519,9.334068835826187,1.1904531768141755,5479.0,5479.0,5479.0,1995-10-01,2010-09-30,mm/day,valid,/home/jingxin/code/dmg-research/project/hydro_structure_diagnosis/manuscript/results/R1/r1_daily_simulations_dpl_hbv_seed_123.parquet,/home/jingxin/code/dmg-research/project/hydro_structure_diagnosis/results/dpl_camels_531_lite_v2/HBV/seed_123/best_checkpoint.pt,/home/jingxin/code/dmg-research/project/hydro_structure_diagnosis/results/dpl_camels_531_lite_v2/HBV/seed_123/config.json
01123000,dPL-MLP,HBV,train,seed_123,True,0.8898436419921152,,0.7991465954183625,0.2245849787440687,1.1052921550577577,5113.0,5113.0,5113.0,1981-10-01,1995-09-30,mm/day,valid,/home/jingxin/code/dmg-research/project/hydro_structure_diagnosis/manuscript/results/R1/r1_daily_simulations_dpl_hbv_seed_123.parquet,/home/jingxin/code/dmg-research/project/hydro_structure_diagnosis/results/dpl_camels_531_lite_v2/HBV/seed_123/best_checkpoint.pt,/home/jingxin/code/dmg-research/project/hydro_structure_diagnosis/results/dpl_camels_531_lite_v2/HBV/seed_123/config.json
