record_type,checkpoint_epoch,paradigm,model,period,metric,status,valid_basin_count,median,p25,p75,mean,sd,minimum,maximum,fraction_positive,bootstrap_ci_low,bootstrap_ci_high,analysis_set,effect,robustness_type,primary_estimate,difference_from_primary,same_direction_as_primary,seed_or_restart,effect_value,estimate,seed_min,seed_max,same_sign_count,all_seeds_agree,claim_id,estimand,ci_lower_bound,ci_upper_bound,positive_fraction,statistical_method,support_status
absolute,100,IC-CMA-ES,XAJ-Base,test,kge,valid_daily_recomputation,531,0.6695109294916162,0.489254624747245,0.7749949760968197,0.57974502201083,0.2948008164187288,-1.4944651060134064,0.967868018941407,0.9510357815442562,0.5545801632650086,0.6043872027331617,,,,,,,,,,,,,,,,,,,,
absolute,100,IC-CMA-ES,XAJ-Base,train,kge,valid_daily_recomputation,531,0.8130585894582822,0.6518666510309692,0.8735017792377133,0.712576867841428,0.2407719216084427,-0.1204443844735785,0.9691446081533264,0.9830508474576272,0.6923905380866772,0.7327734863941102,,,,,,,,,,,,,,,,,,,,
absolute,100,IC-CMA-ES,XAJ-CN,test,kge,valid_daily_recomputation,531,0.7544658216677835,0.6441658195539651,0.8286684650285413,0.6926222054788255,0.3069197380251057,-4.68606761141445,0.9701241528366392,0.9868173258003766,0.6640057686942774,0.7157344659291965,,,,,,,,,,,,,,,,,,,,
absolute,100,IC-CMA-ES,XAJ-CN,train,kge,valid_daily_recomputation,531,0.8730405807788667,0.8312674079964412,0.9069041363483568,0.8513647849639049,0.0931686772092694,0.2393012786959347,0.975420055220872,1.0,0.8432610006595658,0.8590891580315344,,,,,,,,,,,,,,,,,,,,
absolute,100,IC-CMA-ES,XAJ-TGD,test,kge,valid_daily_recomputation,531,0.7121008105229636,0.5953245089994763,0.791887526073106,0.6555284262548559,0.2472839403665394,-1.8378766471583048,0.9722562992226907,0.9830508474576272,0.6334405137462871,0.6756844057949827,,,,,,,,,,,,,,,,,,,,
absolute,100,IC-CMA-ES,XAJ-TGD,train,kge,valid_daily_recomputation,531,0.8310550186224089,0.7508319437744295,0.888747778696299,0.8010053857001664,0.1237793917863549,0.2295132082057538,0.9747223052553428,1.0,0.790137185062762,0.8112115490443109,,,,,,,,,,,,,,,,,,,,
absolute,100,dPL-MLP,HBV,test,kge,valid_daily_recomputation,531,0.7312041140452616,0.6287883444309664,0.7964977576698513,0.673616969163689,0.2024835456090236,-0.5449143413302018,0.930897170716684,0.9792843691148776,0.6562169032140556,0.6906582155235192,,,,,,,,,,,,,,,,,,,,
absolute,100,dPL-MLP,HBV,train,kge,valid_daily_recomputation,531,0.7840432054551117,0.6876621488514271,0.8382591833627226,0.7314480426598211,0.1732031932973654,-0.4754930499471184,0.9454580170396596,0.9905838041431262,0.7165100158140559,0.7458559649593228,,,,,,,,,,,,,,,,,,,,
absolute,100,dPL-MLP,XAJ-Base,test,kge,valid_daily_recomputation,531,0.6864617878430573,0.5127136351578467,0.7856436375226332,0.5984490640724665,0.2636625296864242,-0.4237454978543051,0.9663045522776432,0.9529190207156308,0.5753902274121636,0.6205112764933506,,,,,,,,,,,,,,,,,,,,
absolute,100,dPL-MLP,XAJ-Base,train,kge,valid_daily_recomputation,531,0.7330849528336023,0.5655969524355953,0.8336754484253676,0.64432471391984,0.2635316511683899,-0.4301675867849961,0.963302691612934,0.9623352165725048,0.6216040406568961,0.6661184727679068,,,,,,,,,,,,,,,,,,,,
absolute,100,dPL-MLP,XAJ-CN,test,kge,valid_daily_recomputation,531,0.762954012179504,0.6474766417957292,0.8215262143426556,0.6984289080404865,0.1954266632053747,-0.3889426908442235,0.9506030463802464,0.9811676082862524,0.6812234591446408,0.7143318271642567,,,,,,,,,,,,,,,,,,,,
absolute,100,dPL-MLP,XAJ-CN,train,kge,valid_daily_recomputation,531,0.8251886805014392,0.7389855168956063,0.8700703497657873,0.7719885691097046,0.1697398182751071,-0.0961736068915293,0.96936336381341,0.9849340866290018,0.7572763392861178,0.7858587965390795,,,,,,,,,,,,,,,,,,,,
absolute,100,dPL-MLP,XAJ-TGD,test,kge,valid_daily_recomputation,531,0.7207009831874767,0.6076741366192051,0.7925093925200726,0.6620275422977032,0.2205155518277402,-1.1249497089200258,0.9700313731283924,0.9717514124293786,0.6429785332618136,0.6806797066429969,,,,,,,,,,,,,,,,,,,,
absolute,100,dPL-MLP,XAJ-TGD,train,kge,valid_daily_recomputation,531,0.7730195911137107,0.6751248122528224,0.8477425064744823,0.7300014864129072,0.1816223870279716,-0.1354337475090323,0.9668109414137712,0.9830508474576272,0.7142125773839375,0.7450585699583482,,,,,,,,,,,,,,,,,,,,
absolute,100,IC-CMA-ES,XAJ-Base,test,CT_error_absolute,valid_complete_water_years_primary_min5,531,13.0,8.0,23.5,19.39830508474576,17.686393260238344,0.5,119.0,1.0,17.945315442561206,20.905885122410545,primary_min5,,,,,,,,,,,,,,,,,,,
absolute,100,IC-CMA-ES,XAJ-Base,test,AMJJ_error_absolute,valid_complete_water_years_primary_min5,531,0.0618803311446894,0.0383582901450912,0.1189279634799906,0.102386322757344,0.1022803258785078,0.0115238870355928,0.590145461388184,1.0,0.0937103409511356,0.1111932322101645,primary_min5,,,,,,,,,,,,,,,,,,,
absolute,100,IC-CMA-ES,XAJ-Base,test,SPO_error_absolute,unresolved_definition,0,,,,,,,,,,,primary_min5,,,,,,,,,,,,,,,,,,,
absolute,100,IC-CMA-ES,XAJ-Base,train,CT_error_absolute,valid_complete_water_years_primary_min5,531,12.5,8.0,23.25,19.16384180790961,17.37984333270204,1.0,107.0,1.0,17.750470809792844,20.654449152542373,primary_min5,,,,,,,,,,,,,,,,,,,
absolute,100,IC-CMA-ES,XAJ-Base,train,AMJJ_error_absolute,valid_complete_water_years_primary_min5,531,0.0590579052339235,0.0377912882059044,0.1219283518424651,0.0989959312750885,0.0989572525990184,0.0093420762618638,0.5663406125239998,1.0,0.0906613499427608,0.1075927144073837,primary_min5,,,,,,,,,,,,,,,,,,,
absolute,100,IC-CMA-ES,XAJ-Base,train,SPO_error_absolute,unresolved_definition,0,,,,,,,,,,,primary_min5,,,,,,,,,,,,,,,,,,,
absolute,100,IC-CMA-ES,XAJ-CN,test,CT_error_absolute,valid_complete_water_years_primary_min5,531,9.0,6.0,14.0,11.08662900188324,9.118663741264486,0.0,83.0,0.9981167608286252,10.34084274952919,11.875706214689265,primary_min5,,,,,,,,,,,,,,,,,,,
absolute,100,IC-CMA-ES,XAJ-CN,test,AMJJ_error_absolute,valid_complete_water_years_primary_min5,531,0.0436371481696024,0.0306578919776688,0.0630764857494576,0.0539581188507245,0.0390097315043609,0.0079673198338816,0.3399440014342527,1.0,0.0507588833350562,0.0573744756569621,primary_min5,,,,,,,,,,,,,,,,,,,
absolute,100,IC-CMA-ES,XAJ-CN,test,SPO_error_absolute,unresolved_definition,0,,,,,,,,,,,primary_min5,,,,,,,,,,,,,,,,,,,
absolute,100,IC-CMA-ES,XAJ-CN,train,CT_error_absolute,valid_complete_water_years_primary_min5,531,7.5,5.0,11.0,9.811676082862524,8.83903943473735,1.0,72.0,1.0,9.09223163841808,10.588559322033898,primary_min5,,,,,,,,,,,,,,,,,,,
