record_type,family,paradigm,model,period,metric,n,ci_low,ci_high,resamples,seed,method,status,effect,analysis_set,wilcoxon_p,sign_test_p,robustness_type,block_count,block_source,claim_id,summary_level,result_role,bootstrap_statistic,snow_stratum,snow_interval,stratum_n,valid_year_requirement,signature,comparison,metric_unit
bootstrap,absolute_metric,IC-CMA-ES,XAJ-Base,test,rmse,34,1.2381288473144043,3.9292914391443952,10000,20260730,ordinary_basin_bootstrap_median,valid_snow_stratum,,snow_fixed_strata,,,,,,,snow_stratum,stratified_primary,median,S4,"[0.30, 0.50)",34,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-Base,test,rmse,531,1.53054171785835,1.7795019506577501,10000,20260730,ordinary_basin_bootstrap_median,valid_full_sample,,all_531_basins,,,,,,,full_sample,primary,median,,,,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-Base,test,rmse,55,1.7395406700035003,3.0299127256932539,10000,20260730,ordinary_basin_bootstrap_median,valid_snow_stratum,,snow_fixed_strata,,,,,,,snow_stratum,stratified_primary,median,S5,"[0.50, 1.00]",55,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-Base,train,kge,121,0.66804199502851658,0.70396539765669153,10000,20260730,ordinary_basin_bootstrap_median,valid_snow_stratum,,snow_fixed_strata,,,,,,,snow_stratum,stratified_primary,median,S3,"[0.15, 0.30)",121,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-Base,train,kge,156,0.83144379679389213,0.85233972060777252,10000,20260730,ordinary_basin_bootstrap_median,valid_snow_stratum,,snow_fixed_strata,,,,,,,snow_stratum,stratified_primary,median,S2,"[0.05, 0.15)",156,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-Base,train,kge,165,0.86564898338560092,0.88928647037586472,10000,20260730,ordinary_basin_bootstrap_median,valid_snow_stratum,,snow_fixed_strata,,,,,,,snow_stratum,stratified_primary,median,S1,"[0, 0.05)",165,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-Base,train,kge,34,0.47098962523407262,0.66659928944066926,10000,20260730,ordinary_basin_bootstrap_median,valid_snow_stratum,,snow_fixed_strata,,,,,,,snow_stratum,stratified_primary,median,S4,"[0.30, 0.50)",34,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-Base,train,kge,531,0.69239053808667705,0.73277348639411022,10000,20260730,ordinary_basin_bootstrap,valid_daily_recomputation,,,,,,,,,,,,,,,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-Base,train,kge,531,0.79187821041206008,0.82795253190967932,10000,20260730,ordinary_basin_bootstrap_median,valid_full_sample,,all_531_basins,,,,,,,full_sample,primary,median,,,,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-Base,train,kge,55,0.085115283451955903,0.24077771325574071,10000,20260730,ordinary_basin_bootstrap_median,valid_snow_stratum,,snow_fixed_strata,,,,,,,snow_stratum,stratified_primary,median,S5,"[0.50, 1.00]",55,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-Base,train,nse,121,0.36995389571889808,0.43413098044208859,10000,20260730,ordinary_basin_bootstrap_median,valid_snow_stratum,,snow_fixed_strata,,,,,,,snow_stratum,stratified_primary,median,S3,"[0.15, 0.30)",121,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-Base,train,nse,156,0.67124793216314727,0.71151655006903325,10000,20260730,ordinary_basin_bootstrap_median,valid_snow_stratum,,snow_fixed_strata,,,,,,,snow_stratum,stratified_primary,median,S2,"[0.05, 0.15)",156,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-Base,train,nse,165,0.73364865445672989,0.78193527759415993,10000,20260730,ordinary_basin_bootstrap_median,valid_snow_stratum,,snow_fixed_strata,,,,,,,snow_stratum,stratified_primary,median,S1,"[0, 0.05)",165,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-Base,train,nse,34,0.12920232794231309,0.38579468281516616,10000,20260730,ordinary_basin_bootstrap_median,valid_snow_stratum,,snow_fixed_strata,,,,,,,snow_stratum,stratified_primary,median,S4,"[0.30, 0.50)",34,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-Base,train,nse,531,0.6016051876898334,0.66292058381946051,10000,20260730,ordinary_basin_bootstrap_median,valid_full_sample,,all_531_basins,,,,,,,full_sample,primary,median,,,,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-Base,train,nse,55,0.0019414491562880999,0.13074485514395301,10000,20260730,ordinary_basin_bootstrap_median,valid_snow_stratum,,snow_fixed_strata,,,,,,,snow_stratum,stratified_primary,median,S5,"[0.50, 1.00]",55,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-Base,train,pbias,121,-0.050999226069714999,0.52397413712186491,10000,20260730,ordinary_basin_bootstrap_median,valid_snow_stratum,,snow_fixed_strata,,,,,,,snow_stratum,stratified_primary,median,S3,"[0.15, 0.30)",121,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-Base,train,pbias,156,0.20682992778702761,0.4479075922865684,10000,20260730,ordinary_basin_bootstrap_median,valid_snow_stratum,,snow_fixed_strata,,,,,,,snow_stratum,stratified_primary,median,S2,"[0.05, 0.15)",156,,,,
