basin_id,paradigm,model,period,kge,kge_prime,selected_run
01055000,IC-CMA-ES,XAJ-CN,train,0.8658969369821542,0.8658969369821542,True
01055000,IC-CMA-ES,XAJ-CN,test,0.7988105571749797,0.7988105571749797,True
01055000,dPL-MLP,XAJ-Base,train,0.5491832736177207,0.5491832736177207,True
01055000,dPL-MLP,XAJ-Base,test,0.6032957785019655,0.6032957785019655,True
01055000,dPL-MLP,XAJ-TGD,train,0.5783418622335856,0.5783418622335856,True
01055000,dPL-MLP,XAJ-TGD,test,0.6114210033420037,0.6114210033420037,True
01055000,dPL-MLP,XAJ-CN,train,0.830866672575761,0.830866672575761,True
01055000,dPL-MLP,XAJ-CN,test,0.8016997928648992,0.8016997928648992,True
01057000,IC-CMA-ES,XAJ-Base,train,0.6975526203037088,0.6975526203037088,True
01057000,IC-CMA-ES,XAJ-Base,test,0.5135348718482158,0.5135348718482158,True
01057000,IC-CMA-ES,XAJ-TGD,train,0.7569004510647608,0.7569004510647608,True
01057000,IC-CMA-ES,XAJ-TGD,test,0.5726660153190646,0.5726660153190646,True
01057000,IC-CMA-ES,XAJ-CN,train,0.918764977060134,0.918764977060134,True
01057000,IC-CMA-ES,XAJ-CN,test,0.6833663674366555,0.6833663674366555,True
01057000,dPL-MLP,XAJ-Base,train,0.6734124019953915,0.6734124019953915,True
01057000,dPL-MLP,XAJ-Base,test,0.6370083096066024,0.6370083096066024,True
01057000,dPL-MLP,XAJ-TGD,train,0.6113715827142758,0.6113715827142758,True
01057000,dPL-MLP,XAJ-TGD,test,0.6697263707246383,0.6697263707246383,True
01057000,dPL-MLP,XAJ-CN,train,0.8863790483876066,0.8863790483876066,True
01057000,dPL-MLP,XAJ-CN,test,0.7415418500412986,0.7415418500412986,True
01073000,IC-CMA-ES,XAJ-Base,train,0.7920935854512686,0.7920935854512686,True
01073000,IC-CMA-ES,XAJ-Base,test,0.7617016970353587,0.7617016970353587,True
01073000,IC-CMA-ES,XAJ-TGD,train,0.8321858640435413,0.8321858640435413,True
01073000,IC-CMA-ES,XAJ-TGD,test,0.7988218443395448,0.7988218443395448,True
01073000,IC-CMA-ES,XAJ-CN,train,0.930295858120345,0.930295858120345,True
