basin_id,paradigm,period,effect,effect_value,status,metric,effect_family,estimand,seed_count,seed_or_restart,model,structure,analysis_set
01022500,IC-dPL,train,IC_minus_dPL,0.0054131619631573001,median_across_dpl_seeds,kge,ic_dpl_transfer,KGE_IC - median_seed(KGE_dPL),3,,XAJ-Base,,
01022500,IC-dPL,train,IC_minus_dPL,0.0155319186200032,median_across_dpl_seeds,kge,ic_dpl_transfer,KGE_IC - median_seed(KGE_dPL),3,,XAJ-TGD,,
01022500,IC-dPL,train,IC_minus_dPL,0.025997018917435801,median_across_dpl_seeds,kge,ic_dpl_transfer,KGE_IC - median_seed(KGE_dPL),3,,XAJ-CN,,
01022500,IC-dPL,train_minus_test,G_IC,-0.094828629184389501,valid,kge,tgd_transfer,G_IC,,matched_primary,XAJ-Base,XAJ-Base,r1_remaining_transfer_full_sample
01022500,IC-dPL,train_minus_test,G_IC,0.036226641183479513,valid,kge,tgd_transfer,G_IC,,matched_primary,XAJ-TGD,XAJ-TGD,r1_remaining_transfer_full_sample
01022500,IC-dPL,train_minus_test,G_IC,0.043032586210059454,valid,kge,tgd_transfer,G_IC,,matched_primary,XAJ-CN,XAJ-CN,r1_remaining_transfer_full_sample
01022500,IC-dPL,train_minus_test,G_IC_minus_G_dPL,0.0022952633586160731,valid,kge,tgd_transfer,G_IC_minus_G_dPL,,matched_primary,XAJ-TGD,XAJ-TGD,r1_remaining_transfer_full_sample
01022500,IC-dPL,train_minus_test,G_IC_minus_G_dPL,0.0030555854731816323,valid,kge,tgd_transfer,G_IC_minus_G_dPL,,matched_primary,XAJ-CN,XAJ-CN,r1_remaining_transfer_full_sample
01022500,IC-dPL,train_minus_test,G_IC_minus_G_dPL,0.0036137314768198703,valid,kge,tgd_transfer,G_IC_minus_G_dPL,,matched_primary,XAJ-Base,XAJ-Base,r1_remaining_transfer_full_sample
01022500,IC-dPL,train_minus_test,G_dPL,-0.098442360661209372,valid,kge,tgd_transfer,G_dPL,,matched_primary,XAJ-Base,XAJ-Base,r1_remaining_transfer_full_sample
