basin_id,paradigm,model,period,seed_or_restart,ct_error_signed,ct_error_abs,amjj_error_signed,amjj_error_abs
01022500,IC-CMA-ES,XAJ-Base,test,selected_restart,-28.2,28.2,-0.1290456798694498,0.1290456798694498
01022500,IC-CMA-ES,XAJ-TGD,test,selected_restart,1.3333333333333333,8.533333333333333,-0.0055548908334937,0.0412765249510111
01022500,IC-CMA-ES,XAJ-CN,test,selected_restart,10.533333333333331,11.333333333333334,0.0743481554565859,0.0787404800847816
01022500,dPL-MLP,XAJ-Base,test,selected_restart,-26.4,26.4,-0.1206211643439498,0.1206211643439498
01022500,dPL-MLP,XAJ-TGD,test,selected_restart,-7.666666666666667,10.066666666666666,-0.0500437967004345,0.0635548128938063
01022500,dPL-MLP,XAJ-CN,test,selected_restart,12.8,13.466666666666669,0.0786367017008893,0.0819926565285174
01031500,IC-CMA-ES,XAJ-Base,test,selected_restart,-46.8,46.8,-0.2391679248304394,0.2391679248304394
01031500,IC-CMA-ES,XAJ-TGD,test,selected_restart,-44.4,44.4,-0.2350784883987136,0.2350784883987136
01031500,IC-CMA-ES,XAJ-CN,test,selected_restart,18.4,18.4,0.0739729775894455,0.0802520678298262
01031500,dPL-MLP,XAJ-Base,test,selected_restart,-34.46666666666667,34.46666666666667,-0.2003822074424452,0.2003822074424452
01031500,dPL-MLP,XAJ-TGD,test,selected_restart,7.666666666666667,13.266666666666667,-0.0190005805185663,0.0548524503386474
01031500,dPL-MLP,XAJ-CN,test,selected_restart,21.0,21.0,0.0928114428032212,0.0955565078430699
01047000,IC-CMA-ES,XAJ-Base,test,selected_restart,-39.6,39.6,-0.2131326063121397,0.2131326063121397
01047000,IC-CMA-ES,XAJ-TGD,test,selected_restart,16.4,18.0,0.0568213041976055,0.0653525255098613
01047000,IC-CMA-ES,XAJ-CN,test,selected_restart,18.2,18.2,0.0701837079082887,0.0718617077942365
01047000,dPL-MLP,XAJ-Base,test,selected_restart,-25.73333333333333,25.866666666666667,-0.1813274754727918,0.1813274754727918
01047000,dPL-MLP,XAJ-TGD,test,selected_restart,6.933333333333334,12.133333333333333,-0.0120581411962746,0.0363903249668036
01047000,dPL-MLP,XAJ-CN,test,selected_restart,19.4,19.4,0.0798046505803824,0.0805006122862968
01052500,IC-CMA-ES,XAJ-Base,test,selected_restart,-36.93333333333333,36.93333333333333,-0.2616731990273485,0.2616731990273485
01052500,IC-CMA-ES,XAJ-TGD,test,selected_restart,4.933333333333334,5.2,0.0082085789347002,0.0341517872772219
01052500,IC-CMA-ES,XAJ-CN,test,selected_restart,7.733333333333333,7.733333333333333,0.0628966074292173,0.0668396138518681
01052500,dPL-MLP,XAJ-Base,test,selected_restart,-35.266666666666666,35.266666666666666,-0.2477327504650443,0.2477327504650443
01052500,dPL-MLP,XAJ-TGD,test,selected_restart,3.6666666666666665,4.466666666666667,-0.0152179776525189,0.0401478195613491
01052500,dPL-MLP,XAJ-CN,test,selected_restart,9.533333333333331,9.533333333333331,0.0871246438328733,0.0901128187524289
01054200,IC-CMA-ES,XAJ-Base,test,selected_restart,-38.13333333333333,38.13333333333333,-0.2090455921048118,0.2090455921048118
01054200,IC-CMA-ES,XAJ-TGD,test,selected_restart,-29.8,30.066666666666663,-0.1849777695093744,0.1849777695093744
01054200,IC-CMA-ES,XAJ-CN,test,selected_restart,18.933333333333334,19.33333333333333,0.0662974311357544,0.0765372532983924
01054200,dPL-MLP,XAJ-Base,test,selected_restart,-23.73333333333333,24.933333333333334,-0.1693810737683568,0.1693810737683568
01054200,dPL-MLP,XAJ-TGD,test,selected_restart,12.333333333333334,19.4,0.0069962614224162,0.0485243003472696
01054200,dPL-MLP,XAJ-CN,test,selected_restart,18.933333333333334,19.33333333333333,0.0796607785866465,0.0873656271279161
01055000,IC-CMA-ES,XAJ-Base,test,selected_restart,-36.266666666666666,36.266666666666666,-0.2224423842206931,0.2224423842206931
01055000,IC-CMA-ES,XAJ-TGD,test,selected_restart,-23.73333333333333,24.666666666666668,-0.1899233769948618,0.1899233769948618
01055000,IC-CMA-ES,XAJ-CN,test,selected_restart,20.066666666666663,20.066666666666663,0.085217912835346,0.0889271492973213
01055000,dPL-MLP,XAJ-Base,test,selected_restart,-20.0,21.066666666666663,-0.1814599138076441,0.1814599138076441
01055000,dPL-MLP,XAJ-TGD,test,selected_restart,15.8,18.33333333333333,0.0288329341436091,0.0493982647645029
01055000,dPL-MLP,XAJ-CN,test,selected_restart,21.0,21.0,0.0867630678837164,0.0899816188717638
01057000,IC-CMA-ES,XAJ-Base,test,selected_restart,-37.2,37.2,-0.1899567632179919,0.1899567632179919
01057000,IC-CMA-ES,XAJ-TGD,test,selected_restart,-31.266666666666666,31.266666666666666,-0.1770971410772664,0.1770971410772664
01057000,IC-CMA-ES,XAJ-CN,test,selected_restart,14.733333333333333,16.2,0.0596353254416125,0.0651855407995421
01057000,dPL-MLP,XAJ-Base,test,selected_restart,-26.266666666666666,26.4,-0.1619980229240122,0.1619980229240122
01057000,dPL-MLP,XAJ-TGD,test,selected_restart,6.933333333333334,11.466666666666669,-0.0205553351145449,0.0508653932099924
01057000,dPL-MLP,XAJ-CN,test,selected_restart,14.6,15.933333333333334,0.0610877277154264,0.0694030542018452
01073000,IC-CMA-ES,XAJ-Base,test,selected_restart,-17.066666666666666,18.933333333333334,-0.0820815163652894,0.0826410867393832
01073000,IC-CMA-ES,XAJ-TGD,test,selected_restart,-8.133333333333333,10.933333333333334,-0.0533770355384347,0.0559220286827107
01073000,IC-CMA-ES,XAJ-CN,test,selected_restart,9.133333333333333,11.0,0.0218809174695812,0.037162908505085
01073000,dPL-MLP,XAJ-Base,test,selected_restart,-14.2,15.8,-0.0751010142565565,0.0763184887787521
01073000,dPL-MLP,XAJ-TGD,test,selected_restart,-12.6,14.6,-0.0699859910012083,0.0700085632623057
01073000,dPL-MLP,XAJ-CN,test,selected_restart,9.133333333333333,11.266666666666667,0.0238898344039124,0.0378054403932466
01078000,IC-CMA-ES,XAJ-Base,test,selected_restart,-32.733333333333334,32.733333333333334,-0.1674515144999853,0.1674515144999853
01078000,IC-CMA-ES,XAJ-TGD,test,selected_restart,3.6666666666666665,8.466666666666667,-0.0088597538050047,0.0489972977331151
01078000,IC-CMA-ES,XAJ-CN,test,selected_restart,9.333333333333334,10.8,0.0463007209722169,0.0530123121496341
01078000,dPL-MLP,XAJ-Base,test,selected_restart,-33.06666666666667,33.06666666666667,-0.1662058419958781,0.1662058419958781
01078000,dPL-MLP,XAJ-TGD,test,selected_restart,-1.8,6.733333333333333,-0.0285540701921812,0.0496517920585315
01078000,dPL-MLP,XAJ-CN,test,selected_restart,9.2,11.066666666666666,0.0541588324332205,0.0646702358933848
01123000,IC-CMA-ES,XAJ-Base,test,selected_restart,-7.733333333333333,8.0,-0.0559220381638952,0.0559220381638952
01123000,IC-CMA-ES,XAJ-TGD,test,selected_restart,-10.2,11.266666666666667,-0.0526609985094814,0.0526609985094814
01123000,IC-CMA-ES,XAJ-CN,test,selected_restart,0.6666666666666666,5.6,-0.0184908765615571,0.0220678062108116
