basin_id,paradigm,period,seed_or_restart,signature,first_model,second_model,effect_value,status,analysis_set,valid_years,effect_family,snow_stratum,snow_interval,stratum_n
01022500,IC-CMA-ES,train,selected_restart,AMJJ,XAJ-Base,XAJ-CN,0.079278954495035997,primary_minimum_years,primary_min5,14,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,IC-CMA-ES,train,selected_restart,AMJJ,XAJ-Base,XAJ-CN,0.079278954495035997,primary_minimum_years,sensitivity_min3,14,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,IC-CMA-ES,train,selected_restart,AMJJ,XAJ-Base,XAJ-CN,0.079278954495035997,valid,all_available,,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,IC-CMA-ES,train,selected_restart,AMJJ,XAJ-Base,XAJ-CN,0.079278954495035997,valid,primary_min5_seed,14,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,IC-CMA-ES,train,selected_restart,AMJJ,XAJ-Base,XAJ-CN,0.079278954495035997,valid,sensitivity_min3_seed,14,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,IC-CMA-ES,train,selected_restart,AMJJ,XAJ-Base,XAJ-TGD,0.097572292367041902,primary_minimum_years,primary_min5,14,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,IC-CMA-ES,train,selected_restart,AMJJ,XAJ-Base,XAJ-TGD,0.097572292367041902,primary_minimum_years,sensitivity_min3,14,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,IC-CMA-ES,train,selected_restart,AMJJ,XAJ-Base,XAJ-TGD,0.097572292367041902,valid,all_available,,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,IC-CMA-ES,train,selected_restart,AMJJ,XAJ-Base,XAJ-TGD,0.097572292367041902,valid,primary_min5_seed,14,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,IC-CMA-ES,train,selected_restart,AMJJ,XAJ-Base,XAJ-TGD,0.097572292367041902,valid,sensitivity_min3_seed,14,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,IC-CMA-ES,train,selected_restart,AMJJ,XAJ-TGD,XAJ-CN,-0.018293337872005801,primary_minimum_years,primary_min5,14,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,IC-CMA-ES,train,selected_restart,AMJJ,XAJ-TGD,XAJ-CN,-0.018293337872005801,primary_minimum_years,sensitivity_min3,14,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,IC-CMA-ES,train,selected_restart,AMJJ,XAJ-TGD,XAJ-CN,-0.018293337872005801,valid,all_available,,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,IC-CMA-ES,train,selected_restart,AMJJ,XAJ-TGD,XAJ-CN,-0.018293337872005801,valid,primary_min5_seed,14,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,IC-CMA-ES,train,selected_restart,AMJJ,XAJ-TGD,XAJ-CN,-0.018293337872005801,valid,sensitivity_min3_seed,14,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,IC-CMA-ES,train,selected_restart,CT,XAJ-Base,XAJ-CN,25.5,primary_minimum_years,primary_min5,14,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,IC-CMA-ES,train,selected_restart,CT,XAJ-Base,XAJ-CN,25.5,primary_minimum_years,sensitivity_min3,14,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,IC-CMA-ES,train,selected_restart,CT,XAJ-Base,XAJ-CN,25.5,valid,all_available,,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,IC-CMA-ES,train,selected_restart,CT,XAJ-Base,XAJ-CN,25.5,valid,primary_min5_seed,14,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,IC-CMA-ES,train,selected_restart,CT,XAJ-Base,XAJ-CN,25.5,valid,sensitivity_min3_seed,14,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,IC-CMA-ES,train,selected_restart,CT,XAJ-Base,XAJ-TGD,29,primary_minimum_years,primary_min5,14,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,IC-CMA-ES,train,selected_restart,CT,XAJ-Base,XAJ-TGD,29,primary_minimum_years,sensitivity_min3,14,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,IC-CMA-ES,train,selected_restart,CT,XAJ-Base,XAJ-TGD,29,valid,all_available,,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,IC-CMA-ES,train,selected_restart,CT,XAJ-Base,XAJ-TGD,29,valid,primary_min5_seed,14,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,IC-CMA-ES,train,selected_restart,CT,XAJ-Base,XAJ-TGD,29,valid,sensitivity_min3_seed,14,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,IC-CMA-ES,train,selected_restart,CT,XAJ-TGD,XAJ-CN,-3.5,primary_minimum_years,primary_min5,14,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,IC-CMA-ES,train,selected_restart,CT,XAJ-TGD,XAJ-CN,-3.5,primary_minimum_years,sensitivity_min3,14,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,IC-CMA-ES,train,selected_restart,CT,XAJ-TGD,XAJ-CN,-3.5,valid,all_available,,signature_error_reduction,S3,"[0.15, 0.30)",121
