metric,period,paradigm,effect,summary_level,snow_stratum,stratum_n,valid_basin_count,median,bootstrap_ci_low,bootstrap_ci_high,fraction_positive,model
kge,test,IC-CMA-ES,CN-TGD,snow_stratum,S1,165,165,0.0014667275236973643,-0.0011957920555911716,0.005096632414213431,0.5272727272727272,
kge,test,IC-CMA-ES,CN-TGD,snow_stratum,S2,156,156,0.007258972452275081,0.0023917326968047824,0.010646280418050713,0.6217948717948718,
kge,test,IC-CMA-ES,CN-TGD,snow_stratum,S3,121,121,0.06781032115713637,0.04762866098147123,0.07670528701602553,0.8264462809917356,
kge,test,IC-CMA-ES,CN-TGD,snow_stratum,S4,34,34,0.10350816753539516,0.023848421886207647,0.14590006108448278,0.7941176470588235,
kge,test,IC-CMA-ES,CN-TGD,snow_stratum,S5,55,55,0.1588132233132552,0.10971210810579357,0.21089834530958906,0.8909090909090909,
kge,test,IC-CMA-ES,CN-Base,full_sample,full_sample,531,531,0.027315425020796535,0.02052506083700545,0.03594677352397213,0.7325800376647834,
kge,test,IC-CMA-ES,CN-Base,snow_stratum,S1,165,165,0.001379019718125707,-0.0007134751156978592,0.003867364259200201,0.5393939393939394,
kge,test,IC-CMA-ES,CN-Base,snow_stratum,S2,156,156,0.01294838284940869,0.00981986979156501,0.019608037921047938,0.6858974358974359,
kge,test,IC-CMA-ES,CN-Base,snow_stratum,S3,121,121,0.10691340780912861,0.0948088631748914,0.12279770491660436,0.9008264462809917,
kge,test,IC-CMA-ES,CN-Base,snow_stratum,S4,34,34,0.18984632940382545,0.13707592243329514,0.2957575775644321,0.8823529411764706,
kge,test,IC-CMA-ES,CN-Base,snow_stratum,S5,55,55,0.6831842626764355,0.5520737372437906,0.7663138959143586,0.9818181818181818,
kge,test,dPL-MLP,TGD-Base,full_sample,full_sample,515,515,0.01465987746021602,0.011630878196031036,0.020240076126657458,0.6563106796116505,
kge,test,dPL-MLP,TGD-Base,snow_stratum,S1,161,161,-6.979111126248494e-05,-0.005443340205120606,0.005822078028994704,0.4968944099378882,
kge,test,dPL-MLP,TGD-Base,snow_stratum,S2,155,155,0.006102451189815561,0.0008336213039176199,0.011857742486608869,0.5935483870967742,
kge,test,dPL-MLP,TGD-Base,snow_stratum,S3,118,118,0.03609566927866925,0.023925291613214106,0.04472202677500128,0.7711864406779662,
kge,test,dPL-MLP,TGD-Base,snow_stratum,S4,32,32,0.03456707954382371,0.02351465345599052,0.18807984571263328,0.84375,
kge,test,dPL-MLP,TGD-Base,snow_stratum,S5,49,49,0.5205920856871434,0.4316668178086908,0.5795613380969568,0.9795918367346939,
kge,test,dPL-MLP,CN-TGD,full_sample,full_sample,515,515,0.011384229004068214,0.006581309230673904,0.016265037564111153,0.5902912621359223,
kge,test,dPL-MLP,CN-TGD,snow_stratum,S1,161,161,-0.0031976691721645745,-0.012455439151180303,0.0043760161279622345,0.4720496894409938,
