Regime,Denominator type,Denominator definition,KGE threshold,Configuration,CT threshold (days),Denominator N,Large |Delta CT| N,Large |Delta CT| fraction
dPL,common-pass,all Base/TGD/CN KGE pass,0.7,TGD,15.0,233,16,0.06866952789699571
dPL,common-pass,all Base/TGD/CN KGE pass,0.7,TGD,20.0,233,9,0.03862660944206009
dPL,common-pass,all Base/TGD/CN KGE pass,0.7,CN,10.0,233,20,0.08583690987124463
dPL,common-pass,all Base/TGD/CN KGE pass,0.7,CN,15.0,233,6,0.02575107296137339
dPL,common-pass,all Base/TGD/CN KGE pass,0.7,CN,20.0,233,0,0.0
dPL,common-pass,all Base/TGD/CN KGE pass,0.8,Base,10.0,91,14,0.15384615384615385
dPL,common-pass,all Base/TGD/CN KGE pass,0.8,Base,15.0,91,6,0.06593406593406594
dPL,common-pass,all Base/TGD/CN KGE pass,0.8,Base,20.0,91,0,0.0
dPL,common-pass,all Base/TGD/CN KGE pass,0.8,TGD,10.0,91,13,0.14285714285714285
dPL,common-pass,all Base/TGD/CN KGE pass,0.8,TGD,15.0,91,5,0.054945054945054944
dPL,common-pass,all Base/TGD/CN KGE pass,0.8,TGD,20.0,91,0,0.0
dPL,common-pass,all Base/TGD/CN KGE pass,0.8,CN,10.0,91,3,0.03296703296703297
dPL,common-pass,all Base/TGD/CN KGE pass,0.8,CN,15.0,91,2,0.02197802197802198
dPL,common-pass,all Base/TGD/CN KGE pass,0.8,CN,20.0,91,0,0.0
