paradigm,D threshold,N_valid,valid_rate_fraction,F_close median,F_TGD median,Delta F median,P(Delta F > 0),F_close IQR,F_close P05,F_close P95,F_TGD IQR,F_TGD P05,F_TGD P95
IC,1e-06,427,0.8041431261770244,0.1014937993294622,0.5456445335373832,0.4599505852933375,0.9156908665105388,0.2236412841150898,-1.043648226255363,0.3795299596314992,0.3462693492377402,-0.3882577694659214,0.9116630755128098
IC,0.0001,427,0.8041431261770244,0.1014937993294622,0.5456445335373832,0.4599505852933375,0.9156908665105388,0.2236412841150898,-1.043648226255363,0.3795299596314992,0.3462693492377402,-0.3882577694659214,0.9116630755128098
IC,0.001,424,0.7984934086629002,0.102166799796844,0.5459938836118026,0.4601086806342084,0.9198113207547168,0.2220872195313742,-0.9144373043437158,0.3809906434601719,0.3448559904461857,-0.3274967339537917,0.9100848244474476
IC,0.01,395,0.743879472693032,0.1085777015637008,0.5472077278931079,0.4586932528722018,0.9291139240506328,0.1910129154429341,-0.4437424114644133,0.3499880124640016,0.3232349878602425,-0.183915178831446,0.89677594755438
IC,0.02,366,0.6892655367231638,0.1124133322773845,0.5493715610945147,0.4585315276531981,0.9344262295081968,0.1747023946287062,-0.2989678968420098,0.3318226584276239,0.3068044738954395,-0.0054348483401044,0.8930682677407598
IC,0.05,303,0.5706214689265536,0.1293954726052701,0.5663450902381473,0.45742812570097,0.9603960396039604,0.1299919239028692,-0.1093247133314498,0.3244057018608179,0.2974639199972397,0.14446354994647,0.8906132928416721
IC,0.1,251,0.4726930320150659,0.1422060628062291,0.5831198097402672,0.4578729182304357,0.9681274900398408,0.1025461013132837,-0.056029525413807,0.323182290521591,0.302157573073773,0.1747723475369121,0.8941021957017943
dPL,1e-06,460,0.8662900188323918,0.1020509269498743,0.5211616591113655,0.4409976062846834,0.9282608695652174,0.1693587194715754,-0.631948799515513,0.3611551587725673,0.3001094170997853,-0.0419393500993005,0.8719414278093106
dPL,0.0001,460,0.8662900188323918,0.1020509269498743,0.5211616591113655,0.4409976062846834,0.9282608695652174,0.1693587194715754,-0.631948799515513,0.3611551587725673,0.3001094170997853,-0.0419393500993005,0.8719414278093106
dPL,0.001,454,0.8549905838041432,0.1041122238181747,0.5237702861124833,0.4399102096575982,0.9317180616740088,0.1608773368752259,-0.5347631887216677,0.3616388159858405,0.2957532533991087,0.0088057772760203,0.8727770330797552
dPL,0.01,421,0.7928436911487758,0.1091519445587436,0.52945762960658,0.4360266279784752,0.9477434679334916,0.1488859423268962,-0.2542470073151182,0.3589834070167055,0.2836879931749812,0.1054449806824974,0.8704961754628949
dPL,0.02,389,0.7325800376647834,0.1110058280040871,0.5361881201947375,0.431503505340169,0.9588688946015425,0.1385485218906386,-0.1317604109579132,0.3372172163869452,0.2796728630125603,0.1196387126131498,0.8692981904102893
dPL,0.05,322,0.6064030131826742,0.1213278591948648,0.5419679896647696,0.4226212913321696,0.9627329192546584,0.1243282417472491,-0.0211766229460271,0.3364240058365739,0.2920330340399132,0.132343714180014,0.8717368610241695
dPL,0.1,257,0.4839924670433145,0.1323044976899774,0.5781940567589163,0.4412111708053102,0.9610894941634242,0.1113331187686129,-0.0116322998452386,0.3345625420268081,0.2808550413734493,0.1289597355410656,0.872359230444533
