basin_id,paradigm,E_param_base,E_param_tgd,C15_base,C15_tgd,E_param_cn,seed,E_param_excess_base,E_param_excess_tgd,G_base,G_TGD_ko,frac_snow,snow_stratum
01022500,IC,0.3081924694930533,0.2723803330778311,0.2435688793426365,0.4493800404635096,0.070410102562753,,0.2377823669303003,0.20197023051507812,0.0432834728039233,0.2653355370589702,0.245259009248271,S3
01022500,dPL,0.2784855123979921,0.2240417488937511,0.2449940380297209,0.2399404181374444,0.0242200026866206,42.0,0.25426550971137146,0.1998217462071305,0.0446977264336622,0.2532121779535741,0.245259009248271,S3
01022500,dPL,0.2787906881792421,0.2600506063921327,0.2206287986579506,0.2460407614707946,0.0363598968672152,123.0,0.24243079131202688,0.22369070952491749,0.0444196835031721,0.2587375348902683,0.245259009248271,S3
01022500,dPL,0.2777785218380962,0.2576557468975224,0.221890474592025,0.2468112008324985,0.0316302335095138,2026.0,0.2461482883285824,0.2260255133880086,0.0439947828393542,0.2598518090278048,0.245259009248271,S3
01031500,IC,0.3313236576114695,0.3313236576114695,0.3026197452134336,0.1362372698453717,0.0350611137032636,,0.2962625439082059,0.2962625439082059,0.0686518367823884,0.4098783784488742,0.291836473001958,S3
01031500,dPL,0.3205846621530709,0.3047948901737383,0.3000643849372864,0.2290111354419163,0.0311100378195994,42.0,0.2894746243334715,0.27368485235413886,0.0753369764032899,0.4054760598239484,0.291836473001958,S3
01031500,dPL,0.3219905314975864,0.2741744704893211,0.2211904525756836,0.262871631823088,0.0382813121947966,123.0,0.2837092193027898,0.23589315829452448,0.0758718170188113,0.40888892218870065,0.291836473001958,S3
01031500,dPL,0.3225912691501947,0.2697299190361788,0.2223246909185642,0.2399376763237847,0.0335577863323544,2026.0,0.2890334828178403,0.23617213270382442,0.069825806397312,0.4079417088704743,0.291836473001958,S3
01047000,IC,0.1885238689280827,0.1950697975027183,0.1788875346380737,0.2425478697617875,0.0496898271196398,,0.13883404180844292,0.1453799703830785,0.0624433557344898,0.4034869737754991,0.280118126940736,S3
01047000,dPL,0.3124918169120116,0.258283549461696,0.3004065464282858,0.2390918987137931,0.0505539587886594,42.0,0.26193785812335224,0.20772959067303662,0.0756972413310998,0.4003931399758291,0.280118126940736,S3
01047000,dPL,0.3176438855520681,0.2379926996378032,0.2263769821116799,0.2912087525640215,0.0523940317771557,123.0,0.2652498537749124,0.1855986678606475,0.0739434379815881,0.4010467360604903,0.280118126940736,S3
01047000,dPL,0.3218479977194822,0.2179744340016515,0.2407830697363048,0.238425446053346,0.0500746356075936,2026.0,0.2717733621118886,0.16789979839405791,0.0709918146289719,0.4030894800500287,0.280118126940736,S3
01052500,IC,0.4439426206513333,0.357625217155224,0.5062089776993354,0.1188402887704014,0.0930401291111795,,0.3509024915401538,0.2645850880440445,0.1748438916167934,0.7205737058342511,0.352698254049326,S4
