basin_id,paradigm,regime,contrast,within_a,within_b,within_pooled,between_all,excess,prop_between_gt_within,prop_excess_gt_0,frac_snow,snow_stratum,snow_regime
01022500,IC,IC,Base-CN,0.41575565681520144,0.40183433326607276,0.4087949950406371,0.48953374047110532,0.080738745430468217,True,True,0.24525900924827099,S3,S3
01022500,IC,IC,Base-TGD,0.41575565681520144,0.38530909941956681,0.40053237811738412,0.48160293287777378,0.081070554760389657,True,True,0.24525900924827099,S3,S3
01022500,IC,IC,TGD-CN,0.38530909941956681,0.40183433326607276,0.39357171634281979,0.49096380130558087,0.097392084962761083,True,True,0.24525900924827099,S3,S3
01031500,IC,IC,Base-CN,0.49687649371156212,0.43671375936387807,0.4667951265377201,0.50925208211176964,0.042456955574049549,True,True,0.29183647300195797,S3,S3
01031500,IC,IC,Base-TGD,0.49687649371156212,0.50858377918749476,0.50273013644952846,0.50581307465978198,0.0030829382102535163,True,True,0.29183647300195797,S3,S3
01031500,IC,IC,TGD-CN,0.50858377918749476,0.43671375936387807,0.47264876927568644,0.49518344843051698,0.022534679154830539,True,True,0.29183647300195797,S3,S3
01047000,IC,IC,Base-CN,0.37362745076675313,0.52688062555442527,0.45025403816058918,0.43590727454198264,-0.014346763618606539,False,False,0.28011812694073601,S3,S3
01047000,IC,IC,Base-TGD,0.37362745076675313,0.50720452271076866,0.44041598673876092,0.49947118621892928,0.059055199480168352,True,True,0.28011812694073601,S3,S3
01047000,IC,IC,TGD-CN,0.50720452271076866,0.52688062555442527,0.51704257413259702,0.51813531920840328,0.0010927450758062562,True,True,0.28011812694073601,S3,S3
01052500,IC,IC,Base-CN,0.51857951085931375,0.45969552855539308,0.48913751970735342,0.55344129847856438,0.064303778771210962,True,True,0.35269825404932598,S4,S4
01052500,IC,IC,Base-TGD,0.51857951085931375,0.32729314666850662,0.42293632876391019,0.57186848134406398,0.1489321525801538,True,True,0.35269825404932598,S4,S4
01052500,IC,IC,TGD-CN,0.32729314666850662,0.45969552855539308,0.39349433761194985,0.5007213123879789,0.10722697477602905,True,True,0.35269825404932598,S4,S4
01054200,IC,IC,Base-CN,0.44411787052971291,0.5068423126626741,0.47548009159619353,0.48443435473148294,0.0089542631352894086,True,True,0.29964153966287899,S3,S3
01054200,IC,IC,Base-TGD,0.44411787052971291,0.55758689908833348,0.50085238480902317,0.57157708305140731,0.070724698242384143,True,True,0.29964153966287899,S3,S3
01054200,IC,IC,TGD-CN,0.55758689908833348,0.5068423126626741,0.53221460587550373,0.52419758530461569,-0.0080170205708880449,False,False,0.29964153966287899,S3,S3
01055000,IC,IC,Base-CN,0.38088765522573254,0.47198966676739484,0.42643866099656369,0.49732118833226047,0.070882527335696777,True,True,0.30604885169486701,S4,S4
01055000,IC,IC,Base-TGD,0.38088765522573254,0.54520064164532744,0.46304414843552999,0.46573458871883616,0.0026904402833061725,True,True,0.30604885169486701,S4,S4
01055000,IC,IC,TGD-CN,0.54520064164532744,0.47198966676739484,0.50859515420636114,0.53504850941314686,0.026453355206785711,True,True,0.30604885169486701,S4,S4
01057000,IC,IC,Base-CN,0.43582449202820223,0.43978270738781111,0.43780359970800664,0.44826181294870504,0.0104582132406984,True,True,0.25115767276909801,S3,S3
01057000,IC,IC,Base-TGD,0.43582449202820223,0.46435663701136182,0.45009056451978202,0.46335067579315664,0.01326011127337462,True,True,0.25115767276909801,S3,S3
01057000,IC,IC,TGD-CN,0.46435663701136182,0.43978270738781111,0.45206967219958649,0.4418431662258,-0.010226505973786493,False,False,0.25115767276909801,S3,S3
01073000,IC,IC,Base-CN,0.37758685519173546,0.50768395525899057,0.44263540522536304,0.44242531443126376,-0.00021009079409928244,False,False,0.17503243505173999,S3,S3
01073000,IC,IC,Base-TGD,0.37758685519173546,0.50432343925475986,0.44095514722324769,0.44768127132359548,0.0067261241003477856,True,True,0.17503243505173999,S3,S3
01073000,IC,IC,TGD-CN,0.50432343925475986,0.50768395525899057,0.50600369725687522,0.49322643332870042,-0.012777263928174798,False,False,0.17503243505173999,S3,S3
01078000,IC,IC,Base-CN,0.45112475088479165,0.45196534734209642,0.45154504911344406,0.49085294135625684,0.039307892242812781,True,True,0.23971852199071,S3,S3
01078000,IC,IC,Base-TGD,0.45112475088479165,0.51910965613482241,0.48511720350980703,0.52902807201763802,0.043910868507830991,True,True,0.23971852199071,S3,S3
01078000,IC,IC,TGD-CN,0.51910965613482241,0.45196534734209642,0.48553750173845944,0.51874063524524106,0.033203133506781612,True,True,0.23971852199071,S3,S3
01123000,IC,IC,Base-CN,0.46596878233578198,0.40386474856391785,0.43491676544984992,0.44621165535245672,0.011294889902606797,True,True,0.136053399026134,S2,S2
01123000,IC,IC,Base-TGD,0.46596878233578198,0.48797463451563661,0.4769717084257093,0.4786633351548687,0.0016916267291594012,True,True,0.136053399026134,S2,S2
01123000,IC,IC,TGD-CN,0.48797463451563661,0.40386474856391785,0.44591969153977723,0.43727577511112192,-0.0086439164286553072,False,False,0.136053399026134,S2,S2
01134500,IC,IC,Base-CN,0.56288512540378033,0.48113401438939468,0.52200956989658753,0.54303338042840177,0.021023810531814235,True,True,0.28058208922815098,S3,S3
01134500,IC,IC,Base-TGD,0.56288512540378033,0.50727932667089692,0.53508222603733868,0.53998652367606259,0.004904297638723909,True,True,0.28058208922815098,S3,S3
