basin_id,paradigm,regime,structure,reduction_rule,selected_member,train_kge,test_kge,frac_snow,snow_stratum,z_xaj_k,z_xaj_b,z_xaj_im,z_xaj_um,z_xaj_lm,z_xaj_dm,z_xaj_c,z_xaj_sm,z_xaj_ex,z_xaj_ki,z_xaj_kg,z_xaj_ci,z_xaj_cg,z_xaj_a,z_xaj_theta,phys_xaj_k,phys_xaj_b,phys_xaj_im,phys_xaj_um,phys_xaj_lm,phys_xaj_dm,phys_xaj_c,phys_xaj_sm,phys_xaj_ex,phys_xaj_ki,phys_xaj_kg,phys_xaj_ci,phys_xaj_cg,phys_xaj_a,phys_xaj_theta,xaj_k,xaj_b,xaj_im,xaj_um,xaj_lm,xaj_dm,xaj_c,xaj_sm,xaj_ex,xaj_ki,xaj_kg,xaj_ci,xaj_cg,xaj_a,xaj_theta
01022500,IC,IC,Base,best_train_kge_restart,start_06,0.684667164959437,0.7794957941438266,0.245259009248271,S3,0.1226965665797024,1.0,0.0,1.0,0.47978009456164733,0.0,1.0,0.306282736371751,0.21943113862660837,0.19387673565642033,0.0,0.1712160377618632,0.0,0.8156498135383451,0.042195441487401064,0.6840448498695536,2.0,0.0,50.0,106.36041702109652,20.0,0.3,34.09685995531635,0.5169191633905559,0.13571371495949422,0.0,0.2540944339856769,0.9,2.365384459261201,0.2742703696681069,0.1226965665797024,1.0,0.0,1.0,0.47978009456164733,0.0,1.0,0.306282736371751,0.21943113862660837,0.19387673565642033,0.0,0.1712160377618632,0.0,0.8156498135383451,0.042195441487401064
01031500,IC,IC,Base,best_train_kge_restart,start_03,0.6251466690221446,0.6153475872020091,0.291836473001958,S3,0.0849842281808298,0.0,0.0,1.0,1.0,0.0,0.7384173829286824,0.2713653807316773,0.0,0.5722105968767289,0.0,0.21837493548317946,0.6208141148729697,0.0,0.0,0.6274763422712447,0.1,0.0,50.0,200.0,20.0,0.2346043457321706,30.779711169509344,0.1,0.4005474178137102,0.0,0.29653744193486153,0.962081411487297,0.0,0.0,0.0849842281808298,0.0,0.0,1.0,1.0,0.0,0.7384173829286824,0.2713653807316773,0.0,0.5722105968767289,0.0,0.21837493548317946,0.6208141148729697,0.0,0.0
01047000,IC,IC,Base,best_train_kge_restart,start_08,0.5961850067098395,0.6515678636299185,0.280118126940736,S3,0.0,0.24535629013656404,0.0,1.0,0.17241605106693142,0.0,1.0,0.2597671015420977,0.0,0.46794892475138883,0.0,0.0960362152798638,0.7282731012225664,0.0,0.0,0.5,0.5661769512594717,0.0,50.0,51.03488919204766,20.0,0.3,29.67787464649928,0.1,0.32756424732597217,0.0,0.18643259375187743,0.9728273101222566,0.0,0.0,0.0,0.24535629013656404,0.0,1.0,0.17241605106693142,0.0,1.0,0.2597671015420977,0.0,0.46794892475138883,0.0,0.0960362152798638,0.7282731012225664,0.0,0.0
01052500,IC,IC,Base,best_train_kge_restart,start_02,0.3157943935764499,0.4095471046534207,0.352698254049326,S4,0.0,0.0,0.15133288789314775,1.0,1.0,0.0,0.05064188021269622,0.0,0.0,1.0,0.8318149152556262,0.42549749143507865,1.0,0.8173645610041282,0.0,0.5,0.1,0.045399866367944325,50.0,200.0,20.0,0.06266047005317406,5.0,0.1,0.7,0.5822704406789383,0.4829477422915708,1.0,2.3703572269119717,0.0,0.0,0.0,0.15133288789314775,1.0,1.0,0.0,0.05064188021269622,0.0,0.0,1.0,0.8318149152556262,0.42549749143507865,1.0,0.8173645610041282,0.0
01054200,IC,IC,Base,best_train_kge_restart,start_02,0.5920074789796833,0.6217603253808821,0.299641539662879,S3,0.08448773599548254,0.10817759227448466,0.016729005012595062,1.0,1.0,0.0,0.0,0.02756147657294928,1.0,1.0,0.0,0.829899542161606,1.0,0.0,0.0,0.6267316039932238,0.30553742532152084,0.0050187015037785184,50.0,200.0,20.0,0.05,7.618340274430182,2.0,0.7,0.0,0.8469095879454454,1.0,0.0,0.0,0.08448773599548254,0.10817759227448466,0.016729005012595062,1.0,1.0,0.0,0.0,0.02756147657294928,1.0,1.0,0.0,0.829899542161606,1.0,0.0,0.0
01055000,IC,IC,Base,best_train_kge_restart,start_09,0.5657646280475459,0.6000685653282838,0.306048851694867,S4,0.039910770179993005,0.20683460943062254,0.0,1.0,0.38111176463067015,0.0,0.0,0.13653983801513744,0.31468480413382666,0.28520053744743235,0.0,0.0,0.6074364287670976,0.0,0.0,0.5598661552699895,0.4929857579181828,0.0,50.0,88.60011763352063,20.0,0.05,17.971284611438058,0.6979011278542706,0.19964037621320263,0.0,0.1,0.9607436428767098,0.0,0.0,0.039910770179993005,0.20683460943062254,0.0,1.0,0.38111176463067015,0.0,0.0,0.13653983801513744,0.31468480413382666,0.28520053744743235,0.0,0.0,0.6074364287670976,0.0,0.0
01057000,IC,IC,Base,best_train_kge_restart,start_01,0.7050511172575934,0.4768080506968684,0.251157672769098,S3,0.1009355191430193,0.11643011947800093,0.0,1.0,1.0,0.0,0.0,0.3088024576439104,0.015332900853408996,0.36719482931697234,0.0,0.07009404610862216,0.9199785673274099,0.2698771462170441,0.0,0.651403278714529,0.32121722700820177,0.0,50.0,200.0,20.0,0.05,34.336233476171486,0.1291325116214771,0.2570363805218806,0.0,0.16308464149775995,0.991997856732741,0.782643724029428,0.0,0.1009355191430193,0.11643011947800093,0.0,1.0,1.0,0.0,0.0,0.3088024576439104,0.015332900853408996,0.36719482931697234,0.0,0.07009404610862216,0.9199785673274099,0.2698771462170441,0.0
01073000,IC,IC,Base,best_train_kge_restart,start_08,0.7939554993587402,0.7520816024157925,0.17503243505174,S3,0.08855200261330139,0.19434160272502876,0.0,1.0,0.9069286504987493,0.0,0.8018793736073073,0.27050899650693505,0.10103892388165914,0.1925614956011842,0.0,0.3275053763874662,0.0,0.8316525425732677,0.0,0.6328280039199521,0.4692490451775546,0.0,50.0,183.24715708977487,20.0,0.2504698434018268,30.69835466815883,0.29197395537515236,0.13479304692082894,0.0,0.3947548387487195,0.9,2.411792373462476,0.0,0.08855200261330139,0.19434160272502876,0.0,1.0,0.9069286504987493,0.0,0.8018793736073073,0.27050899650693505,0.10103892388165914,0.1925614956011842,0.0,0.3275053763874662,0.0,0.8316525425732677,0.0
01078000,IC,IC,Base,best_train_kge_restart,start_01,0.621830744765001,0.6373609008917611,0.23971852199071,S3,0.14794401635430754,1.0,0.0,1.0,0.5952250032396799,0.0,1.0,0.12869565458352908,1.0,0.2657069853954082,0.0,0.48274336810007723,0.0,0.966960955231855,0.0,0.7219160245314613,2.0,0.0,50.0,127.14050058314237,20.0,0.3,17.22608718543526,2.0,0.18599488977678574,0.0,0.5344690312900695,0.9,2.8041867701723793,0.0,0.14794401635430754,1.0,0.0,1.0,0.5952250032396799,0.0,1.0,0.12869565458352908,1.0,0.2657069853954082,0.0,0.48274336810007723,0.0,0.966960955231855,0.0
01123000,IC,IC,Base,best_train_kge_restart,start_02,0.880958214191822,0.8436964824087727,0.136053399026134,S2,0.21948520111586375,0.3629006638198583,0.0,1.0,1.0,0.0,0.0,0.5010031667741436,1.0,0.13609977854116803,0.1610574956432605,0.12578614156251525,0.42001183500470674,0.5763236515577838,0.0,0.8292278016737956,0.7895112612577307,0.0,50.0,200.0,20.0,0.05,52.59530084354364,2.0,0.09526984497881762,0.11274024695028234,0.21320752740626372,0.9420011835004707,1.6713385895175727,0.0,0.21948520111586375,0.3629006638198583,0.0,1.0,1.0,0.0,0.0,0.5010031667741436,1.0,0.13609977854116803,0.1610574956432605,0.12578614156251525,0.42001183500470674,0.5763236515577838,0.0
