paradigm,parameter,symbol,process,n_basins,mean_contribution_share_pct,median_contribution_share_pct,q25_contribution_share_pct,q75_contribution_share_pct,max_single_basin_share_pct
IC,xaj_k,k,soil,531,0.92699692570274095,0.03246431635615573,0.00066677306952446893,0.44029358847004219,34.376464927223509
IC,xaj_b,b,soil,531,5.7507269444070435,0.24657725892166679,0.00012165289134901198,5.0140856858176788,96.308388112294182
IC,xaj_im,im,soil,531,1.3669968547279663,0,0,0.26378832057665658,57.531043700621154
IC,xaj_um,um,soil,531,7.6606863940498382,0,0,11.306526054567904,85.188350670627216
IC,xaj_lm,lm,soil,531,8.0339289851417597,1.1665699718553091,0,11.240130651351718,78.044540462052609
IC,xaj_dm,dm,soil,531,9.4485085618737159,0.74246866548117463,0,13.67295908055295,98.563919082443462
IC,xaj_c,c,soil,531,13.502985022084518,3.1363399068921374,0,22.035993486550527,98.991173036564206
IC,xaj_sm,sm,routing,531,3.3301043365128598,0.31875889433544918,0.014027348672241877,2.3970486620717444,76.880193537442835
IC,xaj_ex,ex,routing,531,9.6075209506728658,0.58992846430889678,0,15.835422474025245,98.464382453677985
IC,xaj_ki,ki,routing,531,7.2013131243579203,1.051837097631358,0.021154511010025422,9.7328890383640321,91.719835452815218
IC,xaj_kg,kg,routing,531,6.9196827601571869,0.70405832181054728,0,7.8280945501264885,83.46104346973847
IC,xaj_ci,ci,routing,531,8.3861847787065233,2.4536161777394572,0.11756343626190739,12.499715186352248,98.837436740208076
IC,xaj_cg,cg,routing,531,9.8434116203326685,1.8261633541186193,0.030784580683781298,12.833042964810337,99.99990418457682
IC,xaj_a,a,routing,531,4.1766623737151756,0.091338529832784024,0,3.3766449928907232,100
IC,xaj_theta,theta,routing,531,3.8442903675572153,0.00013447571536583105,0,0.8526681945835668,86.203830135601535
dPL,xaj_k,k,soil,531,0.67655139300147582,0.048736321765892557,0.0067848338187194469,0.34136619117282979,28.179802282499182
dPL,xaj_b,b,soil,531,6.3600075399410052,0.66007589103565223,0.043368254584921044,5.2480522390270279,76.638386365206486
dPL,xaj_im,im,soil,531,1.0863417461860434,0.0060859150113732373,0.00022051045236030881,0.077144848150123221,26.031291629266988
dPL,xaj_um,um,soil,531,11.581527109954342,0.8623694220661573,0.02376781814729019,17.943935728851994,91.410185136766174
dPL,xaj_lm,lm,soil,531,4.9828429597207515,1.1995017096191836,0.13771919995007445,5.4677227305049385,73.291875213789609
dPL,xaj_dm,dm,soil,531,3.6091952609323776,0.026511015850344013,0.0011189022146484665,0.83569529750721994,76.259812028852821
dPL,xaj_c,c,soil,531,6.2571022266991614,0.19991908804311101,0.011551310047053901,3.6547591997148396,84.032150887163525
dPL,xaj_sm,sm,routing,531,3.6344595578556786,0.90989319601566199,0.12062220061443857,3.871127335689807,43.211576692089238
dPL,xaj_ex,ex,routing,531,12.303225683871386,3.1354928906341324,0.16337633687142444,16.824457613934168,90.246383123423627
dPL,xaj_ki,ki,routing,531,13.03932200299189,6.5334696243755781,1.0226228797917167,20.101967757639848,91.464106426523756
dPL,xaj_kg,kg,routing,531,8.7610386610916677,2.1582133970510831,0.10498149069237102,11.351185784260876,95.105205351907088
dPL,xaj_ci,ci,routing,531,9.5185357182297334,3.174485036098647,0.79893709836307525,12.702438465140053,81.50992372103002
dPL,xaj_cg,cg,routing,531,13.758437996612461,4.4547023322029249,0.48907232048293703,17.405895383698734,95.039001276467232
dPL,xaj_a,a,routing,531,3.2796437507032676,0.73415097141160246,0.10106870717707059,3.3935414358942082,48.744929105000232
dPL,xaj_theta,theta,routing,531,1.1517683922087596,0.0054794354263393436,0.00054595571756236357,0.072514794430090332,52.727398847014861
