paradigm,stratum,n_basins,beta_Base_CN,beta_Base_CN_ci_lower,beta_Base_CN_ci_upper,beta_Base_TGD,beta_Base_TGD_ci_lower,beta_Base_TGD_ci_upper,delta_beta,delta_beta_ci_lower,delta_beta_ci_upper,paired_bootstrap
IC,Full531,531,0.15424736864090052,0.13587240406289502,0.17546198122595724,0.15381328392745308,0.12475465751614943,0.18443784448729855,0.00043408471344744126,-0.031668775595790871,0.030450625976597877,True
IC,ExcludeS5,476,0.13872937023830911,0.10786280538904373,0.17070782494207176,0.11552766650197105,0.076376271269008131,0.16007592429112871,0.023201703736338064,-0.011395388344679128,0.056609435509811616,True
dPL,Full531,531,0.19740194186268109,0.14148788139808005,0.26101812710710126,0.15625183932257988,0.10918274207843606,0.21159507956528545,0.041150102540101208,0.01142649458194194,0.081014806634630315,True
dPL,ExcludeS5,476,0.42712826931927295,0.32403344631798059,0.52336538674812727,0.34099765485195055,0.26015483854547161,0.42042473426535465,0.086130614467322397,0.023272308306033607,0.15471962873538386,True
