basin_id,paradigm,snow_stratum,frac_snow,excess_base_cn,excess_base_tgd,delta_excess,is_delta_excess_positive,is_base_cn_between_gt_within,is_base_tgd_between_gt_within
01022500,IC,S3,0.2452590092482709,0.080738745430468203,0.081070554760389602,-0.00033180932992139811,False,True,True
01031500,IC,S3,0.29183647300195792,0.0424569555740495,0.0030829382102534999,0.039374017363795998,True,True,True
01047000,IC,S3,0.28011812694073601,-0.0143467636186065,0.059055199480168297,-0.073401963098774795,False,False,True
01052500,IC,S4,0.35269825404932592,0.064303778771210907,0.1489321525801538,-0.084628373808942892,False,True,True
01054200,IC,S3,0.29964153966287888,0.0089542631352894,0.070724698242384101,-0.0617704351070947,False,True,True
01055000,IC,S4,0.30604885169486701,0.070882527335696693,0.0026904402833061,0.06819208705239059,True,True,True
01057000,IC,S3,0.25115767276909801,0.0104582132406984,0.013260111273374601,-0.0028018980326762009,False,True,True
01073000,IC,S3,0.1750324350517399,-0.00021009079409919999,0.0067261241003476998,-0.0069362148944468998,False,False,True
01078000,IC,S3,0.23971852199071,0.039307892242812698,0.043910868507830901,-0.0046029762650182035,False,True,True
01123000,IC,S2,0.136053399026134,0.0112948899026067,0.0016916267291594001,0.0096032631734473007,True,True,True
01134500,IC,S3,0.28058208922815092,0.021023810531814201,0.0049042976387239003,0.016119512893090299,True,True,True
01137500,IC,S4,0.301814975818189,0.0768959493177791,0.067303132393164697,0.0095928169246144029,True,True,True
01139000,IC,S3,0.246562671549799,0.0415914010743373,0.050960389853812002,-0.0093689887794747018,False,True,True
01139800,IC,S3,0.26232897318020992,0.040538896786997,0.052413093461656401,-0.011874196674659401,False,True,True
01142500,IC,S3,0.25230789054282088,0.038983459263164398,0.0335336904640893,0.0054497687990750984,True,True,True
01144000,IC,S3,0.248466348504845,0.0096207075324989001,0.092467884008712795,-0.082847176476213896,False,True,True
01162500,IC,S3,0.22676918468004301,0.0065032823424423999,0.0133472593199739,-0.0068439769775315001,False,True,True
01169000,IC,S3,0.23897260589607891,0.0417527228331405,0.039831345064536103,0.0019213777686043973,True,True,True
01170100,IC,S3,0.23465373540593401,0.030696436005670999,0.010009376767004899,0.020687059238666101,True,True,True
01181000,IC,S3,0.2175630410405919,0.018939056816888601,0.019353978269585501,-0.00041492145269689945,False,True,True
01187300,IC,S3,0.20126933569514591,0.077107028862145793,0.0168470281676741,0.060260000694471696,True,True,True
01195100,IC,S2,0.1060428920917169,-0.012539379024269199,0.0084420809061583005,-0.0209814599304275,False,False,True
01333000,IC,S3,0.22224496801649801,0.037239412215070399,0.019043795637586899,0.0181956165774835,True,True,True
01350000,IC,S3,0.231159657658639,0.011266941618136199,0.0194685556879848,-0.0082016140698486003,False,True,True
01350080,IC,S3,0.221156578322867,-0.0048045194223300999,0.0068475546267840999,-0.011652074049114201,False,False,True
