basin_id,paradigm,regime,contrast,D_rms,D_euclidean,frac_snow,snow_stratum
01022500,IC,IC,Base-CN,0.36319690702266971,1.4066555722928433,0.24525900924827099,S3
01031500,IC,IC,Base-CN,0.34249873426726185,1.3264918939142247,0.29183647300195797,S3
01047000,IC,IC,Base-CN,0.28635074741596916,1.109031675916095,0.28011812694073601,S3
01052500,IC,IC,Base-CN,0.60019920728024301,2.3245615342032746,0.35269825404932598,S4
01054200,IC,IC,Base-CN,0.16994950044937784,0.65821158493671028,0.29964153966287899,S3
01055000,IC,IC,Base-CN,0.5663871931840111,2.1936081667068379,0.30604885169486701,S4
01057000,IC,IC,Base-CN,0.39569238144336644,1.5325100035513111,0.25115767276909801,S3
01073000,IC,IC,Base-CN,0.32185438557939139,1.2465366752528035,0.17503243505173999,S3
01078000,IC,IC,Base-CN,0.41369783937290644,1.6022448422532576,0.23971852199071,S3
01123000,IC,IC,Base-CN,0.31955118377573122,1.2376164130242726,0.136053399026134,S2
01134500,IC,IC,Base-CN,0.31291119449975136,1.2118998451394067,0.28058208922815098,S3
01137500,IC,IC,Base-CN,0.51131151426454158,1.9803009794706654,0.301814975818189,S4
01139000,IC,IC,Base-CN,0.39974360478058524,1.5482003240681261,0.246562671549799,S3
01139800,IC,IC,Base-CN,0.49391971308291283,1.9129428231336669,0.26232897318020998,S3
01142500,IC,IC,Base-CN,0.54503658410072664,2.1109176132958924,0.25230789054282099,S3
01144000,IC,IC,Base-CN,0.4224111228240327,1.6359912439502544,0.248466348504845,S3
01162500,IC,IC,Base-CN,0.29016927775877166,1.1238207803407569,0.22676918468004301,S3
01169000,IC,IC,Base-CN,0.46040403943824576,1.7831371772709486,0.23897260589607899,S3
01170100,IC,IC,Base-CN,0.47798140396251476,1.8512140173436595,0.23465373540593401,S3
01181000,IC,IC,Base-CN,0.34085840557692393,1.3201389282142397,0.21756304104059199,S3
01187300,IC,IC,Base-CN,0.47049229206998777,1.8222088117060187,0.20126933569514599,S3
01195100,IC,IC,Base-CN,0.2605074649616746,1.0089410733592779,0.10604289209171699,S2
01333000,IC,IC,Base-CN,0.33512235339652868,1.2979232936465921,0.22224496801649801,S3
01350000,IC,IC,Base-CN,0.41810999965052359,1.6193330655292668,0.231159657658639,S3
01350080,IC,IC,Base-CN,0.43438503379684806,1.6823660017369384,0.221156578322867,S3
01350140,IC,IC,Base-CN,0.37144337691567614,1.4385940128534582,0.21985902668281099,S3
01365000,IC,IC,Base-CN,0.29407547948791163,1.1389494345846427,0.20227021109368101,S3
01411300,IC,IC,Base-CN,0.27496238857246891,1.0649247517745846,0.048094855035164599,S1
01413500,IC,IC,Base-CN,0.35611104459982329,1.3792121451356423,0.216908033968228,S3
01414500,IC,IC,Base-CN,0.26980343213271452,1.0449441993996063,0.216628505016047,S3
01415000,IC,IC,Base-CN,0.32700414960864654,1.2664816255750067,0.213452184948768,S3
01423000,IC,IC,Base-CN,0.54880147377686028,2.1254989683118661,0.217830297712483,S3
01434025,IC,IC,Base-CN,0.53285007090736192,2.0637194506496539,0.23781373120697999,S3
01435000,IC,IC,Base-CN,0.47816650304853614,1.8519309030212185,0.223616269388589,S3
01439500,IC,IC,Base-CN,0.37859058550316049,1.4662750326846556,0.163765228832016,S3
01440000,IC,IC,Base-CN,0.25079799940991854,0.97133647497675213,0.147767408338048,S2
01440400,IC,IC,Base-CN,0.38688479874701837,1.49839838244801,0.17222337109288199,S3
01451800,IC,IC,Base-CN,0.32839258449753783,1.2718590107769761,0.12836266599142701,S2
01466500,IC,IC,Base-CN,0.27284347433726674,1.0567182322296049,0.062661769761676103,S2
01484100,IC,IC,Base-CN,0.34085128556993533,1.3201113525457477,0.042571686471381001,S1
01487000,IC,IC,Base-CN,0.20349790688593666,0.78814400435730025,0.042468989425902597,S1
01491000,IC,IC,Base-CN,0.28711744038235387,1.1120010650065575,0.050025721123379399,S2
01510000,IC,IC,Base-CN,0.39408744180925409,1.5262940990767255,0.23705740062296199,S3
01516500,IC,IC,Base-CN,0.35945176173404797,1.3921506869608844,0.199238597784613,S3
01518862,IC,IC,Base-CN,0.27724030632732011,1.0737470893031535,0.20111134491157401,S3
01532000,IC,IC,Base-CN,0.47427811672580078,1.8368712475496438,0.17674126662110801,S3
01539000,IC,IC,Base-CN,0.31004558024539891,1.2008013688556451,0.156285913306627,S3
01542810,IC,IC,Base-CN,0.20671280286594945,0.80059524294767903,0.189716485804691,S3
01543000,IC,IC,Base-CN,0.46027390482627928,1.7826331680860372,0.18805657708399501,S3
