paradigm,structure,parameter,symbol,median_across_seed_std,iqr_across_seed_std,n_basins
dPL,Base,xaj_k,k,0.012388153527070593,0.019498536464778178,531
dPL,Base,xaj_b,b,0.036812204347951932,0.080243644288935559,531
dPL,Base,xaj_im,im,0.0016420386690099216,0.0047148735920834895,531
dPL,Base,xaj_um,um,0.021672683425296435,0.10590418006772293,531
dPL,Base,xaj_lm,lm,0.044637869268747382,0.060146567104649759,531
dPL,Base,xaj_dm,dm,0.0068579151632365744,0.030921702472029512,531
dPL,Base,xaj_c,c,0.0088772134324585257,0.027784878552281331,531
dPL,Base,xaj_sm,sm,0.020617251829713374,0.032859351993829673,531
dPL,Base,xaj_ex,ex,0.060654945725970355,0.10085353525230173,531
dPL,Base,xaj_ki,ki,0.039275506240122285,0.064980874362475849,531
dPL,Base,xaj_kg,kg,0.018400755524618367,0.042921998054632995,531
dPL,Base,xaj_ci,ci,0.053006196986641246,0.071304509005014338,531
dPL,Base,xaj_cg,cg,0.045296982696793796,0.077208340683745116,531
dPL,Base,xaj_a,a,0.046429957649479492,0.049886687003352248,531
dPL,Base,xaj_theta,theta,0.0040719883706696837,0.012287564299148642,531
dPL,CN,xaj_k,k,0.0096176619156910712,0.016997705680000502,531
dPL,CN,xaj_b,b,0.030679957403491494,0.052281694224064396,531
dPL,CN,xaj_im,im,0.00373791223765182,0.01460131300265474,531
dPL,CN,xaj_um,um,0.029292389748768771,0.085374462175512145,531
dPL,CN,xaj_lm,lm,0.043293360216471698,0.058820140263013868,531
dPL,CN,xaj_dm,dm,0.010611748031424902,0.04278795598648865,531
dPL,CN,xaj_c,c,0.027533719056795813,0.12958032503168987,531
dPL,CN,xaj_sm,sm,0.025087109741719679,0.037529607530092449,531
dPL,CN,xaj_ex,ex,0.079620525509836906,0.12019696436750317,531
dPL,CN,xaj_ki,ki,0.055532392597885512,0.063295194682692513,531
dPL,CN,xaj_kg,kg,0.039366428020127277,0.057226154052501331,531
dPL,CN,xaj_ci,ci,0.033438229543443311,0.039464136023276135,531
dPL,CN,xaj_cg,cg,0.056864642494486091,0.09077108070702275,531
dPL,CN,xaj_a,a,0.040572915124339574,0.050488306909798261,531
dPL,CN,xaj_theta,theta,0.0030067252751482657,0.0075831639094511233,531
dPL,TGD,xaj_k,k,0.0087561595741683547,0.012648763782921638,531
dPL,TGD,xaj_b,b,0.035291127031824333,0.059051551124043408,531
dPL,TGD,xaj_im,im,0.0013456013878209213,0.0043225694385534037,531
dPL,TGD,xaj_um,um,0.024676588377361485,0.09530280850340081,531
dPL,TGD,xaj_lm,lm,0.042322171127508301,0.063699368362535203,531
dPL,TGD,xaj_dm,dm,0.0056464221307494103,0.019381483023510709,531
dPL,TGD,xaj_c,c,0.028657046027080517,0.12418436627871854,531
dPL,TGD,xaj_sm,sm,0.023039146861681993,0.041873704963299049,531
dPL,TGD,xaj_ex,ex,0.078377181476888699,0.14812236420380423,531
dPL,TGD,xaj_ki,ki,0.062766004487736907,0.072893703245767952,531
dPL,TGD,xaj_kg,kg,0.039953683601379658,0.070687942668503187,531
dPL,TGD,xaj_ci,ci,0.06119573300580014,0.086577939170160823,531
dPL,TGD,xaj_cg,cg,0.043363398446284923,0.074503928390379032,531
dPL,TGD,xaj_a,a,0.057094765272508299,0.085077530370128385,531
dPL,TGD,xaj_theta,theta,0.0037374496136895912,0.027947174141355745,531
