basin_id,frac_snow,snow_stratum,base_best_minus_median_kge,base_kge_iqr,cn_best_minus_median_kge,cn_kge_iqr,within_pooled_all10,within_pooled_top5,within_pooled_top3,between_all_all10,between_all_top5,between_all_top3,excess_all10,excess_top5,excess_top3
01022500,0.24525900924827099,S3,0.0057865633181368725,0.0094218655725408773,0.0027865824233660463,0.0099931140535157725,0.4087949950406371,0.24272898495853218,0.22077466917101635,0.48953374047110532,0.47245163790166778,0.47245163790166778,0.080738745430468217,0.2297226529431356,0.25167696873065143
01031500,0.29183647300195797,S3,0.014180854275070209,0.014631258149875204,0.0034853672336822017,0.0076845769409111808,0.4667951265377201,0.41164659481400712,0.41736813429753472,0.50925208211176964,0.44097616812135348,0.47670581236738391,0.042456955574049549,0.029329573307346368,0.059337678069849187
01047000,0.28011812694073601,S3,0.0052917029222370182,0.014040020054042479,0.0095254989919469901,0.009707717909196778,0.45025403816058918,0.34026277086793949,0.35820762216123525,0.43590727454198264,0.33189353337868421,0.33189353337868421,-0.014346763618606539,-0.0083692374892552768,-0.026314088782551037
01052500,0.35269825404932598,S4,0.0089431446257940417,0.0053016352384396281,0.0011412684902158965,0.0073333793182237539,0.48913751970735342,0.42790474374448118,0.36393581660275542,0.55344129847856438,0.54536002335380229,0.54536002335380229,0.064303778771210962,0.11745527960932112,0.18142420675104687
01054200,0.29964153966287899,S3,0.0061481577749925576,0.0041604009784041995,0.022752110682768167,0.026412861929782538,0.47548009159619353,0.48910330192781143,0.41135649990501172,0.48443435473148294,0.4494181520119987,0.43258455711712684,0.0089542631352894086,-0.039685149915812734,0.021228057212115126
01055000,0.30604885169486701,S4,0.0058960002476171613,0.012606160819542134,0.028282967083427479,0.018339439813688463,0.42643866099656369,0.34844202474081454,0.42740052624403541,0.49732118833226047,0.48030855725437405,0.48030855725437405,0.070882527335696777,0.13186653251355951,0.052908031010338641
01057000,0.25115767276909801,S3,0.008223895956667393,0.045346313268156302,0.0039566882828410144,0.015042358129059075,0.43780359970800664,0.352757604595761,0.39404031114127747,0.44826181294870504,0.33518770459479569,0.32649828078036502,0.0104582132406984,-0.017569900000965311,-0.067542030360912442
01073000,0.17503243505173999,S3,0.015086692110643507,0.01324682671598898,0.012661198241117888,0.010700152384072847,0.44263540522536304,0.32441470405715711,0.29833318727947744,0.44242531443126376,0.38097197224970919,0.34501418538535811,-0.00021009079409928244,0.056557268192552079,0.046680998105880667
01078000,0.23971852199071,S3,0.011265120000680251,0.012686177151939537,0.0046249262802194879,0.0035752249642875267,0.45154504911344406,0.37743410903775615,0.28197365551272668,0.49085294135625684,0.45964585885774262,0.39892040430712516,0.039307892242812781,0.082211749819986468,0.11694674879439848
01123000,0.136053399026134,S2,0.0055844379425336044,0.0066938030886700695,0.0060949639626241003,0.0031433493056737261,0.43491676544984992,0.33695085851155571,0.27227495800258605,0.44621165535245672,0.39030215452792999,0.31955118377573122,0.011294889902606797,0.053351296016374283,0.047276225773145164
