paradigm,stratum,basin_id,frac_snow,n_within_base_pairs,within_base_min,within_base_max,within_base_median,n_within_cn_pairs,within_cn_min,within_cn_max,within_cn_median,within_pooled,n_between_pairs,between_all_min,between_all_max,between_all_median,excess,between_gt_within
IC,S1,01411300,0.048094855035164599,45,0.1852651532408176,0.73418808826730542,0.45987189564581821,45,0.20446770715041651,0.67895639742019809,0.48126090330328131,0.47056639947454976,100,0.21109515590699487,0.69206375113599861,0.46047873908796727,-0.010087660386582487,False
dPL,S1,01411300,0.048094855035164599,3,0.048012004216928549,0.070305556075820647,0.057902790575624155,3,0.059561069618291988,0.10132672883843953,0.071991863805120584,0.06494732719037237,9,0.21484631964650486,0.23495740242629995,0.23004781740014832,0.16510049020977596,True
IC,S5,06221400,0.71482675240544402,45,4.1375508837074448e-05,0.71440864476375332,0.49660710161844446,45,0.00045529834213077909,0.62010895102744379,0.40742965131502129,0.45201837646673287,100,0.29022577524870974,0.74886978340715149,0.49274585152273975,0.040727475056006879,True
dPL,S5,06221400,0.71482675240544402,3,0.040374028723493285,0.077885424801801231,0.051537715737038296,3,0.06213702781137441,0.11970466164280524,0.099081535711128418,0.075309625724083354,9,0.052800156255772342,0.12996099441865805,0.072624480622135279,-0.0026851451019480749,False
