paradigm,pair_name,n_valid,raw_spearman,raw_ci_low,raw_ci_high,partial_spearman_ctrl_snow,partial_ci_low,partial_ci_high,S1_raw,S2_raw,S3_raw,S4_raw,S5_raw
IC,G_Base vs E_param_excess_Base,531,0.6012661170034135,0.5364098165144232,0.6608809960622694,0.02325796397080596,-0.08751131466629442,0.13918591871153926,-0.020602142494590338,0.021049137835659305,0.17732692047148077,0.28433919022154314,-0.06969696969696972
IC,G_TGD vs E_param_excess_TGD,531,0.521800984713142,0.4514089148358584,0.5879342403818949,-0.06694218189206465,-0.1595139787390589,0.03687333952664855,-0.10190206502284083,0.03965797916897156,-0.03840265546673891,-0.3503437738731856,0.2766233766233767
IC,G_Base vs delta_E_state_Wt,531,0.4139561407516232,0.33282725722204454,0.48800629251414407,-0.06465514618272625,-0.14429262436581544,0.007395343739415553,-0.05232281676595519,-0.049178928735123514,0.16020186966535693,0.2568372803666921,-0.3407647907647909
IC,G_TGD vs delta_E_state_Wt,531,0.4062591720747343,0.3323805596498441,0.47401713028974735,-0.0659086178174225,-0.14580596326493805,0.020383052729445773,-0.16502551224855078,0.027225743231496263,0.02011922503725782,-0.1602750190985485,0.2438672438672439
dPL,G_Base vs E_param_excess_Base,531,0.8118327478433852,0.7752914325307992,0.8412598533429831,0.13763684678153246,0.04553725689253877,0.22443113042431667,0.38906846899794306,0.2305163503026663,0.4030754640292642,0.19908326967150494,0.14502164502164505
dPL,G_TGD vs E_param_excess_TGD,531,0.6846418091919917,0.6286446268373204,0.738310320492629,-0.12830665700012023,-0.23589163912576042,-0.014409165286139372,-0.07596238612988541,0.034394904458598725,0.24568486654924804,-0.38548510313216194,0.009523809523809525
dPL,G_Base vs delta_E_state_Wt,531,0.15479897376956941,0.05497619969334913,0.2462054540733028,-0.026175634152008062,-0.10228404982404388,0.049467294713105486,0.3893783559960463,-0.15534763161638032,-0.24016393442622944,-0.3258976317799847,-0.10028860028860032
dPL,G_TGD vs delta_E_state_Wt,531,-0.32710421721075955,-0.41344963584208366,-0.2352036330833479,-0.40560611028566224,-0.4762910221995212,-0.33579934063845085,-0.05425159618518421,-0.4990216686949787,-0.6200040644899064,-0.44812834224598924,-0.24300144300144305
