paradigm,effect,period,snow_stratum,valid_basin_count,median_days,ci_low_days,ci_high_days
IC-CMA-ES,TGD-Base,test,full_sample,531,1.0,0.6666666666666679,1.333333333333332
IC-CMA-ES,TGD-Base,test,S1,165,-0.0666666666666664,-0.3333333333333339,0.1333333333333293
IC-CMA-ES,TGD-Base,test,S2,156,0.5666666666666678,0.0658333333333331,1.0
IC-CMA-ES,TGD-Base,test,S3,121,1.7333333333333325,1.2666666666666675,3.066666666666668
IC-CMA-ES,TGD-Base,test,S4,34,4.500000000000004,2.5333333333333314,13.466666666666669
IC-CMA-ES,TGD-Base,test,S5,55,38.33333333333333,31.53333333333333,41.06666666666667
IC-CMA-ES,CN-TGD,test,full_sample,531,0.7333333333333325,0.4666666666666668,1.2666666666666655
IC-CMA-ES,CN-TGD,test,S1,165,0.1333333333333328,-0.1333333333333337,0.3333333333333357
IC-CMA-ES,CN-TGD,test,S2,156,0.9333333333333318,0.5666666666666655,1.4333333333333322
IC-CMA-ES,CN-TGD,test,S3,121,-0.1999999999999993,-1.7333333333333307,1.666666666666666
IC-CMA-ES,CN-TGD,test,S4,34,5.833333333333332,3.6428571428571423,9.27416666666666
IC-CMA-ES,CN-TGD,test,S5,55,8.4,6.399999999999999,10.8
IC-CMA-ES,CN-Base,test,full_sample,531,2.0666666666666678,1.333333333333334,2.6
IC-CMA-ES,CN-Base,test,S1,165,0.0666666666666664,-0.1333333333333328,0.3333333333333339
IC-CMA-ES,CN-Base,test,S2,156,1.4000000000000012,0.5666666666666673,2.1999999999999997
IC-CMA-ES,CN-Base,test,S3,121,5.733333333333334,3.733333333333329,6.666666666666668
IC-CMA-ES,CN-Base,test,S4,34,17.483333333333334,12.066666666666666,27.666666666666664
IC-CMA-ES,CN-Base,test,S5,55,47.46666666666666,41.6,51.4
dPL-MLP,TGD-Base,test,full_sample,515,0.4000000000000021,0.200000000000001,0.5999999999999979
dPL-MLP,TGD-Base,test,S1,161,-0.0666666666666682,-0.333333333333333,0.1999999999999993
dPL-MLP,TGD-Base,test,S2,155,-0.1333333333333328,-0.4000000000000003,0.1333333333333328
dPL-MLP,TGD-Base,test,S3,118,1.5333333333333314,0.8333333333333357,2.533333333333333
dPL-MLP,TGD-Base,test,S4,32,3.633333333333333,1.333333333333332,12.411666666666658
dPL-MLP,TGD-Base,test,S5,49,37.86666666666667,34.2,40.06666666666667
dPL-MLP,CN-TGD,test,full_sample,515,0.4000000000000021,0.1999999999999993,0.7999999999999972
dPL-MLP,CN-TGD,test,S1,161,-0.0666666666666664,-0.3333333333333321,0.2000000000000028
dPL-MLP,CN-TGD,test,S2,155,0.7999999999999989,0.3999999999999986,1.200000000000001
dPL-MLP,CN-TGD,test,S3,118,-0.633333333333332,-2.3341666666666674,0.3333333333333326
dPL-MLP,CN-TGD,test,S4,32,0.7476190476190476,-2.200000000000001,5.199999999999999
dPL-MLP,CN-TGD,test,S5,49,6.133333333333331,4.194999999999999,8.866666666666669
dPL-MLP,CN-Base,test,full_sample,531,0.8666666666666671,0.3999999999999986,1.2666666666666655
dPL-MLP,CN-Base,test,S1,165,-0.1333333333333328,-0.3333333333333321,0.0666666666666664
dPL-MLP,CN-Base,test,S2,156,0.3000000000000025,-0.0333333333333332,0.9333333333333336
dPL-MLP,CN-Base,test,S3,121,3.133333333333331,0.4666666666666685,4.199999999999999
dPL-MLP,CN-Base,test,S4,34,12.766666666666666,8.0,21.76666666666667
dPL-MLP,CN-Base,test,S5,55,46.13333333333333,39.0,48.0
