paradigm,period,threshold,n_valid,valid_rate,F_close_median,F_close_iqr,F_close_p5,F_close_p95,F_TGD_median,F_TGD_iqr,F_TGD_p5,F_TGD_p95,delta_F_median,delta_F_gt0_prop
IC,test,1e-06,427,0.8041431261770244,0.10149379932946224,0.22364128411508982,-1.043648226255363,0.37952995963149927,0.5456445335373832,0.3462693492377402,-0.38825776946592144,0.9116630755128098,0.45995058529333754,0.9156908665105387
IC,test,0.0001,427,0.8041431261770244,0.10149379932946224,0.22364128411508982,-1.043648226255363,0.37952995963149927,0.5456445335373832,0.3462693492377402,-0.38825776946592144,0.9116630755128098,0.45995058529333754,0.9156908665105387
IC,test,0.001,424,0.7984934086629002,0.10216679979684404,0.22208721953137428,-0.9144373043437158,0.3809906434601719,0.5459938836118026,0.3448559904461857,-0.32749673395379175,0.9100848244474476,0.4601086806342084,0.9198113207547169
IC,test,0.01,395,0.743879472693032,0.10857770156370083,0.1910129154429341,-0.4437424114644133,0.3499880124640016,0.5472077278931079,0.3232349878602425,-0.18391517883144606,0.89677594755438,0.45869325287220186,0.9291139240506329
IC,test,0.02,366,0.6892655367231638,0.11241333227738456,0.17470239462870624,-0.2989678968420098,0.33182265842762393,0.5493715610945147,0.3068044738954395,-0.0054348483401044645,0.8930682677407598,0.45853152765319816,0.9344262295081968
IC,test,0.05,303,0.5706214689265536,0.1293954726052701,0.12999192390286923,-0.10932471333144989,0.32440570186081796,0.5663450902381473,0.29746391999723976,0.14446354994647007,0.8906132928416721,0.45742812570097,0.9603960396039604
IC,test,0.1,251,0.4726930320150659,0.1422060628062291,0.10254610131328379,-0.05602952541380703,0.32318229052159103,0.5831198097402672,0.30215757307377306,0.17477234753691212,0.8941021957017943,0.45787291823043574,0.9681274900398407
dPL,test,1e-06,460,0.8662900188323918,0.10205092694987436,0.1693587194715754,-0.631948799515513,0.3611551587725673,0.5211616591113655,0.30010941709978534,-0.04193935009930053,0.8719414278093106,0.4409976062846834,0.9282608695652174
dPL,test,0.0001,460,0.8662900188323918,0.10205092694987436,0.1693587194715754,-0.631948799515513,0.3611551587725673,0.5211616591113655,0.30010941709978534,-0.04193935009930053,0.8719414278093106,0.4409976062846834,0.9282608695652174
dPL,test,0.001,454,0.8549905838041432,0.10411222381817473,0.1608773368752259,-0.5347631887216677,0.3616388159858405,0.5237702861124833,0.29575325339910874,0.00880577727602035,0.8727770330797552,0.43991020965759825,0.9317180616740088
dPL,test,0.01,421,0.7928436911487758,0.1091519445587436,0.14888594232689623,-0.25424700731511823,0.3589834070167055,0.52945762960658,0.2836879931749812,0.10544498068249741,0.8704961754628949,0.43602662797847525,0.9477434679334917
dPL,test,0.02,389,0.7325800376647834,0.11100582800408715,0.13854852189063863,-0.1317604109579132,0.3372172163869452,0.5361881201947375,0.2796728630125603,0.11963871261314986,0.8692981904102893,0.431503505340169,0.9588688946015425
dPL,test,0.05,322,0.6064030131826742,0.12132785919486481,0.12432824174724917,-0.021176622946027138,0.3364240058365739,0.5419679896647696,0.29203303403991326,0.13234371418001406,0.8717368610241695,0.42262129133216964,0.9627329192546584
dPL,test,0.1,257,0.4839924670433145,0.13230449768997748,0.1113331187686129,-0.011632299845238687,0.3345625420268081,0.5781940567589163,0.28085504137344935,0.12895973554106566,0.872359230444533,0.44121117080531025,0.9610894941634242
