regime,XAJ_median_effect,GR4J_median_effect,SIMHYD_median_effect,Diff_GR4J_minus_XAJ_median,Diff_GR4J_minus_XAJ_95CI,Diff_SIMHYD_minus_XAJ_median,Diff_SIMHYD_minus_XAJ_95CI,Spearman_rho_XAJ_vs_GR4J,Spearman_rho_XAJ_vs_SIMHYD,Spearman_rho_GR4J_vs_SIMHYD,Heterogeneity_Summary
IC,0.01459217867415663,0.015231960991250793,0.009129248585401428,0.0002717733281182855,"[-0.0054, 0.0052]",-0.005553918044968298,"[-0.0102, -0.0014]",0.6409301155030204,0.6852995937236759,0.607572256512724,Directionally unanimous (all 3 hosts show positive Delta_specific and positive snow-gradient slope); magnitude varies across hosts (GR4J > XAJ ~ SIMHYD in net Delta_specific).
dPL,0.011384229004068214,0.01748650048216882,0.009786016997245128,0.005474366260015406,"[-0.0005, 0.0114]",-0.002640892669240835,"[-0.0093, 0.0035]",0.49869730191793915,0.4970263201590508,0.5220189104036074,Directionally unanimous (all 3 hosts show positive Delta_specific and positive snow-gradient slope); magnitude varies across hosts (GR4J > XAJ ~ SIMHYD in net Delta_specific).
