regime,host_model,N,Delta_specific_OLS_slope_beta1,Delta_specific_slope_95CI,Delta_specific_Theil_Sen_slope,Delta_specific_Spearman_rho,Delta_specific_p_value,Exposure_E_OLS_slope_alpha1,Exposure_E_slope_95CI,Exposure_E_Theil_Sen_slope,Exposure_E_Spearman_rho,CN_minus_Base_OLS_slope,CN_minus_Base_slope_95CI,TGD2_minus_Base_OLS_slope,TGD2_minus_Base_slope_95CI
IC,XAJ,531,0.2493965515351519,"[0.1907, 0.3092]",0.24797682376827102,0.4682890113074368,2.688367428973467e-30,-0.13928463506340313,"[-0.1807, -0.1010]",-0.13821721246890467,-0.33267920821493513,0.9141383983389337,"[0.8262, 0.9963]",0.6647418468037817,"[0.5784, 0.7454]"
IC,GR4J,531,0.3305441697895356,"[0.2749, 0.3883]",0.32089940619526525,0.6381135869410678,4.680422971183627e-62,-0.11255801191480579,"[-0.1596, -0.0694]",-0.11500375320823528,-0.29612696161412394,1.0446587212212022,"[0.9583, 1.1255]",0.7141145514316666,"[0.6351, 0.7865]"
IC,SIMHYD,531,0.22324711909517433,"[0.1702, 0.2793]",0.21345428257082005,0.4537966561075498,2.4688423832832416e-28,-0.10807934348787027,"[-0.1521, -0.0674]",-0.11171351250853459,-0.2936387267292376,0.8877624840897088,"[0.8001, 0.9721]",0.6645153649945346,"[0.5736, 0.7455]"
dPL,XAJ,531,0.23247480697890036,"[0.1714, 0.2911]",0.2396348266115981,0.3900557662298351,3.678303827487406e-20,-0.06589677813686576,"[-0.1074, -0.0261]",-0.10642935084755847,-0.26405770556948427,0.9001969334079026,"[0.8241, 0.9706]",0.6829267397926135,"[0.6069, 0.7523]"
dPL,GR4J,531,0.3346432175684164,"[0.2837, 0.3876]",0.2998606511337393,0.5558304765456203,2.2076062558114749e-44,-0.08096246315094852,"[-0.1516, -0.0177]",-0.10979024494945722,-0.20149685221668767,1.0079247517977108,"[0.9151, 1.0929]",0.6732815342292944,"[0.5962, 0.7440]"
dPL,SIMHYD,531,0.22063344537801183,"[0.1650, 0.2766]",0.21325049461791407,0.41737545360520173,8.487411629687454e-24,-0.046556592650687005,"[-0.1006, 0.0003]",-0.10573022564582213,-0.20950056088490315,0.8835989001461192,"[0.8014, 0.9627]",0.6629654547681072,"[0.5852, 0.7340]"
