basin_id,frac_snow,snow_stratum,delta_abs_CT_Base_CN_XAJ_IC,n_seeds_XAJ_IC,delta_abs_CT_Base_CN_XAJ_dPL,n_seeds_XAJ_dPL,delta_abs_CT_Base_CN_GR4J_IC,n_seeds_GR4J_IC,delta_abs_CT_Base_CN_GR4J_dPL,n_seeds_GR4J_dPL,delta_abs_CT_Base_CN_SIMHYD_IC,n_seeds_SIMHYD_IC,delta_abs_CT_Base_CN_SIMHYD_dPL,n_seeds_SIMHYD_dPL
01586610,0.088413478566147,S2,8.0,1,1.0,3,6.0,1,4.0,3,2.0,1,1.5,2
01591400,0.0838764227317032,S2,9.0,1,5.0,3,5.0,1,1.0,3,3.0,1,-1.0,2
01594950,0.189214297334908,S3,-4.0,1,0.0,3,13.0,1,15.0,3,1.0,1,-5.5,2
01596500,0.188402157557544,S3,4.0,1,7.0,3,14.0,1,14.0,3,-8.0,1,-1.5,2
01605500,0.137136101417764,S2,19.0,1,2.0,3,8.0,1,8.0,3,19.0,1,1.5,2
01606500,0.148750518921295,S2,8.0,1,13.0,3,9.0,1,18.0,3,20.0,1,-3.0,2
01632000,0.110024870103334,S2,-1.0,1,5.0,3,-2.0,1,13.0,3,10.0,1,2.5,2
01632900,0.0980763292373855,S2,4.0,1,-6.0,3,7.0,1,3.0,3,-5.0,1,8.0,2
01634500,0.114828393813144,S2,-2.0,1,3.0,3,12.0,1,7.0,3,-11.0,1,-8.5,2
01638480,0.0845583823488279,S2,3.0,1,0.0,3,5.0,1,3.0,3,9.0,1,-2.5,2
01639500,0.0961263501421113,S2,0.0,1,-3.0,3,5.0,1,8.0,3,0.0,1,-5.5,2
01644000,0.084351798741144,S2,0.0,1,1.0,3,2.0,1,3.0,3,-2.0,1,-1.5,2
01664000,0.0827964257846037,S2,4.0,1,5.0,3,3.0,1,7.0,3,2.0,1,4.5,2
01666500,0.0822553978033295,S2,1.0,1,-10.0,3,17.0,1,10.0,3,-19.0,1,-3.0,2
01667500,0.0788117934771709,S2,-2.0,1,-6.0,3,-3.0,1,2.0,3,12.0,1,-5.0,2
01669000,0.0412059832430486,S1,-3.0,1,0.0,3,-1.0,1,1.0,3,-3.0,1,0.0,2
01669520,0.0368199149910729,S1,0.0,1,5.0,3,-1.0,1,-2.0,3,-1.0,1,-3.0,2
02011400,0.129154721501962,S2,8.0,1,7.0,3,8.0,1,9.0,3,-1.0,1,1.0,2
02013000,0.0979143372407574,S2,-1.0,1,2.0,3,-19.0,1,5.0,3,-2.0,1,-0.5,2
02014000,0.0978680841760858,S2,4.0,1,6.0,3,14.0,1,12.0,3,-5.0,1,-0.5,2
02015700,0.128567248718796,S2,10.0,1,5.0,3,4.0,1,8.0,3,4.0,1,-2.0,2
02016000,0.102077363429123,S2,1.0,1,6.0,3,14.0,1,9.0,3,0.0,1,-3.0,2
02017500,0.0901845265568014,S2,-2.0,1,-1.0,3,11.0,1,8.0,3,-2.0,1,1.0,2
02018000,0.0849686144296571,S2,3.0,1,5.0,3,12.0,1,10.0,3,-1.0,1,2.0,2
02027000,0.0904732223814793,S2,-4.0,1,-4.0,3,-3.0,1,-5.0,3,-3.0,1,-4.0,2
02027500,0.100786018307687,S2,1.0,1,-9.0,3,0.0,1,1.0,3,-7.0,1,-6.0,2
02028500,0.0802569579048301,S2,5.0,1,0.0,3,5.0,1,3.0,3,5.0,1,-1.5,2
02038850,0.0655225978510027,S2,7.0,1,-2.0,3,7.0,1,-1.0,3,-5.0,1,2.0,2
02046000,0.0453728268084367,S1,-4.0,1,3.0,3,-1.0,1,0.0,3,4.0,1,-10.5,2
02051500,0.0525514965704711,S2,1.0,1,1.0,3,2.0,1,1.0,3,-1.0,1,-2.0,2
02053200,0.0248316831845784,S1,1.0,1,2.0,3,3.0,1,2.0,3,1.0,1,-1.5,2
02053800,0.0938172550300136,S2,-1.0,1,-6.0,3,5.0,1,5.0,3,5.0,1,-6.0,2
02055100,0.0622119918873982,S2,23.0,1,-3.0,3,19.0,1,7.0,3,11.0,1,-7.0,2
02056900,0.0646059372808137,S2,-3.0,1,-1.0,3,2.0,1,5.0,3,0.0,1,-6.0,2
