basin_id,frac_snow,snow_stratum,delta_abs_CT_Base_CN_XAJ_IC,n_seeds_XAJ_IC,delta_abs_CT_Base_CN_XAJ_dPL,n_seeds_XAJ_dPL,delta_abs_CT_Base_CN_GR4J_IC,n_seeds_GR4J_IC,delta_abs_CT_Base_CN_GR4J_dPL,n_seeds_GR4J_dPL,delta_abs_CT_Base_CN_SIMHYD_IC,n_seeds_SIMHYD_IC,delta_abs_CT_Base_CN_SIMHYD_dPL,n_seeds_SIMHYD_dPL
03384450,0.0496725306242436,S1,0.0,1,5.0,3,0.0,1,12.0,3,1.0,1,0.0,2
03439000,0.0374660918206049,S1,1.0,1,-1.0,3,3.0,1,3.0,3,-3.0,1,-2.5,2
03455500,0.0774314166204897,S2,-3.0,1,-7.0,3,-7.0,1,-3.0,3,-9.0,1,-13.0,2
03456500,0.0638736766495558,S2,-2.0,1,-3.0,3,1.0,1,-4.0,3,-2.0,1,-4.5,2
03460000,0.077253343718732,S2,-3.0,1,-6.0,3,-5.0,1,-4.0,3,-5.0,1,-6.5,2
03463300,0.0849163900758962,S2,2.0,1,0.0,3,10.0,1,5.0,3,-4.0,1,-6.5,2
03471500,0.0838711696088708,S2,5.0,1,4.0,3,12.0,1,7.0,3,6.0,1,10.0,2
03473000,0.0832667330515825,S2,1.0,1,0.0,3,5.0,1,7.0,3,1.0,1,7.0,2
03479000,0.0904171237520879,S2,-8.0,1,-8.0,3,8.0,1,5.0,3,-8.0,1,-1.5,2
03488000,0.0815490515140822,S2,4.0,1,5.0,3,3.0,1,2.0,3,2.0,1,8.5,2
03498500,0.0343707789266315,S1,1.0,1,4.0,3,8.0,1,9.0,3,0.0,1,2.0,2
03500000,0.0292489179120406,S1,3.0,1,1.0,3,2.0,1,3.0,3,2.0,1,2.5,2
03500240,0.029394718558517,S1,1.0,1,4.0,3,2.0,1,2.0,3,2.0,1,3.5,2
03504000,0.0589912291417263,S2,3.0,1,2.0,3,1.0,1,1.0,3,0.0,1,1.5,2
03574500,0.0200681785915394,S1,0.0,1,3.0,3,0.0,1,0.0,3,0.0,1,1.5,2
03592718,0.0149109120314144,S1,-1.0,1,-2.0,3,2.0,1,3.0,3,-1.0,1,0.5,2
03604000,0.0255990760932844,S1,-3.0,1,2.0,3,-16.0,1,1.0,3,-1.0,1,-2.0,2
05291000,0.148874500915531,S2,-10.0,1,-4.0,3,1.0,1,-2.0,3,-1.0,1,-1.0,2
05362000,0.174430982504896,S3,11.0,1,-2.0,3,32.0,1,31.0,3,-2.0,1,-2.0,2
05393500,0.19616986570515,S3,12.0,1,8.0,3,0.0,1,38.0,3,-3.0,1,-3.5,2
05399500,0.156958255923397,S3,-2.0,1,-2.0,3,9.0,1,9.0,3,-6.0,1,-2.0,2
05408000,0.140156645371,S2,1.0,1,3.0,3,-4.0,1,-4.0,3,12.0,1,-4.5,2
05413500,0.124159245932601,S2,2.0,1,4.0,3,-5.0,1,-5.0,3,-1.0,1,0.0,2
05414000,0.123542293769616,S2,-1.0,1,4.0,3,-11.0,1,-9.0,3,-3.0,1,-9.5,2
05444000,0.113352332875094,S2,-6.0,1,-5.0,3,14.0,1,-6.0,3,-4.0,1,-2.0,2
05454000,0.102381239516297,S2,2.0,1,-5.0,3,0.0,1,-4.0,3,3.0,1,1.5,2
05458000,0.122540965691067,S2,0.0,1,-2.0,3,1.0,1,-4.0,3,1.0,1,0.0,2
05466500,0.107102802145215,S2,-2.0,1,-1.0,3,5.0,1,5.0,3,7.0,1,8.5,2
05487980,0.0964519167641938,S2,-1.0,1,-1.0,3,1.0,1,-1.0,3,-3.0,1,-4.5,2
05488200,0.10182137585369,S2,0.0,1,-1.0,3,-1.0,1,-4.0,3,1.0,1,0.0,2
05489000,0.0977424681708028,S2,6.0,1,-5.0,3,1.0,1,-1.0,3,3.0,1,-5.0,2
05495000,0.0965623589589288,S2,-1.0,1,-1.0,3,-4.0,1,3.0,3,4.0,1,-0.5,2
05495500,0.0758324970984556,S2,-1.0,1,-1.0,3,-1.0,1,1.0,3,-1.0,1,-0.5,2
05501000,0.0805965933083467,S2,0.0,1,1.0,3,-5.0,1,0.0,3,1.0,1,-1.5,2
05503800,0.0832843857982754,S2,3.0,1,0.0,3,4.0,1,-1.0,3,0.0,1,-3.0,2
05507600,0.0742633892998097,S2,0.0,1,0.0,3,0.0,1,0.0,3,0.0,1,-1.5,2
05508805,0.075793058486455,S2,0.0,1,0.0,3,0.0,1,2.0,3,0.0,1,-2.0,2
05525500,0.0775662992910571,S2,2.0,1,-1.0,3,2.0,1,7.0,3,0.0,1,6.5,2
05556500,0.106987814559373,S2,-2.0,1,-5.0,3,14.0,1,3.0,3,-12.0,1,-9.5,2
05584500,0.0864765586667042,S2,0.0,1,0.0,3,12.0,1,1.0,3,-2.0,1,-1.5,2
05591550,0.0692516054963585,S2,0.0,1,-1.0,3,3.0,1,-2.0,3,2.0,1,-2.5,2
05592050,0.0740889287495313,S2,4.0,1,0.0,3,2.0,1,1.0,3,0.0,1,-2.0,2
05592575,0.0638801924050215,S2,6.0,1,0.0,3,2.0,1,-2.0,3,0.0,1,-3.0,2
05593575,0.0547473552431735,S2,6.0,1,-1.0,3,4.0,1,1.0,3,1.0,1,0.0,2
05593900,0.0734339258739105,S2,1.0,1,0.0,3,2.0,1,11.0,3,1.0,1,-8.5,2
05595730,0.05667164669358,S2,-5.0,1,0.0,3,6.0,1,0.0,3,-1.0,1,0.5,2
07291000,0.003569389743915,S1,0.0,1,0.0,3,0.0,1,0.0,3,0.0,1,0.0,2
07359610,0.0301790248613661,S1,-1.0,1,11.0,3,-15.0,1,8.0,3,12.0,1,0.0,2
07362100,0.0183234657917035,S1,0.0,1,0.0,3,0.0,1,0.0,3,0.0,1,0.0,2
07362587,0.0366380668861851,S1,3.0,1,0.0,3,-1.0,1,1.0,3,5.0,1,1.0,2
07375000,0.0005081655254214,S1,5.0,1,0.0,3,0.0,1,0.0,3,1.0,1,7.0,2
08013000,0.0032863361803717,S1,-1.0,1,0.0,3,1.0,1,0.0,3,0.0,1,0.0,2
08014500,0.0022457658116513,S1,3.0,1,0.0,3,-1.0,1,-1.0,3,2.0,1,-1.0,2
05057200,0.141789208175196,S2,25.0,1,-3.0,3,-5.0,1,-6.0,3,25.0,1,-5.5,2
05120500,0.19176626992326,S3,28.0,1,-17.0,3,-21.0,1,-14.0,3,2.0,1,-8.5,2
06221400,0.714826752405444,S5,66.0,1,48.0,3,60.0,1,57.0,3,64.0,1,51.0,2
06224000,0.693901350936104,S5,47.0,1,30.0,3,53.0,1,52.0,3,50.0,1,41.5,2
06278300,0.732862235334757,S5,35.0,1,37.0,3,51.0,1,50.0,3,42.0,1,37.5,2
06280300,0.666773488915146,S5,40.0,1,38.0,3,51.0,1,51.0,3,67.0,1,42.5,2
06289000,0.583642806430044,S5,13.0,1,15.0,3,29.0,1,30.0,3,12.0,1,11.0,2
06291500,0.404772816694431,S4,12.5,1,10.5,3,31.0,1,14.0,3,4.5,1,4.75,2
06311000,0.57382796016244,S5,8.0,1,-1.0,3,23.0,1,17.0,3,6.0,1,5.5,2
06332515,0.173914615394175,S3,-1.0,1,-15.0,3,-2.0,1,0.0,3,9.0,1,-45.0,2
06339100,0.160349274004295,S3,17.0,1,-3.0,3,-2.0,1,-3.0,3,-13.0,1,-12.5,2
06344600,0.162624033289867,S3,23.0,1,0.0,3,-12.0,1,-13.0,3,-14.0,1,-10.5,2
06350000,0.164913327830338,S3,11.0,1,-31.0,3,-15.0,1,-6.0,3,7.0,1,-31.5,2
06352000,0.168403955596369,S3,11.0,1,-31.0,3,-2.0,1,-6.0,3,61.0,1,-41.0,2
06404000,0.191294358675479,S3,-8.0,1,-7.0,3,-5.0,1,-10.0,3,-10.0,1,-4.0,2
06406000,0.167832878351021,S3,-1.0,1,-4.0,3,-2.0,1,-3.0,3,-3.0,1,-22.5,2
06409000,0.343337176611808,S4,6.0,1,3.0,3,-8.0,1,-13.0,3,-2.0,1,1.5,2
06431500,0.36993144167527,S4,-3.0,1,-2.0,3,-6.0,1,3.0,3,3.0,1,-2.5,2
06440200,0.140805850137048,S2,-2.0,1,-7.0,3,-1.0,1,-3.0,3,0.0,1,-2.0,2
06447500,0.155649176414783,S3,2.0,1,-4.0,3,-7.0,1,-10.0,3,5.0,1,-12.5,2
06470800,0.14718946482151,S2,6.0,1,-9.0,3,-7.0,1,-14.0,3,10.0,1,-7.0,2
06477500,0.132381124658994,S2,1.0,1,-11.0,3,1.0,1,-1.0,3,0.0,1,-1.0,2
06479215,0.164751422321796,S3,19.0,1,-10.0,3,-3.0,1,-3.0,3,20.0,1,-2.0,2
06601000,0.105879368005318,S2,-2.0,1,-6.0,3,-9.0,1,-6.0,3,1.0,1,-1.5,2
06614800,0.760476738091987,S5,89.0,1,64.0,3,62.0,1,59.0,3,77.0,1,53.0,2
06622700,0.717691988588396,S5,45.0,1,43.0,3,58.0,1,51.0,3,44.0,1,40.5,2
06623800,0.753935609059572,S5,55.0,1,59.0,3,50.0,1,54.0,3,74.0,1,47.0,2
06632400,0.744511869620645,S5,41.0,1,39.0,3,38.0,1,40.0,3,52.0,1,40.0,2
06746095,0.728744289492069,S5,94.0,1,53.0,3,60.0,1,51.0,3,90.0,1,46.5,2
06803510,0.0940475934983777,S2,-4.0,1,0.0,3,-8.0,1,-2.0,3,-2.0,1,-4.0,2
06803530,0.0991958577666237,S2,-1.0,1,0.0,3,1.0,1,0.0,3,-2.0,1,-9.5,2
06814000,0.0902842088456011,S2,-2.0,1,-2.0,3,-1.0,1,2.0,3,-2.0,1,-1.0,2
06847900,0.102382584534704,S2,-7.0,1,-9.0,3,-1.0,1,0.0,3,51.0,1,17.0,2
06853800,0.104135741933305,S2,12.0,1,2.0,3,1.0,1,-2.0,3,4.0,1,-3.0,2
06876700,0.0796113854216262,S2,-3.0,1,0.0,3,5.0,1,3.0,3,-2.0,1,0.0,2
06878000,0.0727867121382812,S2,2.0,1,-1.0,3,1.0,1,3.0,3,0.0,1,-2.5,2
06879650,0.0672497335190048,S2,2.0,1,0.0,3,0.0,1,2.0,3,1.0,1,0.5,2
06885500,0.0842987262187572,S2,0.0,1,-9.0,3,-3.0,1,0.0,3,2.0,1,-4.0,2
06888500,0.0703719655848806,S2,0.0,1,-5.0,3,-1.0,1,1.0,3,13.0,1,0.0,2
06889200,0.0716152496141078,S2,-1.0,1,-2.0,3,-3.0,1,2.0,3,0.0,1,-1.0,2
06889500,0.069599735811632,S2,0.0,1,0.0,3,-1.0,1,0.0,3,0.0,1,0.5,2
06892000,0.0715178249456991,S2,-1.0,1,0.0,3,0.0,1,0.0,3,-2.0,1,-0.5,2
06903400,0.0979262678501136,S2,-1.0,1,0.0,3,-6.0,1,-3.0,3,-4.0,1,-0.5,2
06906800,0.0604504736826071,S2,-13.0,1,0.0,3,9.0,1,-1.0,3,0.0,1,-6.0,2
06910800,0.0613066358092003,S2,2.0,1,0.0,3,-21.0,1,-2.0,3,-14.0,1,-3.5,2
06911900,0.0618531603753962,S2,-2.0,1,0.0,3,-2.0,1,-1.0,3,-1.0,1,0.0,2
06917000,0.05107020470328,S2,0.0,1,0.0,3,0.0,1,0.0,3,0.0,1,-1.0,2
06918460,0.0498588468679264,S1,-5.0,1,-6.0,3,0.0,1,2.0,3,-1.0,1,-1.5,2
06919500,0.0494466083766876,S1,-2.0,1,0.0,3,1.0,1,0.0,3,-8.0,1,-4.5,2
06921070,0.0601238372834516,S2,-5.0,1,-2.0,3,-4.0,1,7.0,3,0.0,1,2.0,2
06921200,0.0572554270612204,S2,-1.0,1,-1.0,3,-11.0,1,1.0,3,0.0,1,-0.5,2
07057500,0.0564394367095807,S2,2.0,1,-1.0,3,3.0,1,3.0,3,-1.0,1,0.5,2
07060710,0.0509984831292569,S2,13.0,1,-2.0,3,8.0,1,0.0,3,5.0,1,0.0,2
07066000,0.0562313137196695,S2,0.0,1,1.0,3,1.0,1,1.0,3,0.0,1,2.5,2
07083000,0.710599947836907,S5,70.0,1,55.0,3,54.0,1,55.0,3,78.0,1,52.0,2
07142300,0.0867916780002227,S2,15.0,1,-20.0,3,-17.0,1,-1.0,3,14.0,1,-11.0,2
07145700,0.0617611519704068,S2,-1.0,1,0.0,3,0.0,1,1.0,3,-1.0,1,0.0,2
07167500,0.0520689190916616,S2,-2.0,1,0.0,3,0.0,1,0.0,3,1.0,1,0.0,2
07180500,0.0557846206828486,S2,-9.0,1,0.0,3,0.0,1,-2.0,3,1.0,1,-1.0,2
07184000,0.0453576175844397,S1,0.0,1,0.0,3,-3.0,1,0.0,3,0.0,1,-1.5,2
07195800,0.0482364215180522,S1,-2.0,1,-1.0,3,4.0,1,-1.0,3,2.0,1,-1.5,2
07196900,0.0460986315040519,S1,1.0,1,0.0,3,5.0,1,1.0,3,-3.0,1,0.5,2
07197000,0.0408010944755726,S1,2.0,1,0.0,3,1.0,1,3.0,3,1.0,1,-0.5,2
07208500,0.333134983679482,S4,5.0,1,6.0,3,15.0,1,24.0,3,63.0,1,-9.0,2
07261000,0.0378060990134872,S1,0.0,1,0.0,3,2.0,1,6.0,3,0.0,1,1.0,2
07263295,0.0310455107281904,S1,2.0,1,2.0,3,8.0,1,5.0,3,2.0,1,2.0,2
07299670,0.02913235345217,S1,-1.0,1,-22.0,3,0.0,1,0.0,3,6.0,1,-2.0,2
07301410,0.0754167591358171,S2,0.0,1,1.0,3,0.0,1,0.0,3,-1.0,1,-1.5,2
07315200,0.0162560388991893,S1,-16.0,1,1.0,3,5.0,1,0.0,3,-5.0,1,0.0,2
07315700,0.0208161228801737,S1,0.0,1,1.0,3,0.0,1,0.0,3,2.0,1,0.0,2
07335700,0.0430162960741129,S1,0.0,1,0.0,3,0.0,1,-4.0,3,-2.0,1,-6.0,2
07340300,0.0385678054509223,S1,1.0,1,-3.0,3,2.0,1,8.0,3,1.0,1,-0.5,2
07346045,0.0168897938562348,S1,0.0,1,0.0,3,1.0,1,0.0,3,0.0,1,0.5,2
08023080,0.0072046599774758,S1,0.0,1,0.0,3,2.0,1,0.0,3,0.0,1,-1.0,2
08050800,0.0196728968786143,S1,-2.0,1,-3.0,3,1.0,1,0.0,3,0.0,1,0.0,2
08066200,0.0023206818433828,S1,-2.0,1,0.0,3,1.0,1,0.0,3,0.0,1,0.0,2
08066300,0.0017530511421341,S1,-4.0,1,-1.0,3,2.0,1,-5.0,3,1.0,1,0.5,2
08070000,0.0023807368074233,S1,-2.0,1,1.0,3,1.0,1,1.0,3,0.0,1,0.0,2
08070200,0.0024550978464837,S1,-9.0,1,-1.0,3,-2.0,1,1.0,3,0.0,1,-0.5,2
08082700,0.0128021384845558,S1,7.0,1,-1.0,3,35.0,1,12.0,3,0.0,1,-8.0,2
08086212,0.0131862313964449,S1,-11.0,1,1.0,3,0.0,1,0.0,3,0.0,1,0.5,2
08086290,0.0128799846435909,S1,-16.0,1,0.0,3,0.0,1,0.0,3,0.0,1,1.0,2
08101000,0.0091795525039557,S1,0.0,1,0.0,3,1.0,1,0.0,3,0.0,1,0.0,2
08103900,0.0092842421517583,S1,1.0,1,-1.0,3,0.0,1,0.0,3,0.0,1,-0.5,2
08104900,0.0093596117977168,S1,0.0,1,-2.0,3,5.0,1,2.0,3,1.0,1,-1.0,2
08109700,0.0051361625387599,S1,-10.0,1,0.0,3,1.0,1,0.0,3,-1.0,1,0.0,2
08150800,0.0082340595135767,S1,-1.0,1,-3.0,3,0.0,1,0.0,3,1.0,1,-5.5,2
08158700,0.0064753537654614,S1,-9.0,1,0.0,3,1.5,1,1.0,3,4.5,1,-3.25,2
08158810,0.0058462589398929,S1,2.0,1,-1.0,3,0.0,1,5.0,3,-5.0,1,3.5,2
08164300,0.0021354784821483,S1,-4.0,1,0.0,3,10.0,1,1.0,3,0.0,1,-1.5,2
08164600,0.0008978831137086,S1,0.0,1,0.0,3,0.0,1,0.0,3,0.0,1,0.0,2
08165300,0.0056160383836324,S1,4.0,1,-1.0,3,0.0,1,-1.0,3,-42.0,1,-0.5,2
08171300,0.0043200262623378,S1,0.0,1,0.0,3,2.0,1,1.0,3,2.0,1,0.0,2
08175000,0.0022293177664445,S1,1.0,1,-2.0,3,0.0,1,1.0,3,0.0,1,0.5,2
08176900,0.0018005933498891,S1,-9.0,1,0.0,3,0.0,1,0.0,3,-6.0,1,0.0,2
08178880,0.0030449353276083,S1,6.0,1,4.0,3,1.0,1,0.0,3,12.0,1,9.5,2
08189500,0.0016287321026845,S1,0.0,1,0.0,3,0.0,1,0.0,3,0.0,1,0.0,2
08190000,0.0037075564040486,S1,2.0,1,-1.0,3,1.0,1,-1.0,3,0.0,1,1.5,2
08190500,0.0044907633248583,S1,0.0,1,-1.0,3,0.0,1,0.0,3,0.0,1,10.0,2
08194200,0.0005535601264272,S1,-58.0,1,0.0,3,0.0,1,0.0,3,-3.0,1,-21.0,2
08195000,0.0043576302166992,S1,-7.0,1,-1.0,3,0.0,1,7.0,3,1.0,1,5.0,2
08196000,0.0023896281867178,S1,2.0,1,-1.0,3,1.0,1,0.0,3,0.0,1,8.0,2
08198500,0.0030982528891208,S1,0.0,1,0.0,3,0.0,1,0.0,3,-1.0,1,0.0,2
08200000,0.0026284470487446,S1,0.0,1,1.0,3,0.0,1,0.0,3,2.0,1,0.0,2
08202700,0.002762016493395,S1,0.0,1,-7.0,3,0.0,1,-0.5,3,0.0,1,0.0,2
08267500,0.471388008193727,S4,36.0,1,35.0,3,48.0,1,34.0,3,23.0,1,37.5,2
08269000,0.401645682298287,S4,25.0,1,23.0,3,44.0,1,29.0,3,44.0,1,22.5,2
08271000,0.48400245009705,S4,33.0,1,29.0,3,41.0,1,46.0,3,17.0,1,22.5,2
08324000,0.365429081915842,S4,15.0,1,20.0,3,17.0,1,13.0,3,9.0,1,32.0,2
08377900,0.466213354634129,S4,42.0,1,39.0,3,66.0,1,51.0,3,34.0,1,32.5,2
08378500,0.449989328985624,S4,40.0,1,39.0,3,66.0,1,49.0,3,38.0,1,30.5,2
08380500,0.291104431145414,S3,22.0,1,34.0,3,51.0,1,22.0,3,-13.0,1,21.0,2
09035800,0.703715181667891,S5,59.0,1,55.0,3,58.0,1,63.0,3,48.0,1,48.5,2
09035900,0.689823885415144,S5,51.0,1,47.0,3,52.0,1,48.0,3,47.0,1,46.5,2
09047700,0.626945100722261,S5,29.0,1,31.0,3,31.0,1,33.0,3,31.0,1,30.0,2
09065500,0.715530725661926,S5,60.0,1,52.0,3,52.0,1,50.0,3,67.0,1,48.5,2
09066000,0.682272756610747,S5,45.0,1,45.0,3,62.0,1,40.0,3,57.0,1,39.5,2
09066200,0.712216418137875,S5,62.0,1,48.0,3,45.0,1,44.0,3,65.0,1,44.5,2
09066300,0.688317497264152,S5,47.0,1,42.0,3,56.0,1,50.0,3,47.0,1,40.0,2
09081600,0.66474212387336,S5,64.0,1,64.0,3,49.0,1,48.0,3,70.0,1,53.5,2
09107000,0.672583021372504,S5,45.0,1,40.0,3,42.0,1,40.0,3,39.0,1,37.0,2
09210500,0.65472507476901,S5,19.0,1,18.0,3,19.0,1,23.0,3,6.0,1,8.5,2
09223000,0.698323179997837,S5,37.0,1,32.0,3,36.0,1,34.0,3,33.0,1,28.0,2
09306242,0.35800746386243,S4,24.0,1,25.0,3,12.0,1,1.0,3,0.0,1,-14.0,2
09312600,0.604725963590861,S5,2.0,1,18.0,3,19.0,1,17.0,3,11.0,1,16.5,2
09352900,0.633893898746821,S5,71.0,1,65.0,3,52.0,1,58.0,3,70.0,1,54.0,2
09378170,0.504005221672301,S5,15.0,1,25.0,3,23.0,1,29.0,3,42.0,1,26.5,2
09386900,0.307507544080434,S4,16.0,1,13.0,3,21.0,1,17.0,3,142.0,1,26.0,2
09404450,0.423599939585063,S4,-10.0,1,-24.0,3,-6.0,1,1.0,3,-5.0,1,-10.0,2
09430600,0.21287165392999,S3,-4.0,1,-3.0,3,4.0,1,16.0,3,3.0,1,-3.0,2
09447800,0.0394826699276366,S1,23.0,1,-1.0,3,2.0,1,1.0,3,-9.0,1,0.0,2
09484600,0.0101482581857307,S1,-2.0,1,29.0,3,0.0,1,2.0,3,110.0,1,-2.0,2
09492400,0.271766261706385,S3,34.0,1,30.0,3,29.0,1,17.0,3,44.0,1,18.5,2
09494000,0.235554110470522,S3,17.0,1,14.0,3,21.0,1,11.0,3,36.0,1,26.0,2
09497980,0.0796650506390503,S2,9.0,1,-2.0,3,-1.0,1,0.0,3,-2.0,1,6.0,2
09505350,0.198936492502152,S3,8.0,1,6.0,3,19.0,1,4.0,3,15.0,1,6.0,2
09505800,0.284069099376475,S3,15.0,1,7.0,3,6.0,1,3.0,3,14.0,1,14.0,2
09508300,0.0401188085303456,S1,15.0,1,0.0,3,0.0,1,1.0,3,3.0,1,1.0,2
09510200,0.0061243701078094,S1,4.0,1,0.0,3,0.0,1,-6.0,3,1.0,1,0.5,2
09512280,0.0046420695661842,S1,0.0,1,1.0,3,0.0,1,0.0,3,0.0,1,0.0,2
09513780,0.0042560892003911,S1,0.0,1,0.0,3,-2.0,1,0.0,3,0.0,1,0.0,2
10234500,0.632069679226265,S5,21.0,1,26.0,3,31.0,1,31.0,3,22.0,1,22.0,2
10244950,0.656356436998628,S5,-12.0,1,-2.0,3,12.0,1,7.0,3,-24.0,1,9.0,2
10336645,0.665304872565722,S5,42.0,1,37.0,3,56.0,1,30.0,3,37.0,1,24.5,2
10336660,0.668727842270536,S5,49.0,1,40.0,3,63.0,1,56.0,3,48.0,1,31.0,2
10343500,0.714981248450698,S5,18.0,1,21.0,3,21.0,1,14.0,3,15.0,1,20.0,2
12010000,0.0236362361738051,S1,1.0,1,1.0,3,1.0,1,0.0,3,0.0,1,0.0,2
12013500,0.0174156764185481,S1,0.0,1,0.0,3,0.0,1,1.0,3,1.0,1,0.0,2
12020000,0.043553396693619,S1,1.0,1,2.0,3,2.0,1,2.0,3,1.0,1,1.5,2
12025700,0.0905767573548292,S2,7.0,1,6.0,3,4.0,1,2.0,3,4.0,1,3.5,2
12035000,0.0220218880896681,S1,0.0,1,0.0,3,1.0,1,1.0,3,0.0,1,1.0,2
12040500,0.0670917839751389,S2,3.0,1,5.0,3,3.0,1,0.0,3,2.0,1,3.5,2
12041200,0.179574104744132,S3,11.0,1,-5.0,3,11.0,1,1.0,3,11.0,1,3.0,2
12048000,0.498197653251076,S4,42.0,1,21.0,3,-14.0,1,-46.0,3,73.0,1,24.0,2
12054000,0.379149578248129,S4,6.0,1,10.0,3,13.0,1,8.0,3,9.0,1,0.5,2
12056500,0.338574932035289,S4,16.0,1,7.0,3,9.0,1,2.0,3,10.0,1,5.5,2
12073500,0.0156016658711511,S1,1.0,1,0.0,3,2.0,1,0.0,3,-1.0,1,1.0,2
12082500,0.39878651405721,S4,30.0,1,32.0,3,19.0,1,55.0,3,24.0,1,30.5,2
12092000,0.513670726431351,S5,21.0,1,24.0,3,65.0,1,66.0,3,19.0,1,18.0,2
12114500,0.40651703888364,S4,48.0,1,49.0,3,58.0,1,49.0,3,48.0,1,48.5,2
12115000,0.338944352402744,S4,45.0,1,40.0,3,53.0,1,41.0,3,45.0,1,41.0,2
12117000,0.12519943348901,S2,4.0,1,6.0,3,8.0,1,9.0,3,4.0,1,5.5,2
12143600,0.311622046373118,S4,42.0,1,42.0,3,53.0,1,43.0,3,42.0,1,40.0,2
12144000,0.220551545924003,S3,27.0,1,26.0,3,28.0,1,30.0,3,24.0,1,26.5,2
12145500,0.0448546378807159,S1,1.0,1,2.0,3,1.0,1,2.0,3,2.0,1,1.0,2
12147500,0.159041201436992,S3,7.0,1,24.0,3,13.0,1,19.0,3,10.0,1,11.5,2
12167000,0.131187744738816,S2,5.0,1,17.0,3,14.0,1,16.0,3,6.0,1,15.5,2
12175500,0.690360443229126,S5,93.0,1,101.0,3,144.0,1,119.0,3,89.0,1,104.5,2
12178100,0.52956688772688,S5,62.0,1,63.0,3,85.0,1,84.0,3,53.0,1,59.5,2
12186000,0.435652191884185,S4,65.0,1,61.0,3,92.0,1,58.0,3,56.0,1,58.0,2
12189500,0.457875714546575,S4,36.0,1,42.0,3,61.0,1,60.0,3,40.0,1,46.0,2
12375900,0.606515526539202,S5,79.0,1,55.0,3,78.0,1,43.0,3,79.0,1,40.0,2
12377150,0.719886653780668,S5,114.0,1,104.0,3,95.0,1,58.0,3,122.0,1,56.5,2
12381400,0.594005153419735,S5,48.0,1,40.0,3,49.0,1,46.0,3,74.0,1,40.0,2
12383500,0.612621722100952,S5,54.0,1,40.0,3,52.0,1,51.0,3,44.0,1,32.5,2
12390700,0.519487009712609,S5,38.0,1,42.0,3,30.0,1,35.0,3,28.0,1,32.5,2
12411000,0.464485512558355,S4,42.0,1,44.0,3,49.0,1,53.0,3,38.0,1,40.0,2
12447390,0.777311497508566,S5,101.0,1,73.0,3,47.0,1,41.0,3,105.0,1,51.5,2
12451000,0.716767081202258,S5,79.0,1,88.0,3,54.0,1,59.0,3,130.0,1,92.5,2
12488500,0.641918995401996,S5,59.0,1,58.0,3,40.0,1,45.0,3,53.0,1,46.0,2
13011500,0.658713268212353,S5,47.0,1,46.0,3,64.0,1,49.0,3,67.0,1,44.5,2
13011900,0.704607069419076,S5,51.0,1,53.0,3,47.0,1,53.0,3,44.0,1,48.5,2
13018300,0.65711853695655,S5,48.0,1,45.0,3,48.0,1,48.0,3,42.0,1,43.5,2
13023000,0.646858624758436,S5,44.0,1,48.0,3,64.0,1,50.0,3,41.0,1,39.5,2
13161500,0.518679342368851,S5,3.0,1,11.0,3,6.0,1,16.0,3,3.0,1,12.0,2
13235000,0.677895075896552,S5,42.0,1,51.0,3,38.0,1,57.0,3,30.0,1,41.0,2
13240000,0.726533471798391,S5,50.0,1,58.0,3,41.0,1,44.0,3,94.0,1,49.0,2
13313000,0.744536050209931,S5,45.0,1,47.0,3,46.0,1,50.0,3,30.0,1,31.5,2
13331500,0.55788094452843,S5,41.0,1,48.0,3,49.0,1,50.0,3,35.0,1,38.0,2
14020000,0.355358222004398,S4,19.0,1,28.0,3,13.0,1,20.0,3,17.0,1,21.5,2
14096850,0.244750228496234,S3,8.0,1,1.0,3,10.0,1,-7.0,3,-4.0,1,3.0,2
14137000,0.324496374801996,S4,14.0,1,7.0,3,12.0,1,4.0,3,13.0,1,1.5,2
14138800,0.317266212149897,S4,15.0,1,5.0,3,21.0,1,16.0,3,12.0,1,10.5,2
14138870,0.229049355466927,S3,10.0,1,2.0,3,4.0,1,1.0,3,8.0,1,5.5,2
14138900,0.221358389006793,S3,10.0,1,6.0,3,13.0,1,2.0,3,9.0,1,8.5,2
14139800,0.183197955663698,S3,6.0,1,6.0,3,4.0,1,12.0,3,7.0,1,7.0,2
14141500,0.142882264769743,S2,12.0,1,6.0,3,9.0,1,11.0,3,3.0,1,2.0,2
14154500,0.135550710091939,S2,8.0,1,4.0,3,1.0,1,5.0,3,3.0,1,-0.5,2
14158790,0.365056630377127,S4,26.0,1,26.0,3,28.0,1,24.0,3,27.0,1,25.0,2
14166500,0.0106763012784076,S1,2.0,1,-1.0,3,-5.0,1,-1.0,3,-2.0,1,1.5,2
14182500,0.146759311242181,S2,7.0,1,9.0,3,14.0,1,9.0,3,7.0,1,3.5,2
14185000,0.178107252284554,S3,12.0,1,16.0,3,10.0,1,11.0,3,9.0,1,6.0,2
14185900,0.187297518505713,S3,15.0,1,14.0,3,15.0,1,8.0,3,16.0,1,6.0,2
14187000,0.0895194173938424,S2,10.0,1,8.0,3,7.0,1,6.0,3,3.0,1,2.0,2
14216500,0.295816183757834,S3,26.0,1,26.0,3,26.0,1,25.0,3,23.0,1,22.5,2
14222500,0.0900274241194852,S2,3.0,1,4.0,3,6.0,1,5.0,3,3.0,1,4.0,2
