host,regime,N,spearman_rho,ci_low,ci_high,n_seeds
XAJ,IC,531,0.545501631884666,0.4651282184264981,0.6222289258969734,1
XAJ,dPL,531,0.45939431520752055,0.36729894968657406,0.5396099985092377,3
GR4J,IC,531,0.6751863602658547,0.6127292699663653,0.7282910794207929,1
GR4J,dPL,531,0.6624536811449329,0.596890436759926,0.7193633466741294,3
SIMHYD,IC,531,0.36834874406665946,0.2821115852835358,0.45470019243317494,1
SIMHYD,dPL,531,0.30732931598657265,0.21083273231656882,0.3947073367560109,2
