basin_id,paradigm,E_param_base,E_param_tgd,C15_base,C15_tgd,E_param_cn,seed,E_param_excess_base,E_param_excess_tgd,delta_E_fr_base,delta_E_qg_base,delta_E_qi_base,delta_E_s_base,delta_E_wd_base,delta_E_wl_base,delta_E_wt_base,delta_E_wu_base,delta_E_fr_tgd,delta_E_qg_tgd,delta_E_qi_tgd,delta_E_s_tgd,delta_E_wd_tgd,delta_E_wl_tgd,delta_E_wt_tgd,delta_E_wu_tgd,kge_base_no_refit,kge_base,kge_tgd2,kge_cn,G_base,G_TGD,frac_snow,snow_stratum
01022500,IC,0.3081924694930533,0.2723803330778311,0.2435688793426365,0.4493800404635096,0.070410102562753,,0.2377823669303003,0.20197023051507812,0.382531912740987,1.4843052303990107,1.0912229197847014,1.0190287142565333,1.2990896810091217,-0.1863953680448693,0.4410450759909989,-0.86354308711758,0.4626303290897339,1.115337913363622,0.954575956512846,0.343066336816254,0.0,-1.6523226875826162,1.3860561290246547,-0.6362895516395881,0.5688573370659598,0.6121408098698831,0.8341928741249299,0.9927587036662744,0.0432834728039233,0.2653355370589702,0.245259009248271,S3
01031500,IC,0.3313236576114695,0.3313236576114695,0.3026197452134336,0.1362372698453717,0.0350611137032636,,0.2962625439082059,0.2962625439082059,0.5340449545067921,1.4772576657971157,1.705186668904232,0.667858531479296,-8364048.684906749,-0.5018083869519923,0.5504263105968809,-1.1990099307221498,0.4658307295901508,1.4772576657971157,1.1696517975749328,0.559697132675369,0.0,-0.2487073740052068,0.2472238697062371,-0.0833437359401887,0.4245067089664256,0.493158545748814,0.8343850874152998,0.995141095901422,0.0686518367823884,0.4098783784488742,0.291836473001958,S3
01047000,IC,0.1885238689280827,0.1950697975027183,0.1788875346380737,0.2425478697617875,0.0496898271196398,,0.13883404180844292,0.1453799703830785,0.5611907556023924,1.4686289445147709,1.6754000114458076,0.4991752257781894,-3165203977.7857947,1.341618278362254,0.613200598030168,0.8498521738566678,0.5353776627766967,1.0481954181520554,1.2351167230281357,0.5451310830963382,271884918.2128906,2.2036482246258333,0.4185342722599894,0.9025089548753032,0.4395546843143808,0.5019980400488706,0.8430416580898799,0.9977526895265946,0.0624433557344898,0.4034869737754991,0.280118126940736,S3
01052500,IC,0.4439426206513333,0.357625217155224,0.5062089776993354,0.1188402887704014,0.0930401291111795,,0.3509024915401538,0.2645850880440445,1.0189697439536165,1.241144835393594,0.7406321863651293,0.5494460079978436,6304971313.476562,-1.760120302796147,6.838947276481301,1.6842322590889909,0.9241340729280698,0.8873423489011234,0.727729623212668,0.2847200348734869,5.569916725158691,-0.8745514206112315,-0.4392043428991081,0.390180382908687,0.1610332451930627,0.3358771368098561,0.8816069510273138,0.994391747558552,0.1748438916167934,0.7205737058342511,0.352698254049326,S4
01054200,IC,0.326426043896924,0.2173347197749519,0.4255078801522706,0.1896281047186713,0.0192959490424157,,0.30713009485450826,0.1980387707325362,0.7418419992691914,1.4335204284365552,1.1246093078156694,24.23907958049784,8652350910.580496,-0.0791645102932818,7.152732398833481,0.3554878131921519,0.8205456457798771,0.7120061587258419,0.9150420930947214,1.0311474336297684,8658780405.851673,0.4582248546361915,7.778063395257386,0.5872293645424176,0.4253868300723238,0.5163947796746549,0.8450051165089172,0.9908261928824406,0.091007949602331,0.4196182864365934,0.299641539662879,S3
01055000,IC,0.3215230467970202,0.2454460955850101,0.2735292585881731,0.2832942930010088,0.0653696482682442,,0.256153398528776,0.18007644731676592,0.9748128487593958,1.2500454244662211,0.6713015975941409,0.7644229593551162,10325036610.18301,3.6471580794023457,6.577334267015157,0.9096739388218364,0.7552447222008741,0.9937655279319542,0.4960022336506574,0.5955203047797991,6709440612.792969,3.990564681365867,5.75823970822814,1.0085634261165974,0.3619926773062529,0.4651652592102,0.8664441118857545,0.996919105091249,0.1031725819039471,0.5044514345795017,0.306048851694867,S4
01057000,IC,0.2432002862756829,0.2278800146133935,0.190697671178087,0.2452095073867075,0.0552583116868777,,0.1879419745888052,0.1726217029265158,0.4423289482646654,1.4313718682088237,0.8281984035635921,0.8764264705326672,4775821673.442715,-0.4688676995968466,-0.8419153895449094,-0.7293483326520875,0.5496088493493542,0.8752387840246038,0.9323432672850052,0.2289574321244163,1316284942.6269531,-2.53504158163869,-1.3690859705469818,-0.6002170503425559,0.5514818673161426,0.5894258124310651,0.7896291895670141,0.996719377576549,0.0379439451149224,0.23814732225087154,0.251157672769098,S3
01073000,IC,0.1784816535737032,0.2300507663213719,0.1785601996458845,0.3488343423017351,0.0910801075119106,,0.08740154606179258,0.1389706588094613,0.2140905379380264,1.4555506495246984,0.828422825812738,1.774307748435114,20.50579556108928,0.1194908338568345,-0.6465689359458456,-0.9185429335194124,0.225597405578272,0.624440109293715,0.767991122642339,0.7357539889094276,20.521057424415808,-1.874270533124196,-0.678380302815765,-0.8699081052397628,0.8385253674628326,0.8578654381847959,0.8950902271815706,0.9912016691835154,0.0193400707219633,0.056564859718738036,0.17503243505174,S3
01078000,IC,0.2328568984785672,0.2106909503300754,0.2408062933057181,0.1559372281125338,0.0624757385945861,,0.1703811598839811,0.1482152117354893,0.4978585963509597,1.586290393406681,0.9332906925382678,23.2273364635014,8264164245.746965,-0.3662554624934668,5.380258402565656,-0.8396025204865197,0.3570081376712644,0.9227971757117884,0.7334694815897423,0.3889357817264337,0.0,-1.9962441559159976,0.2766682061096983,-0.821613704288111,0.5722809970119838,0.6196062067707592,0.8169861845767241,0.9937889845979916,0.0473252097587754,0.24470518756474036,0.23971852199071,S3
01123000,IC,0.2970439556370098,0.2297400077303871,0.2202066934462143,0.2417018106889218,0.0311140029592233,,0.2659299526777865,0.19862600477116382,0.3341715658199155,0.8826921883341923,0.6839834076636215,1.887746167318748,3422954503.39274,0.700096485741161,0.2637297534791348,0.0583587291828326,0.3227284170635678,0.5793535337121498,1.01298685835896,0.9888645538125878,3223633253.0327787,2.3319586911782566,1.2970982867794325,0.2522623486898585,0.8722274396745772,0.892806013875336,0.924995303615926,0.9966116648214708,0.0205785742007588,0.0527678639413488,0.136053399026134,S2
01134500,IC,0.425517520181068,0.2382676707807197,0.4412788184406136,0.0782633918640756,0.2826307363874281,,0.1428867837936399,-0.044363065606708385,0.9001631985657416,1.2811850636296935,0.7611275859657078,0.3538836533283521,13113339.17633011,-0.1756323150635523,9.189174967396529,-1.2881301385781407,0.6395348456837903,0.2731173629382781,0.6425206024538201,0.2665669249500508,1.348897708579898,-2.5926992602844185,3.6889258244681455,-1.3317845121365486,0.3218474920933205,0.4423214977291861,0.8512907735160418,0.9955028520016972,0.1204740056358656,0.5294432814227212,0.280582089228151,S3
