estimand,role,ic_median,ic_ci_low,ic_ci_high,dpl_median,dpl_ci_low,dpl_ci_high,n_ic,n_dpl,source
"F_close,test",Limited compensation,0.1014937993294627,0.0797909295664919,0.1125507145073968,0.10089264370831895,0.0889265188077969,0.1091519445587436,427,468,figure5_summary.panel_c_f_close
decay_G_base,Generalization decay,0.0136881426219224,0.011895273664043452,0.015111174914979,0.0021426996784341,0.0014221012181671,0.0035850043479073,531,531,figure5_summary.panel_d_decay
F_tgd2 (test),Generic mitigation,0.5104903520271837,0.4830496424363853,0.5407883749548497,0.5036088096045312,0.47403974794735654,0.5288293011299574,466,528,figure6_summary.panel_b_f_tgd2
Delta C_theta (R_theta_tgd2),Parameter relief,0.0047034918275578,0.0026839224032563017,0.007148789733572225,0.0066554638055655,0.0041884550681481,0.0096283594767253,531,531,figure6_summary.panel_c_r_theta
Delta C_state (R_state_tgd2),State relief,0.074917248227905,0.0458727189163013,0.10368937595693684,0.1101289155474904,0.0888984668181853,0.12851623973125315,531,531,figure6_summary.panel_d_r_state
Delta KGE_CN-TGD2 (test),Residual explicit advantage,0.048683855094738,0.03853714568083921,0.06079417286444522,0.0466057700835644,0.0380367747780139,0.0572927892275262,531,531,figure6_summary.panel_e_residual_vs_frac_snow + V4 frozen CI
Delta RMSE_snow (mm d-1),Residual on snow-active days,0.47854236809454104,0.436193583260834,0.5228471949504339,0.464563987149993,0.42008382470016276,0.5028843974747825,521,521,figure6_summary.panel_f_process_errors
Delta RMSE_non-snow (mm d-1),Residual on non-snow days,0.0768363171076693,0.06189542853201396,0.0923290774391417,0.0632151194559287,0.0459560099730361,0.07449012111600661,476,476,figure6_summary.panel_f_process_errors
