curve,structure,regime,condition,delta_r,ecdf_y,n
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.1262705420449689,0.1558139534883721,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.1194245203910444,0.15813953488372093,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.1182787551214298,0.16046511627906976,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.1174346538200071,0.16279069767441862,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.1174206879445411,0.16511627906976745,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.1173650824025304,0.16744186046511628,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.1164372912899036,0.1697674418604651,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.1160805423693405,0.17209302325581396,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.1155044041230928,0.1744186046511628,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.1140106110284572,0.17674418604651163,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.1131215806819961,0.17906976744186046,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.1127556915790045,0.1813953488372093,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.1121004293790373,0.18372093023255814,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.1119801690463643,0.18604651162790697,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.1112170921057353,0.1883720930232558,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.1102496847690716,0.19069767441860466,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.1092417082545632,0.1930232558139535,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.1088008421963135,0.19534883720930232,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.1076421073719244,0.19767441860465115,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.1074607014020113,0.2,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.1071333089211371,0.20232558139534884,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.1029956470458031,0.20465116279069767,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.1028813483783094,0.2069767441860465,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.1027780962390378,0.20930232558139536,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.1023299243369726,0.2116279069767442,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.099128441765983,0.21395348837209302,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0970098653385183,0.21627906976744185,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0960450756111042,0.2186046511627907,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0947581258515909,0.22093023255813954,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.091903321835922,0.22325581395348837,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0901712832271323,0.2255813953488372,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0893116616724436,0.22790697674418606,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0865925244014649,0.2302325581395349,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0861066603544048,0.23255813953488372,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0857558075544384,0.23488372093023255,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0845142535430861,0.2372093023255814,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.083717321394143,0.23953488372093024,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0821196533681158,0.24186046511627907,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0816313845763504,0.2441860465116279,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0814502168752535,0.24651162790697675,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0806139870577991,0.24883720930232558,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.079776413253349,0.25116279069767444,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0797504364939767,0.2534883720930233,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0784303869304882,0.2558139534883721,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0778765586012409,0.25813953488372093,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0773775507407137,0.26046511627906976,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0764503981012548,0.2627906976744186,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0752439676334105,0.2651162790697674,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0741461573905524,0.26744186046511625,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0733591314543821,0.26976744186046514,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.071817647397081,0.27209302325581397,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0711104180613232,0.2744186046511628,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0708517898776065,0.27674418604651163,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0697932960038219,0.27906976744186046,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.069515999337134,0.2813953488372093,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0692683098109265,0.2837209302325581,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0687629989093428,0.28604651162790695,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0680297349617862,0.28837209302325584,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0677340706126807,0.29069767441860467,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0665263321933034,0.2930232558139535,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0664476928643844,0.29534883720930233,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.065052359127055,0.29767441860465116,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0624980223463334,0.3,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0601067219399338,0.3023255813953488,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0601035430815471,0.30465116279069765,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0599294472787687,0.30697674418604654,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.058714815137732,0.30930232558139537,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0570055091022281,0.3116279069767442,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0560289900738625,0.313953488372093,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0554239963064938,0.31627906976744186,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.055420434313337,0.3186046511627907,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0553112268123442,0.3209302325581395,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0547597344896446,0.32325581395348835,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0533819680243489,0.32558139534883723,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0532028709116305,0.32790697674418606,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0526347368950037,0.3302325581395349,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0516286077293705,0.3325581395348837,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0509724639218273,0.33488372093023255,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0502837845289216,0.3372093023255814,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0496564527091934,0.3395348837209302,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0491807005485327,0.34186046511627904,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0490402202710248,0.34418604651162793,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0487036327449328,0.34651162790697676,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0481409967228257,0.3488372093023256,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0477003724469906,0.3511627906976744,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0476632835752611,0.35348837209302325,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0463963777291512,0.3558139534883721,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0453009192885737,0.3581395348837209,430
active_melt_TGD_IC,TGD,IC_fused,Active melt,-0.0447530357977965,0.36046511627906974,430
