basin_id,regime,paradigm,structure,model,period,seed_or_restart,selected_run,frac_snow,snow_stratum,KGE,signed_CT_error,absolute_CT_error,valid_year_count,valid_days,valid_metric,NSE,PBIAS,RMSE,provenance_source
01052500,IC-CMA-ES,IC-CMA-ES,Base,XAJ-Base,test,selected_restart,True,0.352698254049326,S4,0.4095471046534206,-38.0,38.0,15,5479.0,True,-0.04347144301630901,-7.260732859345297,4.061277108676093,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01052500,IC-CMA-ES,IC-CMA-ES,CN,XAJ-CN,test,selected_restart,True,0.352698254049326,S4,0.8146200363226522,7.0,7.0,15,5479.0,True,0.7845804272332519,-9.704325266860993,1.8452912368153047,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01052500,IC-CMA-ES,IC-CMA-ES,TGD,XAJ-TGD,test,selected_restart,True,0.352698254049326,S4,0.6993039328457078,4.0,4.0,15,5479.0,True,0.5484925293582875,-9.248533375083786,2.6714977298033276,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01052500,dPL-MLP,dPL-MLP,Base,XAJ-Base,test,median_across_seeds,True,0.352698254049326,S4,0.3601424989645883,-44.0,44.0,15,5479.0,True,0.06745353311311564,-8.959803079944678,3.839348894484465,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01052500,dPL-MLP,dPL-MLP,CN,XAJ-CN,test,median_across_seeds,True,0.352698254049326,S4,0.7828606809679763,9.0,9.0,15,5479.0,True,0.7760308910565127,-10.844052945769427,1.8815527580107099,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01052500,dPL-MLP,dPL-MLP,TGD,XAJ-TGD,test,median_across_seeds,True,0.352698254049326,S4,0.6846772050889526,4.0,4.0,15,5479.0,True,0.5604668908041361,-8.13071105139261,2.635834492150474,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01054200,IC-CMA-ES,IC-CMA-ES,Base,XAJ-Base,test,selected_restart,True,0.299641539662879,S3,0.6217603253808823,-45.0,45.0,15,5479.0,True,0.2067767980625005,4.153590682325545,4.848047919895986,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01054200,IC-CMA-ES,IC-CMA-ES,CN,XAJ-CN,test,selected_restart,True,0.299641539662879,S3,0.8119692202536359,6.0,6.0,15,5479.0,True,0.6197401632386828,2.447596281239494,3.356676036766895,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01054200,IC-CMA-ES,IC-CMA-ES,TGD,XAJ-TGD,test,selected_restart,True,0.299641539662879,S3,0.6744104983454564,-28.0,28.0,15,5479.0,True,0.3334688297664199,3.160940617056921,4.444055063965798,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01054200,dPL-MLP,dPL-MLP,Base,XAJ-Base,test,median_across_seeds,True,0.299641539662879,S3,0.608677435814718,-29.0,29.0,15,5479.0,True,0.2212607686204301,2.8477644156618585,4.803582196474038,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
