basin_id,paradigm,structure,model,period,seed_or_restart,selected_run,KGE,NSE,PBIAS,RMSE,valid_observation_count,valid_simulation_count,valid_days,valid_metric,basin_median_Delta_CT,signed_CT_error,absolute_CT_error,frac_snow,snow_stratum
01031500,dPL-MLP,TGD,XAJ-TGD,train,median_across_seeds,True,0.5905358803735943,0.409549349172335,0.08296780446042694,2.618824152741165,5113.0,5113.0,5113.0,True,3.0,3.0,3.0,0.291836473001958,S3
01047000,IC-CMA-ES,Base,XAJ-Base,test,selected_restart,True,0.6515678636299186,0.25411274168755393,2.2865130675695853,3.042884941032585,5479.0,5479.0,5479.0,True,-35.0,-35.0,35.0,0.280118126940736,S3
01047000,IC-CMA-ES,Base,XAJ-Base,train,selected_restart,True,0.5961850067098395,0.25243645114892166,2.318257414487689,2.8673140189152777,5113.0,5113.0,5113.0,True,-41.5,-41.5,41.5,0.280118126940736,S3
01047000,IC-CMA-ES,CN,XAJ-CN,test,selected_restart,True,0.8579559232993774,0.7138334163784369,-0.6500714438539381,1.8847701547519227,5479.0,5479.0,5479.0,True,8.0,8.0,8.0,0.280118126940736,S3
01047000,IC-CMA-ES,CN,XAJ-CN,train,selected_restart,True,0.892405147598637,0.7862878288390783,-0.8889471328382493,1.5330835644309955,5113.0,5113.0,5113.0,True,9.0,9.0,9.0,0.280118126940736,S3
01047000,IC-CMA-ES,TGD,XAJ-TGD,test,selected_restart,True,0.6715479898091697,0.3312603499966611,-1.6985230347885643,2.881226984316792,5479.0,5479.0,5479.0,True,7.0,7.0,7.0,0.280118126940736,S3
01047000,IC-CMA-ES,TGD,XAJ-TGD,train,selected_restart,True,0.6405491622157711,0.3059695686360979,-1.776200882162135,2.7627428034074986,5113.0,5113.0,5113.0,True,11.0,11.0,11.0,0.280118126940736,S3
01047000,dPL-MLP,Base,XAJ-Base,test,median_across_seeds,True,0.6804682076966291,0.42364175760559264,-5.394872018315434,2.67482387456184,5479.0,5479.0,5479.0,True,-26.0,-26.0,26.0,0.280118126940736,S3
01047000,dPL-MLP,Base,XAJ-Base,train,median_across_seeds,True,0.5628052904130014,0.3275022993882224,-5.75859596849312,2.7195472041394146,5113.0,5113.0,5113.0,True,-32.0,-32.0,32.0,0.280118126940736,S3
01047000,dPL-MLP,CN,XAJ-CN,test,median_across_seeds,True,0.8446170165855793,0.7248520182270628,-4.806290136044522,1.8481282370360372,5479.0,5479.0,5479.0,True,10.0,10.0,10.0,0.280118126940736,S3
01047000,dPL-MLP,CN,XAJ-CN,train,median_across_seeds,True,0.8466943571161785,0.766685685501589,-5.398934722713089,1.6018501710905249,5113.0,5113.0,5113.0,True,12.5,12.5,12.5,0.280118126940736,S3
01047000,dPL-MLP,TGD,XAJ-TGD,test,median_across_seeds,True,0.6599756733740467,0.4692646557839716,-5.713094978046084,2.5667758348329976,5479.0,5479.0,5479.0,True,1.0,1.0,1.0,0.280118126940736,S3
01047000,dPL-MLP,TGD,XAJ-TGD,train,median_across_seeds,True,0.6178079935621098,0.4393454707750676,-6.541122835855095,2.483126627301738,5113.0,5113.0,5113.0,True,2.0,2.0,2.0,0.280118126940736,S3
01052500,IC-CMA-ES,Base,XAJ-Base,test,selected_restart,True,0.4095471046534206,-0.04347144301630901,-7.260732859345297,4.061277108676093,5479.0,5479.0,5479.0,True,-38.0,-38.0,38.0,0.352698254049326,S4
01052500,IC-CMA-ES,Base,XAJ-Base,train,selected_restart,True,0.3157943935764499,-0.29930815133332933,0.3382683037609761,3.7909029994070482,5113.0,5113.0,5113.0,True,-33.5,-33.5,33.5,0.352698254049326,S4
01052500,IC-CMA-ES,CN,XAJ-CN,test,selected_restart,True,0.8146200363226522,0.7845804272332519,-9.704325266860993,1.8452912368153047,5479.0,5479.0,5479.0,True,7.0,7.0,7.0,0.352698254049326,S4
01052500,IC-CMA-ES,CN,XAJ-CN,train,selected_restart,True,0.8826503327222244,0.7648422503056751,-0.5861243958318304,1.6127469834658879,5113.0,5113.0,5113.0,True,7.5,7.5,7.5,0.352698254049326,S4
01052500,IC-CMA-ES,TGD,XAJ-TGD,test,selected_restart,True,0.6993039328457078,0.5484925293582875,-9.248533375083786,2.6714977298033276,5479.0,5479.0,5479.0,True,4.0,4.0,4.0,0.352698254049326,S4
01052500,IC-CMA-ES,TGD,XAJ-TGD,train,selected_restart,True,0.7859483798835575,0.5774552063682477,-0.11310946353400156,2.161837111260642,5113.0,5113.0,5113.0,True,3.0,3.0,3.0,0.352698254049326,S4
01052500,dPL-MLP,Base,XAJ-Base,test,median_across_seeds,True,0.3601424989645883,0.06745353311311564,-8.959803079944678,3.839348894484465,5479.0,5479.0,5479.0,True,-44.0,-44.0,44.0,0.352698254049326,S4
01052500,dPL-MLP,Base,XAJ-Base,train,median_across_seeds,True,0.30288735848885395,-0.12924535665810044,0.3940086633743439,3.534115568309563,5113.0,5113.0,5113.0,True,-35.0,-35.0,35.0,0.352698254049326,S4
01052500,dPL-MLP,CN,XAJ-CN,test,median_across_seeds,True,0.7828606809679763,0.7760308910565127,-10.844052945769427,1.8815527580107099,5479.0,5479.0,5479.0,True,9.0,9.0,9.0,0.352698254049326,S4
01052500,dPL-MLP,CN,XAJ-CN,train,median_across_seeds,True,0.8635657144544564,0.7422842596240167,-1.885901156205323,1.6883289316221464,5113.0,5113.0,5113.0,True,10.0,10.0,10.0,0.352698254049326,S4
01052500,dPL-MLP,TGD,XAJ-TGD,test,median_across_seeds,True,0.6846772050889526,0.5604668908041361,-8.13071105139261,2.635834492150474,5479.0,5479.0,5479.0,True,4.0,4.0,4.0,0.352698254049326,S4
01052500,dPL-MLP,TGD,XAJ-TGD,train,median_across_seeds,True,0.7749411069889772,0.5810959432580405,0.9651749350965989,2.15250353581152,5113.0,5113.0,5113.0,True,2.5,2.5,2.5,0.352698254049326,S4
01054200,IC-CMA-ES,Base,XAJ-Base,test,selected_restart,True,0.6217603253808823,0.2067767980625005,4.153590682325545,4.848047919895986,5479.0,5479.0,5479.0,True,-45.0,-45.0,45.0,0.299641539662879,S3
01054200,IC-CMA-ES,Base,XAJ-Base,train,selected_restart,True,0.5920074789796833,0.23319294628292908,0.5237212401011885,4.195427117982431,5113.0,5113.0,5113.0,True,-43.5,-43.5,43.5,0.299641539662879,S3
01054200,IC-CMA-ES,CN,XAJ-CN,test,selected_restart,True,0.8119692202536359,0.6197401632386828,2.447596281239494,3.356676036766895,5479.0,5479.0,5479.0,True,6.0,6.0,6.0,0.299641539662879,S3
01054200,IC-CMA-ES,CN,XAJ-CN,train,selected_restart,True,0.8315962756138149,0.6652732353619749,-1.3081266201608197,2.7719050603419695,5113.0,5113.0,5113.0,True,13.0,13.0,13.0,0.299641539662879,S3
01054200,IC-CMA-ES,TGD,XAJ-TGD,test,selected_restart,True,0.6744104983454564,0.3334688297664199,3.160940617056921,4.444055063965798,5479.0,5479.0,5479.0,True,-28.0,-28.0,28.0,0.299641539662879,S3
01054200,IC-CMA-ES,TGD,XAJ-TGD,train,selected_restart,True,0.6490410129331281,0.375535035757933,-0.6936295759580614,3.7860571911806016,5113.0,5113.0,5113.0,True,-27.0,-27.0,27.0,0.299641539662879,S3
01054200,dPL-MLP,Base,XAJ-Base,test,median_across_seeds,True,0.608677435814718,0.2212607686204301,2.8477644156618585,4.803582196474038,5479.0,5479.0,5479.0,True,-29.0,-29.0,29.0,0.299641539662879,S3
01054200,dPL-MLP,Base,XAJ-Base,train,median_across_seeds,True,0.5833138706130383,0.23691954344077748,-0.37575952316395006,4.185220046540321,5113.0,5113.0,5113.0,True,-20.5,-20.5,20.5,0.299641539662879,S3
01054200,dPL-MLP,CN,XAJ-CN,test,median_across_seeds,True,0.8123508881662862,0.6282273997517318,0.5603928895775242,3.3190048645377455,5479.0,5479.0,5479.0,True,7.0,7.0,7.0,0.299641539662879,S3
01054200,dPL-MLP,CN,XAJ-CN,train,median_across_seeds,True,0.8094508063235785,0.6503859598876446,-3.5811846608933933,2.832875992614884,5113.0,5113.0,5113.0,True,15.5,15.5,15.5,0.299641539662879,S3
01054200,dPL-MLP,TGD,XAJ-TGD,test,median_across_seeds,True,0.5529262465216832,0.26860575462272074,2.3581256487658417,4.655271011206137,5479.0,5479.0,5479.0,True,6.0,6.0,6.0,0.299641539662879,S3
01054200,dPL-MLP,TGD,XAJ-TGD,train,median_across_seeds,True,0.5403867184663811,0.2680904190431064,-1.9527282414231086,4.0988483221425955,5113.0,5113.0,5113.0,True,10.5,10.5,10.5,0.299641539662879,S3
01055000,IC-CMA-ES,Base,XAJ-Base,test,selected_restart,True,0.6000685653282836,0.14609494762001773,0.9541494765590648,3.929291439144395,5479.0,5479.0,5479.0,True,-37.0,-37.0,37.0,0.306048851694867,S4
01055000,IC-CMA-ES,Base,XAJ-Base,train,selected_restart,True,0.5657646280475459,0.1900807967576027,1.7719021635158239,3.368552179000976,5113.0,5113.0,5113.0,True,-40.0,-40.0,40.0,0.306048851694867,S4
01055000,IC-CMA-ES,CN,XAJ-CN,test,selected_restart,True,0.8071606510129511,0.607830614430882,-1.854257365862124,2.6628474938254043,5479.0,5479.0,5479.0,True,7.0,7.0,7.0,0.306048851694867,S4
01055000,IC-CMA-ES,CN,XAJ-CN,train,selected_restart,True,0.8629904895866658,0.7286063654400748,-1.1674343662113107,1.9499445402823459,5113.0,5113.0,5113.0,True,12.0,12.0,12.0,0.306048851694867,S4
01055000,IC-CMA-ES,TGD,XAJ-TGD,test,selected_restart,True,0.6530329175127919,0.2793834854022148,-0.9297255241510981,3.6096205944376147,5479.0,5479.0,5479.0,True,-28.0,-28.0,28.0,0.306048851694867,S4
01055000,IC-CMA-ES,TGD,XAJ-TGD,train,selected_restart,True,0.6214130299528429,0.3162903591598485,-0.2810668681484068,3.0949831061009143,5113.0,5113.0,5113.0,True,-25.0,-25.0,25.0,0.306048851694867,S4
01055000,dPL-MLP,Base,XAJ-Base,test,median_across_seeds,True,0.6029408182209182,0.22012243059300907,-1.950405469201352,3.7551100144636864,5479.0,5479.0,5479.0,True,-26.0,-26.0,26.0,0.306048851694867,S4
01055000,dPL-MLP,Base,XAJ-Base,train,median_across_seeds,True,0.5527692417045086,0.23797115834576144,-1.0230323403052728,3.267443867156987,5113.0,5113.0,5113.0,True,-21.0,-21.0,21.0,0.306048851694867,S4
01055000,dPL-MLP,CN,XAJ-CN,test,median_across_seeds,True,0.7976594546753135,0.6344599146792473,-4.87576346362446,2.570851284716307,5479.0,5479.0,5479.0,True,8.0,8.0,8.0,0.306048851694867,S4
01055000,dPL-MLP,CN,XAJ-CN,train,median_across_seeds,True,0.8241600256985785,0.728673541243354,-4.8258366760386595,1.9497031985911184,5113.0,5113.0,5113.0,True,13.5,13.5,13.5,0.306048851694867,S4
01055000,dPL-MLP,TGD,XAJ-TGD,test,median_across_seeds,True,0.6123632515597592,0.37913577801082954,-3.000132933186582,3.3504856896873227,5479.0,5479.0,5479.0,True,7.0,7.0,7.0,0.306048851694867,S4
01055000,dPL-MLP,TGD,XAJ-TGD,train,median_across_seeds,True,0.5749315891777964,0.34415847654158405,-3.0621686031554116,3.0312509060451633,5113.0,5113.0,5113.0,True,6.0,6.0,6.0,0.306048851694867,S4
01057000,IC-CMA-ES,Base,XAJ-Base,test,selected_restart,True,0.4768080506968684,-0.05405970589931375,15.759648606626996,3.0877474352264156,5479.0,5479.0,5479.0,True,-41.0,-41.0,41.0,0.251157672769098,S3
01057000,IC-CMA-ES,Base,XAJ-Base,train,selected_restart,True,0.7050511172575933,0.4373212143655333,1.0678885196910215,2.24952419643604,5113.0,5113.0,5113.0,True,-52.0,-52.0,52.0,0.251157672769098,S3
01057000,IC-CMA-ES,CN,XAJ-CN,test,selected_restart,True,0.6916494760086631,0.6640549663920918,13.540160040507445,1.743184182087925,5479.0,5479.0,5479.0,True,10.0,10.0,10.0,0.251157672769098,S3
