paradigm,metric,stratum,n_basins,median,q25,q75,ci_low,ci_high,scientific_interpretation
IC-CMA-ES,delta_absCT_Base_CN,S1,165,0.0,-1.0,2.0,0.0,0.0,small / centered near zero in low-snow regimes; no equivalence claim made
dPL-MLP,delta_absCT_Base_CN,S1,165,0.0,-1.0,1.0,0.0,0.0,small / centered near zero in low-snow regimes; no equivalence claim made
