basin_id,regime,paradigm,period,frac_snow,snow_stratum,delta_KGE_Base_CN,delta_absCT_Base_CN,delta_absCT_TGD_CN,delta_KGE_TGD_CN,KGE_Base,KGE_CN,KGE_TGD,signed_e_Base,signed_e_TGD,signed_e_CN,abs_e_Base,abs_e_TGD,abs_e_CN,valid_year_count_Base,valid_year_count_TGD,valid_year_count_CN
01195100,IC-CMA-ES,IC-CMA-ES,test,0.106042892091717,S2,0.01709872687248226,5.0,5.0,0.005197588403963227,0.7733298873836127,0.790428614256095,0.7852310258521318,-14.0,-14.0,-9.0,14.0,14.0,9.0,15,15,15
01333000,IC-CMA-ES,IC-CMA-ES,test,0.222244968016498,S3,0.11983352527534663,5.0,-13.0,0.07373865003489832,0.6695344245478948,0.7893679498232414,0.7156292997883431,-20.0,-2.0,15.0,20.0,2.0,15.0,15,15,15
01350000,IC-CMA-ES,IC-CMA-ES,test,0.231159657658639,S3,0.13443717173308167,8.0,1.0,0.07836523327667799,0.6560173464982351,0.7904545182313167,0.7120892849546387,-19.0,-12.0,11.0,19.0,12.0,11.0,15,15,15
01350080,IC-CMA-ES,IC-CMA-ES,test,0.221156578322867,S3,0.13526522808078068,24.0,-2.0,0.06982942963008909,0.47737288143579903,0.6126381095165797,0.5428086798864906,-28.0,2.0,4.0,28.0,2.0,4.0,15,15,15
01350140,IC-CMA-ES,IC-CMA-ES,test,0.219859026682811,S3,0.14001297047274197,14.0,3.0,0.08193024696229156,0.47816369920908697,0.6181766696818289,0.5362464227195374,-25.0,-14.0,11.0,25.0,14.0,11.0,15,15,15
01365000,IC-CMA-ES,IC-CMA-ES,test,0.202270211093681,S3,0.12889345637959093,-4.0,-8.0,0.09359770539623902,0.6322818491817425,0.7611753055613334,0.6675776001650944,-11.0,-7.0,15.0,11.0,7.0,15.0,15,15,15
01411300,IC-CMA-ES,IC-CMA-ES,test,0.0480948550351646,S1,-0.003942533376109836,-1.0,0.0,0.000595735528267638,0.7342895058343324,0.7303469724582226,0.7297512369299549,-11.0,-12.0,-12.0,11.0,12.0,12.0,15,15,15
01413500,IC-CMA-ES,IC-CMA-ES,test,0.216908033968228,S3,0.15926378686317366,9.0,-1.0,0.06719167998792586,0.5393026557893885,0.6985664426525622,0.6313747626646363,-18.0,-8.0,9.0,18.0,8.0,9.0,15,15,15
01414500,IC-CMA-ES,IC-CMA-ES,test,0.216628505016047,S3,0.12183220150167584,0.0,-6.0,0.06009562298732374,0.5451741871256545,0.6670063886273303,0.6069107656400066,-11.0,-5.0,11.0,11.0,5.0,11.0,15,15,15
01415000,IC-CMA-ES,IC-CMA-ES,test,0.213452184948768,S3,0.13915095413201295,6.0,2.0,0.07644788592485163,0.5031248442661561,0.6422757983981691,0.5658279124733174,-17.0,-13.0,11.0,17.0,13.0,11.0,15,15,15
01423000,IC-CMA-ES,IC-CMA-ES,test,0.217830297712483,S3,0.09410354623374861,13.0,6.0,0.03896195166658678,0.6584173527604658,0.7525208989942144,0.7135589473276276,-23.0,-16.0,10.0,23.0,16.0,10.0,15,15,15
