basin_id,swe_burden_group,mean_annual_peak_swe_mm,snowiest_water_year,snowiest_year_peak_swe_mm,snow_active_days,eligible,r_Base,r_TGD,r_CN,delta_r_CN_Base,delta_r_TGD_Base,is_example_basin
11473900,Middle,57.04,2006,112.73,143,True,0.5455,0.5359,-0.1056,-0.651,-0.0096,False
11475560,Middle,25.24,2009,65.88,42,True,0.9525,0.9613,0.7021,-0.2504,0.0088,False
11476600,Low,9.57,2008,63.22,12,True,-0.2746,-0.2535,-0.271,0.0035,0.0211,False
11478500,Middle,32.34,2008,134.18,116,True,0.8028,0.8394,-0.2978,-1.1006,0.0366,False
11480390,Low,12.57,2003,24.82,21,True,0.801,0.8099,0.8064,0.0055,0.0089,False
11481200,Low,0.0,1996,0.0,0,False,,,,,,False
11482500,Low,10.38,2008,32.62,8,False,,,,,,False
11522500,High,239.82,1996,435.03,111,True,0.115,0.1845,0.0505,-0.0644,0.0695,False
11523200,High,735.45,1998,1509.25,257,True,0.5999,0.7493,0.8336,0.2337,0.1493,False
11528700,Middle,46.61,2003,89.09,31,True,0.4994,0.4254,0.6643,0.1649,-0.074,False
11532500,High,125.61,2009,277.14,106,True,0.784,0.7385,0.5534,-0.2306,-0.0456,False
